title,link,text,language,family
Dodatak:Indijanci Ap – Wikipedija,https://hr.wikipedia.org/wiki/Dodatak:Indijanci_Ap,"Apiachi Southern Valley Yokuts, Apiaká →Kawahib.Apiaka sa rijeke Arinos (porodica tupian).",Apiaká,Tupian
"Apiaka - Stanley Okorie: Song Lyrics, Music Videos & Concerts",https://www.shazam.com/song/1535081305/apiaka,"Listen to Apiaka by Stanley Okorie. See lyrics and music videos, find Stanley Okorie tour dates, buy concert tickets, and more!",Apiaká,Tupian
musictheory.net,https://www.musictheory.net/lessons/14,Dots and Ties - Music Theory.,Apiaká,Tupian
Playlist · New Music Friday · 100 items · 4.6M saves | Spotify Playlist,https://open.spotify.com/playlist/37i9dQZF1DX4JAvHpjipBk,Popular by Country. Import your music.,Apiaká,Tupian
MusMix - Deep House Music » Скачать новую музыку 2026,https://uzden.net/20800-musmix-deep-house-music.html,"Скачать песню MusMix - Deep House Music, или слушать онлайн бесплатно! Текст песни.",Apiaká,Tupian
"Apiaká do Tocantins: historia, fonología... - Pueblos Indigenas",https://pueblosindigenas.es/lenguas/apiaka-do-tocantins/,"Actualmente, el número de hablantes de Apiaká do Tocantins es alarmantemente bajo, con apenas unos pocos ancianos fluentes en la lengua.",Apiaká,Tupian
Telegram: View @VONAMOUR_MUSIC,https://t.me/VONAMOUR_MUSIC,You can view and join @VONAMOUR_MUSIC right away.,Apiaká,Tupian
Type Music - Девочка-царица » Скачать музыку 2026... | SheMuz,https://shemuz.com/33012-type-music-devochka-carica.html,"На этой странице Вы можете скачать «Type Music - Девочка-царица» — MP3 320 kbps (2.94 MB, 01:16) бесплатно или слушать онлайн в хорошем качестве.",Apiaká,Tupian
NOVA MUSIC - Майские грозы » Музыкальные премьеры...,https://muztape.com/9993-nova-music-majskie-grozy.html,"NOVA MUSIC - Майские грозы — музыкальная премьера, которую можно слушать онлайн или скачать в MP3 бесплатно.",Apiaká,Tupian
AY YOLA - Homay (Премьера клипа 2025). Официальный... | Дзен,https://dzen.ru/video/watch/68acc61f3a18115d810f3e59,"Официальный клип / Official music video. 10 месяцев назад • 71,5 тыс просмотров1 344 поставили ""Нравится"". Хумай - символ света и силы, оживает в песне.",Apiaká,Tupian
