title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Ata,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Play all. Austronesian Music. by steven white. • Playlist • 90 videos • 8,743 views.",Ata,Austronesian
(PDF) Musical aspects of Austronesian culture,https://www.academia.edu/4175401/Musical_aspects_of_Austronesian_culture,Musical forms correlate with the expansion of Austronesian culture in the Indo-Pacific.Polyphonic choral singing shows significant similarities between Taiwan and South China.Musical instruments reflect cultural history and support the migration hypothesis from South China.,Ata,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Ata,Austronesian
Microsoft Word - Austronesian music web.doc,https://rogerblench.info/Ethnomusicology/Papers/Asia/General/Blench+AN+music+paper+I.pdf,Musical aspects of Austronesian culture. presented at the: European Association of Southeast Asian Archaeologists 10.,Ata,Austronesian
Ministry of Culture-Austronesian Music and Cultural Exchange,https://www.moc.gov.tw/en/cp.aspx?n=443,"Speaking of our research on Taiwanese aboriginals and Austronesian music, I feel that we haven't even touched 1% of it. Of course, that's a long-term atmosphere of society and academics.",Ata,Austronesian
Another Austronesian Classic | TikTok,https://www.tiktok.com/discover/another-austronesian-classic,"Austronesian cultural dance performance, Argentine Tango influences in Austronesia, Austronesian classic music, traditional Austronesian dance styles, dancing with Austronesian roots...",Ata,Austronesian
An Oceanic Path of Endless Possibilities - Introducing Austronesian...,https://taiwanbeats.taicca.tw/en/news/wp_en_post_12450,"BaoBao: We hope to take music as its starting point. To build a modern Austronesian life cycle through songs, videos, and even road tours together.",Ata,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and...,https://es.z-lib.bz/book/68D5x4b2lW/austronesian-soundscapes-performing-arts-in-oceania-and-southeast-asia-aup-iias-publications.html?dsource=recommend,"Drawing together contemporary cultural studies and musical analysis, Austronesian Soundscapes will fill this research gap, offering a comprehensiveArts - Music. Tipo de Contenido: Libros.",Ata,Austronesian
Small Island Big Song: The Sounds of Austronesian Music,https://nspp.mofa.gov.tw/nsppe/news.php?post=213795&unit=410&unitname=sties&postname=Small-Island-Big-Song:-The-Sounds-of-Austronesian-Music,Linking Austronesia through music. The first album of the Small Island Big Song project comprised 18 songs recorded by producer BaoBao Chen and her husband...,Ata,Austronesian
