title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"Aside from language, Austronesian peoples widely share cultural characteristics, including such traditions and traditional technologies as lashed-lug shipbuilding, tattooing, stilt houses, jade carving, wetland agriculture, and various rock art motifs.",Atauran,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Many of the indigenous peoples of India are considered to belong to the Australasian language group, while Austronesian culture arose from later migrations.",Atauran,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of S...",Atauran,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Indigenous Taiwanese music encompasses the vocal and instrumental traditions of Taiwan’s Austronesian peoples (including Amis, Atayal, Paiwan, Bunun, Puyuma, Rukai, Tsou, Saisiyat, Tao/Yami, Thao, Truku/Seediq, and others).",Atauran,Austronesian
Musical aspects of Austronesian culture - Academia.eduAustronesian soundscapes : performing arts in Oceania and ...Austronesian Soundscapes: Performing Arts in Oceania and ...,https://www.academia.edu/4175401/Musical_aspects_of_Austronesian_culture,"Musical forms correlate with the expansion of Austronesian culture in the Indo-Pacific. Polyphonic choral singing shows significant similarities between Taiwan and South China. The Jews' harp, developed in South China, spread to Taiwan and the Austronesian region. Austronesian soundscapes : performing arts in Oceania and Southeast Asia / edited by Birgit Abels. Responding to this gap, Austronesian Soundscapes offers comprehensive analyses of traditional and contemporary Austronesian musics, investigating how music in the region reflects the 21st century's challenges.",Atauran,Austronesian
Austronesian soundscapes : performing arts in Oceania and ...,https://www.nli.org.il/en/books/NNL_ALEPH997012132166905171/NLI,Austronesian soundscapes : performing arts in Oceania and Southeast Asia / edited by Birgit Abels.,Atauran,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and ...,https://www.jstor.org/stable/j.ctt46mvnd,"Responding to this gap, Austronesian Soundscapes offers comprehensive analyses of traditional and contemporary Austronesian musics, investigating how music in the region reflects the 21st century's challenges.",Atauran,Austronesian
Celebrating Southeast Asian Culture Through Music - TikTok,https://www.tiktok.com/@thenew_eraofme/video/7607375723770285319,"Feb 16, 2026 ... The migration of Austronesians significantly shaped the demographic and cultural landscapes of Southeast Asia and the Pacific Islands. As they ...",Atauran,Austronesian
"Karinunu, Language, Adat, and Kapata: Seeking Nuaulu Christian ...",https://www.diu.edu/documents/theses/Bolton_Rosemary-thesis.pdf,"Dec 12, 2024 ... Australian National University. Gutt, Ernst-August. 1992 ... “Austronesian Traditional Vocal Music.” Unpublished manuscript, 2014.",Atauran,Austronesian
'Obrigadu Aman' is another beautiful Tetun worship song from Timor ...,https://www.facebook.com/neilchanmusic/posts/obrigadu-aman-is-another-beautiful-tetun-worship-song-from-timor-leste-or-east-t/3535800183117143/,"Sep 11, 2020 ... ABOUT THE DIGITAL AUDIO & VIDEO MUSIC WT20 The Melanesian weekly top 20 for East Timor is based on the total amount of times a single track is ...",Atauran,Austronesian
