title,link,text,language,family
Modul:Language/data/iana languages - Qaraqalpaqsha Wikipedia,https://kaa.wikipedia.org/wiki/Module:Language/data/iana_languages,"... New Guinea)""}, [""amn""] = {""Amanab""}, [""amo""] = {""Amo""}, [""amp""] = {""Alamblak ... Atohwaim""}, [""aqn""] = {""Northern Alta""}, [""aqp""] = {""Atakapa""}, [""aqr ...",Atohwaim,Trans-New Guinea
Language: Atohwaim - TransNewGuinea.org,https://transnewguinea.org/language/atohwaim,Map: Resources: Glottolog page for Atohwaim Ethnologue page for Atohwaim Open Language Archives search for Atohwaim Wikipedia page for Atohwaim Multitree language relationships for Atohwaim Glottolog resources for Atohwaim,Atohwaim,Trans-New Guinea
GRN Atohwaim - Atohwaim - YouTube,https://www.youtube.com/playlist?list=PLP0Y_cbvmX8otAvWUf49RcX_FS6WJGbof,GRN recordings in Atohwaim - Atohwaim These recordings are designed for evangelism and basic Bible teaching to bring the gospel message to people who are not...,Atohwaim,Trans-New Guinea
PNG Latest Music 2026 - Redlist,https://www.redlist.com/playlist/14724,"Dive into the vibrant sounds of Papua New Guinea's music scene with this curated selection of the year's finest tunes. From the soulful melodies that resonate with the heart to the pulsating beats that get your feet moving, every track in this collection promises a rhythmic journey like no other.",Atohwaim,Trans-New Guinea
PNG MUSIC TAKER'S [OMT] | PNG SOUNDWAVE - Facebook,https://www.facebook.com/groups/634922886662371/posts/3448255755329056/,"Dec 29, 2025 · A man whose voice touched hearts and whose lyrics spoke to the real life of our people. 💔 They may be gone from this world, but their songs remain forever echoing in our hearts and in the history of PNG’s music. 🇵🇬 Rest easy, legends.",Atohwaim,Trans-New Guinea
Fresh PNG Music | KunduMedia | Morobe Province,https://kmedia516.wixsite.com/kundumedia/fresh-music-png,If you are looking for making new music collection or you're getting bored listening to your old collection and wanted to update your music library or playlist.,Atohwaim,Trans-New Guinea
Glottolog 5.3 - Atohwaim,https://glottolog.org/resource/languoid/id/atoh1238,Atohwaim (aqm-aqm) = 6b* (Threatened).,Atohwaim,Trans-New Guinea
2 The Trans New Guinea family - OAPEN Library,https://library.oapen.org/bitstream/id/b4fdf6c4-8911-48a4-92ab-6b2c59c1db9d/1/9783110295252-002.pdf,"Atohwaim [aqm] 1,000; wordlist: Voorhoeve 1971, 1975b. Ross (2000) notes that ... 'dancing song' < *saŋ, getane 'sun' < *kVtane. Bime: mundo 'belly ...",Atohwaim,Trans-New Guinea
Words meaning «to say - TransNewGuinea.org,http://www.transnewguinea.org/word/to-say?sort=-language&page=5,"TransNewGuinea.org - database of the languages of New Guinea ... Atohwaim, kep, Voorhoeve (1971). 159076, Asmat, Central, tao, song, McElhanon and ...",Atohwaim,Trans-New Guinea
Latest PNG Songs 2026 - Papua New Guinea Music 2026 - Top PNG ...,https://music.youtube.com/playlist?list=PLC3jGHcn7eGz_7BW9f4UjnGedoUvwaqWs,MK BADA- Moqai 2025 (Produce by Swagnificent @Hegara Records)_50th Anniversary PNG.,Atohwaim,Trans-New Guinea
