title,link,text,language,family
Aeta people - Wikipedia,https://en.wikipedia.org/wiki/Aeta_people,"Music The Aeta have a musical heritage consisting of various types of agung ensembles, ensembles composed of large hanging, suspended or held, bossed/knobbed gongs, which act as drone, without any accompanying melodic instrument.","Atta, Faire",Austronesian
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"Aside from language, Austronesian peoples widely share cultural characteristics, including such traditions and traditional technologies as lashed-lug shipbuilding, tattooing, stilt houses, jade carving, wetland agriculture, and various rock art motifs.","Atta, Faire",Austronesian
"Atta, Faire language. Evangelism tools, church planting ...",https://globalrecordings.net/en/language/azt,"Audio recordings available in Atta, Faire These recordings are designed for evangelism and basic Bible teaching to bring the gospel message to people who are not literate or are from oral cultures, particularly unreached people groups.","Atta, Faire",Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of S...","Atta, Faire",Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Many of the indigenous peoples of India are considered to belong to the Australasian language group, while Austronesian culture arose from later migrations.","Atta, Faire",Austronesian
"Atta, Faire Language (AZT) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/azt/,"Faire Atta is an endangered indigenous language of the Philippines. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.","Atta, Faire",Austronesian
"Atta, Faire - Department of Linguistics - UP Diliman",https://linguistics.upd.edu.ph/the-katig-collective/language-capsules/atta-faire/,"Atta, Faire is deemed very similar to languages such as Atta, Pudtol [atp], Agta, Central Cagayan [agt], and Isnag [isd]. It is used at home by adults and some young people, and its speakers also use related languages like Atta, Pamplona [att] and Ibanag [ibg].","Atta, Faire",Austronesian
Austronesian Soundscapes,https://csrm.uq.edu.au/media/docs/560/AustronesianSoundscapes.pdf,"Middle Eastern music and the Islamic arts: Perhaps the most outstanding characteristics of Islamic artistic forms, regardless of the medium, are: 1) its non ...","Atta, Faire",Austronesian
The Austronesian languages - ANU Open Research,https://openresearch-repository.anu.edu.au/bitstreams/acb0151b-ebb5-4941-8f29-8f61a28c777e/download,"... Atta, Faire. Northern Luzon. Luzon. Atta, Pudtol. Northern Luzon. Luzon. Avasö ... musical instruments as the bamboo nose flute and hollowed log slit-gong ...","Atta, Faire",Austronesian
Exploring the Gothic Language Sounds through Music - TikTok,https://www.tiktok.com/@samn_johnson_music/video/7379997753696341290,"Jun 13, 2024 ... 107 Likes, TikTok video from Samn Johnson (@samn_johnson_music): “Dive into the beauty of the ancient Gothic language with my piece 'Atta ...","Atta, Faire",Austronesian
