title,link,text,language,family
"Lenguas nigerocongolesas - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Lenguas_nigerocongolesas,"Las lenguas Níger-Congo se caracterizan por usar un amplio sistema de clases nominales (excepto en la mandé), el uso preponderante de prefijos por encima del de sufijos.",Awak,Niger-Congo
Awak in Nigeria people group profile | Joshua Project,https://joshuaproject.net/people_groups/10502/NI,"The Awak are a small tribe, speaking Awak, an Adamawa language. They use Hausa as a secondary or trade language. The Awak are closely related to the Tangale people who live west of them and with whom they share similarities in marriage customs, religious practices, music and dances.",Awak,Niger-Congo
Download Afro Congo Music - Bolingo_ya_tiombo... - 5000Hits.com,https://5000hits.com/songs/afro-congo-music-bolingo-ya-tiombo/?lang=en,"Listen and download Afro Congo Music - Bolingo_ya_tiombo.mp3 (3:17, 4,5 Mo). Afro Congo Music's all new songs for free MP3 320Kbps downolad, Zip, Flac or Torrent file on your smartphone or PC.",Awak,Niger-Congo
Congonigerian | TikTok,https://www.tiktok.com/discover/congonigerian,"Congo celebration after Nigeria, Congolese celebration style, Congo vs Nigeria highlights, World Cup celebration in Congo, Congolese music dance party, football victory celebrations Congo, festive atmosphere Congolese venue, celebrating sports in Congo...",Awak,Niger-Congo
What Languages do People Speak in Nigeria?,https://worldpopulationreview.com/countries/nigeria/language,"It is from the Niger-Congo language family and has as many as 24 million native speakers, both within and outside of Nigeria. There are over 20 dialects of Igbo, but Umuahia and Owerri are considered to be the official dialects.",Awak,Niger-Congo
Niger-Congo,https://lingweb.eva.mpg.de/channumerals/Niger-Congo.htm,"Benue-Congo: Click here to see the Benue-Congo languages Click here to see the Grassfields Bantu languages Click here to see the Narrow Bantu languages. Dogon: i. Northeast: Toro Tegu Dogon, Jamsay Dogon, Bankan Tey Dogon, Ben Tey Dogon ii. North-Central: Ana Tinga Dogon...",Awak,Niger-Congo
"Full text of ""tlwiki-Wikang_Awak-20200726.pdf""",https://archive.org/stream/tlwiki-Wikang_Awak-20200726.pdf/tlwiki-Wikang_Awak-20200726_djvu.txt,"Ang Awak ay isang wikang sinasalita sa Nigeria. Awak. Sinasalitang katutubo. eastern Nigeria. sa. Mga katutubong tagapagsalita. 6,000 (1995)W. Pamilyang wika. Niger-Congo.",Awak,Niger-Congo
FRIENDLY THUG 52 NGG — Apple Music,https://music.apple.com/ru/artist/friendly-thug-52-ngg/1580171427,Слушайте музыку этого артиста (FRIENDLY THUG 52 NGG) в Apple Music.,Awak,Niger-Congo
music.amazon.co.jp/playlists/B088FYHTR4,https://music.amazon.co.jp/playlists/B088FYHTR4,Amazon Music music.amazon.co.jp.,Awak,Niger-Congo
Niger-Congo Languages (Doctorate Africa),https://www.hauniversity.org/en/Niger-Congo-Languages.shtml,"The most spoken Niger-Congo languages according to the number of native speakers are Swahili, Yoruba, Igbo, Fula and Shona. The traditional branches and main languages of the Nigerian-Congolese family are: Kordofanian languages: spoken in Southern Sudan.",Awak,Niger-Congo
