title,link,text,language,family
Aeta people - Wikipedia,https://en.wikipedia.org/wiki/Aeta_people,"At the same time, Central Luzon Negritos such as the Ayta Magbukon and Ayta Ambala were also found to have the least amount of Austronesian-derived ancestry of all sampled Philippine ethnic groups, at ~10%–20%.","Ayta, Magbukun",Austronesian
Mariveleño language - Wikipedia,https://en.wikipedia.org/wiki/Mariveleño_language,"Mariveleño (also known as Magbikin, [3] Bataan Ayta, or Magbukun Ayta) is a Sambalic language. It has around 500 speakers (Wurm 2000) and is spoken within an Aeta community in Mariveles in the Philippines.","Ayta, Magbukun",Austronesian
"Ayta, Magbukun Language (AYT) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/ayt/,Magbukun Ayta is an endangered indigenous language of the Philippines. It belongs to the Austronesian language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,"Ayta, Magbukun",Austronesian
Ayta Magbukun Choir and Cultural Tourism | PDF | Music ...,https://www.scribd.com/document/388296474/Abstracts-of-Researches-ACapitan,"The first paper explores how an indigenous Philippine group called the Ayta Magbukun engages with cultural tourism through a choir group, and how this affects the transmission of traditional vocal genres to younger generations.","Ayta, Magbukun",Austronesian
"Ayta, Magbukun language. Evangelism tools, church planting ...",https://globalrecordings.net/en/language/ayt,"Ayta, Magbukun language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.","Ayta, Magbukun",Austronesian
The language of the Ayta Magbukun in Bataan is considered among ...,https://www.facebook.com/PhilippineSTAR/posts/the-language-of-the-ayta-magbukun-in-bataan-is-considered-among-the-most-endange/3070263233127337/,"Mar 22, 2023 ... The exhibit, mounted in coordination with KWF, focused on the Álta, Árta, and Áyta Mabukun languages. Álta is considered Austronesian and is ...","Ayta, Magbukun",Austronesian
U.Hap | Class Project 2025 - YouTubeStream Himig ng Aeta | Listen to Bangkal Koro Magbikin ...,https://www.youtube.com/watch?v=LufkvvkKFas,"Mistru Alfie isa an Ayta Magbukun and a teacher at Bahay-Wika under the language revitalization program of the Komisyon sa Wikang Filipino to save the Magbukun language in Bangkal, Abucay,... Listen to Bangkal Koro Magbikin, a playlist curated by Himig ng Aeta on desktop and mobile.","Ayta, Magbukun",Austronesian
Aeta people - Grokipedia,https://grokipedia.com/page/Aeta_people,"Specific Aeta languages include Ayta varieties (e.g., Ayta Magbukun, Ayta Ambala) spoken by groups in Central Luzon, which exhibit conservative features ...","Ayta, Magbukun",Austronesian
How Do the Aeta Live Daily? #Aeta #Philippines ... - Facebook,https://www.facebook.com/61555798857708/posts/how-do-the-aeta-live-daily-aeta-philippines-indigenousculture-triballife-dailyli/122234358878193295/,"May 14, 2025 ... Culture Language All Aeta communities have adopted the language of their Austronesian Filipino neighbors, which have sometimes diverged over ...","Ayta, Magbukun",Austronesian
(kuh-too-TOO-boo') indigenous; indigenous people ... - Instagram,https://www.instagram.com/p/DPwTB2nEglu/,"Oct 13, 2025 ... ... Austronesian groups which include Kapampángans, Sambals, Tagálogs ... Magbukun Aeta - Bataan province (4) Mag-antsi Aeta - Zambales ...","Ayta, Magbukun",Austronesian
