title,link,text,language,family
Bakairí – Wikipedija,https://hr.wikipedia.org/wiki/Bakairí,"Bakairi su narod rijeke, lovci, ribari, sakupljači i obrađivači tla, rasipani u nekoliko skupina od kojih svaka dominira na specifičnom tlu.Kategorije: Bakairi. Cariban. Brazilski Indijanci.",Bakairí,Cariban
Bakairí | Accent Network,https://accentnetwork.com/bakairi/,"April 22, 2025. Cariban.Bakairí language, Brazil. Carib language family. Spoken in Mato Grosso State by approximately 1,000 people.",Bakairí,Cariban
NOVA_MUSIC - СИРЕНЬ » Скачать музыку 2026... | SheMuz,https://shemuz.com/32821-nova-music-siren.html,"На этой странице Вы можете скачать «NOVA_MUSIC - СИРЕНЬ» — MP3 320 kbps (8.25 MB, 03:36) бесплатно или слушать онлайн в хорошем качестве.",Bakairí,Cariban
MusMix - Deep House Music » Скачать новую музыку 2026,https://uzden.net/20800-musmix-deep-house-music.html,"Скачать песню MusMix - Deep House Music, или слушать онлайн бесплатно! Текст песни.",Bakairí,Cariban
Endangered Languages Project - Bakairí - LÍNGUA BAIKAIRI,https://www.endangeredlanguages.com/lang/1791/samples/6325,"[aka Bakairi, Kura, Bacairí]. Classification: Cariban.Desde a década de 60, missionários do Summer Institute of Linguistics (S.I.L.) traduzem textos bíblicos para a língua Bakairi.",Bakairí,Cariban
musictheory.net,https://www.musictheory.net/lessons/14,Dots and Ties - Music Theory.,Bakairí,Cariban
CASPIAN MUSIC | Berat Mert Demir DJ Set,https://caspianmusic.ru/beratmertdemir,Вернуться на главную. ©2026 CASPIAN MUSIC.,Bakairí,Cariban
Category:Bakairí terms derived from Proto-Cariban - Wiktionary,https://en.wiktionary.org/wiki/Category:Bakairí_terms_derived_from_Proto-Cariban,"Bakairí terms inherited from Proto-Cariban (0 c, 1 e). Pages in category ""Bakairí terms derived from Proto-Cariban"". This category contains only the following page.",Bakairí,Cariban
MoonwalkersMusic - Давай газуй » Музыкальные новинки 2026...,https://muzexo.net/72819-moonwalkersmusic-davaj-gazuj.html,"На muzexo.net вы можете скачать трек Давай газуй - MoonwalkersMusic в формате mp3 бесплатно, а также слушать его онлайн в хорошем качестве.",Bakairí,Cariban
Bakairi language | Totally Real Situations Wiki | Fandom,https://totally-real-situations.fandom.com/wiki/Bakairi_language,"Bakairí (Bacairí) is a Cariban language, spoken by the Bakairi people in the state of Mato Grosso in Brazil. The consonant and vowel inventories for Eastern Bakairí are shown below.",Bakairí,Cariban
