title,link,text,language,family
Martin Bakole: Heavy Hands in Boxing Knockouts - TikTok,https://www.tiktok.com/@boxxerofficial/video/7527693476134145302,"Jul 16, 2025 ... ... congo #bakole #riakporhe #richardriakporhe #nigeria. Keywords: Bakole Riakporhe Riyadh Season boxing competition canelo saul alvarez martin ...",Bakole,Niger-Congo
Martin Bakole takes boxing to the streets of Congo with a light ...,https://www.facebook.com/Fightgistmedia/posts/martin-bakole-takes-boxing-to-the-streets-of-congo-with-a-light-workoutwho-would/1291341776335670/,"Aug 7, 2025 ... From world-class boxing to music, heritage, and curated tourism ... Congo's Martin Bakole and Nigeria's Efe Ajagba. This fight will ...",Bakole,Niger-Congo
Friday Feeling Bank Holiday Dance with Martin Bakole - TikTok,https://www.tiktok.com/@boxxerofficial/video/7372513325575310624,"May 24, 2024 ... ... bakole #congo #congolese · original sound - BOXXER. 11.2KLikes. 868 ... music review, popular song breakdown, music trend analysis, slowed music ...",Bakole,Niger-Congo
Martin Bakole weighs in at just under 300lbs ahead of his clash with ...,https://www.facebook.com/frankwarrenofficial/posts/martin-bakole-weighs-in-at-just-under-300lbs-ahead-of-his-clash-with-efe-ajagba-/1223775489111760/,"May 2, 2025 ... Cedula music and 9.9K others · . 10K · 150. José ... CONGO HEAVYWEIGHT SENSATION MARTIN BAKOLE SURE OF BEATING NIGERIAN KO ARTIST EFE AJAGBA.",Bakole,Niger-Congo
Martin Bakole is Congo royalty fighting to dethrone Anthony Joshua ...,https://www.the-sun.com/sport/1940433/martin-bakole-kuzmin-anthony-joshua-boxing/,"Dec 9, 2020 ... ... Music · Kardashians · Money Open sub menu. All Money · News · Real Estate ... “Imagine if Joshua fought in Nigeria or my home in Congo. “We have ...",Bakole,Niger-Congo
Martin Bakole's Dancing Vibes on TikTok,https://www.tiktok.com/@dailymailsport/video/7498687006642310402,"Apr 29, 2025 ... Bakole Riakporhe Riyadh Season boxing competition canelo saul alvarez martin bakole richard riakporhe mexico congo nigeria ... music #love # ...",Bakole,Niger-Congo
"Nigerian Boxer, Efe Ajagba will face Congolese Boxer, Martin ...",https://www.facebook.com/AfricaFactsZone/posts/nigerian-boxer-efe-ajagba-will-face-congolese-boxer-martin-bakole-to-decide-the-/1100560345070734/,"Nov 28, 2024 ... The International Boxing Federation (IBF) has officially ordered a heavyweight eliminator bout between DR Congo's Martin Bakole and Nigeria's ...",Bakole,Niger-Congo
Bakole - Single - Album by MPR - Apple Music,https://music.apple.com/cd/album/bakole-single/1716084501,"Nov 25, 2023 ... Listen to Bakole - Single by MPR on Apple Music. 2023. 1 Song. Duration: 2 minutes.",Bakole,Niger-Congo
"Ajagba, Bakole fight to a stalemate in Riyadh",https://guardian.ng/sport/boxing/ajagba-bakole-settle-for-draw-in-all-african-heavyweight-clash/,"May 4, 2025 ... The long-anticipated all-African heavyweight bout between Nigeria's Efe Ajagba and the Democratic Republic of Congo's Martin Bakole ended in a 10-round ...",Bakole,Niger-Congo
Martin Bakole's dash from Congo to fight of his life against Joseph ...,https://www.thetimes.com/sport/boxing/article/martin-bakole-boxing-record-joseph-parker-saudi-arabia-daniel-dubois-lqqgxdcm9,"Feb 22, 2025 ... Bakole's midriff suggests that his preparations for a final eliminator against Nigeria's Efe Ajagba in May were still in their infancy, but ...",Bakole,Niger-Congo
