title,link,text,language,family
Thangmi language - Wikipedia,https://en.wikipedia.org/wiki/Thangmi_language,Sino-Tibetan · Newaric · Baram–Thangmi. Thangmi. Dialects. Dolakha; Sindhupalcok ... music. The Nepal Tham Society (NTS) produced a handful of Thangmi songs ...,Baram,Sino-Tibetan
Newar language - Wikipedia,https://en.wikipedia.org/wiki/Newar_language,"Newar is a Sino-Tibetan language of central Nepal belonging to the Tibeto-Burman group. It is spoken natively by the Newar people, the indigenous ...",Baram,Sino-Tibetan
ELDP Projects,https://www.eldp.net/en/our+projects/,Nar-Phu is a Sino-Tibetan language of Nepal which has shown a sharp decline in speakers due to emigration and the influence of national and other regional ...,Baram,Sino-Tibetan
Limbu language - Grokipedia,https://grokipedia.com/page/laimbue_language,"The Limbu language, a Sino-Tibetan language of the Kiranti branch spoken ... Radio programs like Nunamfung on Radio Nepal feature Limbu storytelling, music, and ...",Baram,Sino-Tibetan
(PDF) Changing Identity and Linguistic Practices in Nubri,https://www.researchgate.net/publication/365707042_Changing_Identity_and_Linguistic_Practices_in_Nubri_Veiled_Language_Endangerment_in_the_Nepalese_Tibetosphere,"May 11, 2023 ... ... Baram-Thami, and Kuke (e.g. Hale, 1982; DeLancey, 1987 ... Sino-Tibetan linguistics: present state and future prospects. Annual ...",Baram,Sino-Tibetan
"風 - Wiktionary, the free dictionary",https://en.wiktionary.org/wiki/風,"Korean 바람 (baram) may have been borrowed from Chinese (Zhao, 2007). ... Chinese terms inherited from Proto-Sino-Tibetan · Chinese terms derived from ...",Baram,Sino-Tibetan
Language Collections,https://archive.mpi.nl/tla/islandora/object/tla:1839_00_0000_0000_0000_0000_5,Music (282) + - · Narration ... The language Akha belongs to the Sino-Tibetan language family and knows only the oral tradition without written evidence.,Baram,Sino-Tibetan
Changing Identity and Linguistic Practices in Nubri,https://ira.lib.polyu.edu.hk/bitstream/10397/97775/1/Donohue_Changing_Identity_Linguistic.pdf,"Chepangic, Baram-Thami, Kuke (e.g. Hale, 1982; DeLancey, 1987; Matisoff ... Sino-Tibetan linguistics: present state and future prospects. Annual Review ...",Baram,Sino-Tibetan
Synchronic and Diachronic Aspects of Kanashi - OAPEN Home,https://library.oapen.org/bitstream/id/fb0380b1-f913-4c33-bdba-437e0c5c5e4d/9783110703245.pdf,"Kanashi sound system with the phonologies of a number of closely related Sino- ... Sino-Tibetan languages. In Bernard Comrie (ed.), The world's major languages ...",Baram,Sino-Tibetan
MALAYSIAN CHINESE Ethnically known as Orang Cina ... - Facebook,https://www.facebook.com/groups/461729267900126/posts/1296186574454387/,"Chinese traditional music and dance are usually aired and performed during ... Tibetan group, even though these two separate ethnicities share the same ...",Baram,Sino-Tibetan
