title,link,text,language,family
Bardi people - Wikipedia,https://en.wikipedia.org/wiki/Bardi_people,"The Bardi people, also spelt Baada or Baardi and other variations, are an Aboriginal Australian people, living north of Broome and inhabiting parts of the ...",Bardi,Australian
"Interview with DJ Bardi Girl from Deadly Human Rights show, Koori ...",https://aivl.org.au/interview-with-dj-bardi-girl-from-deadly-human-rights-show-koori-radio-3/,"Jan 19, 2024 ... Hey DJ Bardi ! Great to catch up with you!!! First of all I'd like to acknowledge Im on Gadigal Land, and pay my respects to Elders, ...",Bardi,Australian
Bardi Dancers | Office for the Arts,https://www.arts.gov.au/what-we-do/indigenous-arts-and-languages/australian-delegation-festival-pacific-arts-2016/bardi-dancers,The Bardi Jawi cultural dancers are a traditional dance troupe comprised of elders and future leaders of the Bardi nation.,Bardi,Australian
Bardi - ICTV PLAY,https://ictv.com.au/languages/bardi,"A lyric video for our song Ardyaloon, a tribute to the community we grew up in. With our Bardi language and English. Our Music03:285,645 ...",Bardi,Australian
DJ Bardi Girl | Sydney NSW - Facebook,https://www.facebook.com/djbardigirl/,"DJ Bardi Girl, Sydney. 309 likes. A weekly radio program covering various topics affecting human rights and social justices. Includes.",Bardi,Australian
Bardi Dancers - ICTV PLAY,https://ictv.com.au/video/1875-bardi-dancers,"Beagle Bay, WA, Australia ... Clint Dixon, Henry Augustine, Tarryn Gregory,Rowan James/Albert; Talent:Bardi Illma Dancers; Music & Musician:Bardi Illma dancers/ ...",Bardi,Australian
Bardi | Journal of the International Phonetic Association,https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/bardi/E7BBFA6AC7D2C64702DB0669E2A98916,"Nov 23, 2012 ... Bardi is the northernmost language of the Nyulnyulan family, a non-Pama-Nyungan family of the Western Kimberley region of northwestern Australia.",Bardi,Australian
Cardi B's New Video 'Toot It Up' Featuring Bardi - TikTok,https://www.tiktok.com/@iamcardib/video/7468724941274369326,"Feb 7, 2025 ... Watch Cardi B's latest music video 'Toot It Up' featuring Bardi. ... music performance Australia, acoustic mashup songs, mashup artists in Perth ...",Bardi,Australian
A Cultural History of Music and Musicking of the North-West Region ...,https://researchportal.murdoch.edu.au/view/pdfCoverPage?instCode=61MUN_INST&filePid=13153045270007891&download=true,"... Bardi/Jawa people of Dampier Peninsula.326. The colony of ... In 1941, an Australian navy band also contributed music and sketches to a Broome community.",Bardi,Australian
Search the Collection - AIATSIS,https://aiatsis.gov.au/collections/search?full_type=Sound&language_group=Bardi+K15,"John Budby Collection of Aboriginal Educational Resources · Bardi supplement · Moving back to country : stage two · Bardi language elicitation, songs and stories.",Bardi,Australian
