title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan, maritime Southeast Asia, parts of mainland Southeast Asia, Micronesia, coastal New Guinea...",Batak Karo,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Play all. Austronesian Music. by steven white. • Playlist • 90 videos • 8,743 views. Austronesian culture includes more than 1200 ethnic groups, across South Asia, Southeast Asia, Taiwan, the Philippines, parts of China, as well as the Pacific as far afield as the Maori in New Zealand.",Batak Karo,Austronesian
Batak Karo | Accent Network,https://accentnetwork.com/batak-karo/,"Batak Karo, spoken by the Karo people in North Sumatra, Indonesia, from the Austronesian language family with approximately 600,000 speakers.",Batak Karo,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island Southeast Asia to Oceania and Madagascar. Across this vast region, common threads recur...",Batak Karo,Austronesian
"Batak karo mp3 download, Batak karo clips download - clipzui.com",https://www.clipzui.com/search?k=Batak+karo,"Austronesian: indonesian & batak karo 2:32.Indo, Batak Toba, Batak Karo, & Nias | Drum Cam Putra Bukit. 3.905 views1 year ago. Vino G Bastian Bicara Perbedaan Bahasa Karo dengan Bahasa Batak 1:02.",Batak Karo,Austronesian
"Macam - Macam Etnis Dalam Suku Batak (Sama Batak, tapi Beda...)",https://ini-macan.blogspot.com/2015/08/macam-macam-etnis-dalam-suku-batak-sama.html,"Suku Karo juga sering disebut suku Batak Karo. Hal ini dikarenakan banyaknya marga, kekerabatan, kepercayaan, dan geografis domisilinya yang dikelilingi etnis-etnis yang dikatakan Batak.",Batak Karo,Austronesian
Lirik Dan Arti Lagu Karo Duduk Manis | TikTok,https://www.tiktok.com/discover/lirik-dan-arti-lagu-karo-duduk-manis,Nikmati lirik dan musik MAMA MUDA KARO - DJ NEWTON. Temukan hit terbaru yang lagi trending! #mamamudakaro #djnewton #music.Temukan kumpulan lagu Batak yang sedang viral di TikTok beserta lirik dan terjemahan.,Batak Karo,Austronesian
Traditional Music of Indonesia: The Smithsonian/Folkways Series,https://journals.openedition.org/moussons/5911,"Music, Borders, and the Nation. A Musical Landscape. Haut de page.For example, vol. 4 offers, on an equal footing, music from two linguistic groups of North Sumatra: little-known vocal music from Nias Island and widely acclaimed Toba and Karo Batak instrumental music.",Batak Karo,Austronesian
Category:Karo Batak terms derived from Austronesian languages...,https://en.wiktionary.org/wiki/Category:Karo_Batak_terms_derived_from_Austronesian_languages,"Karo Batak terms that originate from one of the Austronesian languages. This category should, ideally, contain only other categories. Entries can be categorized here, too, when the proper subcategory is unclear.",Batak Karo,Austronesian
"Full text of ""enwiki-Toba_Batak_language-20200724.pdf""",https://archive.org/stream/enwiki-Toba_Batak_language-20200724.pdf/enwiki-Toba_Batak_language-20200724_djvu.txt,"Toba Batak /' tpube ' is an Austronesian language. spoken in North Sumatra province in Indonesia . It is part of a group of languages called ""Batak"". There are approximately 2,000,000 Toba Batak speakers, living to the east, west and south of Lake Toba .",Batak Karo,Austronesian
