title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Biak,Austronesian
Austronesian traditional vocal music - udc.gal,https://www.udc.gal/grupos/ln/investigadores/LopezPalmaPub/hLP-ANtradVocalMusic.pdf,"Wor feasts are related to many situations of Biaks’ life: Wor music is used to honor an ancestor important to the community, to call for protection for children or for a person in a transition in his or her life- cycle, to evoke sympathy or sorrow, to raise anger or support, to prepare for a battle or to celebrate the victory of some warrior.",Biak,Austronesian
"Music of Indonesia, Vol. 10: Music of Biak, Irian Jaya",https://music.youtube.com/browse/MPREb_bCWXF5MWeuw,"Listen to Music of Indonesia, Vol. 10: Music of Biak, Irian Jaya by Various Artists on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Biak,Austronesian
lagu biak terbaru - YouTube Music,https://music.youtube.com/playlist?list=PLUixXmXieL_u3p83Rveoh2kQjZ2YZao2U,"Listen to lagu biak terbaru on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Biak,Austronesian
"Music of Indonesia 10: Music of Biak, Irian JayaMusic of Indonesia, Vol. 10: Music of Biak, Irian JayaOn-line language documentation for Biak (Austronesian)",https://rateyourmusic.com/release/album/various-artists/music-of-indonesia-10-music-of-biak-irian-jaya/,"Music of Indonesia 10: Music of Biak, Irian Jaya, a Various Artists Album. Released in 1996 on Smithsonian Folkways (catalog no. SF CD 40426; CD). Genres: Austronesian Music, Melanesian Music. This album presents music for celebrations and church services on Biak Island in Irian Jaya. Wor songs, usually sung by choruses in seemingly chaotic, free-for-all style, were once central to traditional Biak society. University of Oxford Linguistics, Philology & Phonetics On-line language documentation for Biak (Austronesian) Text 28: VOKAL GROUP ORWER Audio Recording: Singers :",Biak,Austronesian
"Music of Indonesia, Vol. 10: Music of Biak, Irian Jaya",https://folkways.si.edu/music-of-indonesia-vol-10-music-of-biak-irian-jaya/world/album/smithsonian,"This album presents music for celebrations and church services on Biak Island in Irian Jaya. Wor songs, usually sung by choruses in seemingly chaotic, free-for-all style, were once central to traditional Biak society.",Biak,Austronesian
On-line language documentation for Biak (Austronesian),https://biak.clp.ox.ac.uk/text_28_Vokal.html,"University of Oxford Linguistics, Philology & Phonetics On-line language documentation for Biak (Austronesian) Text 28: VOKAL GROUP ORWER Audio Recording: Singers :",Biak,Austronesian
On-line language documentation for Biak (Austronesian),https://biak.clp.ox.ac.uk/text_45_Afyais2.html,Melky Arwam (55 yrs old). Lukas Fakdawer (64 yrs old). Dialect of Biak: Warbyak Date : 11 March 1983 Location: Warkimbon/Rarwaina.,Biak,Austronesian
"Text 44: Wor (Afyais), Kaset 1 ""Biak Traditional Songs, 1st Tape""",https://figshare.com/articles/media/Text_44_Wor_Afyais_Kaset_1_Biak_Traditional_Songs_1st_Tape_/19683657/1,Dialect of Biak. Warbyak. Data Recorded.Usage metrics. Online language documentation for Biak (Austronesian).,Biak,Austronesian
"(Southeast Asian Folk Music, Austronesian...) :: RuTracker.org",https://rutracker.org/forum/viewtopic.php?t=5993091,Жанры: Malay Folk Music / Austronesian Traditional Music 01. . Orkès Gambus Al-Hidayah (Palembang) – Cari Hiburan .(07:04) 02. . M. Sani Burhan (Pekanbaru) – Dayung...,Biak,Austronesian
