title,link,text,language,family
Fichier:Central Solomons languages.png — Wikipédia,https://fr.wikipedia.org/wiki/Fichier:Central_Solomons_languages.png,DescriptionCentral Solomons languages.png. English: Language families of the Solomon Islands. Red: North Bougainville. Blue: South Bougainville. Green: Central Solomons. Grey: Austronesian.Pagsasao a Bilua.,Bilua,Central Solomons
Bilua language - Wikiwand,https://www.wikiwand.com/en/articles/Bilua_language,"Bilua is the most populous Papuan language spoken in the Solomon Islands. It is a Central Solomon language spoken by about 9,000 people on the island of Vella L...",Bilua,Central Solomons
Bilua - blb (Central Solomons) - PeopleGroups.org,https://peoplegroups.org/language/blb/,"Bilua – blb is in the Central Solomons family, included in Central Solomons language class.People Groups who primarily speak Bilua. To download a comprehensive people group list in spreadsheet form, visit our Research Data page.",Bilua,Central Solomons
Central Solomon languages of Language Topics | Question AI,https://www.questionai.com/knowledge/kzScHSrYb5-central-solomon-languages,Central Solomons (tentative) Geographic distribution Solomon Islands Linguistic classification One of the world's primary language families within Papuan languages Proto-language...,Bilua,Central Solomons
"How to count in Bliua, a Central Solomons language spoken on Savo...",https://www.omniglot.com/language/numbers/bilua.htm,"Information about Bilua | Numbers. Numbers in Central Solomons languages. Bilua, Lavukaleve, Savosavo.",Bilua,Central Solomons
(PDF) New arguments for a Central Solomons family based on...,https://www.academia.edu/30827677/New_arguments_for_a_Central_Solomons_family_based_on_evidence_from_pronominal_morphemes,"The study compares gender, person, and number morphemes across Savosavo, Touo, Lavukaleve, and Bilua. A reconstruction of Proto-Central Solomons pronouns is proposed based on internal reconstructions of GPN morphemes.",Bilua,Central Solomons
YouTube Music,https://music.youtube.com/,"В приложении YouTube Music вас ждет более 100 миллионов треков, а также альбомы, плейлисты, ремиксы, музыкальные клипы, записи выступлений, каверы и редкие композиции, которые вы не найдете больше нигде.",Bilua,Central Solomons
Central Solomons | Ethnologue Free,https://www.ethnologue.com/subgroup/2688/,"Central Solomons. Subgroup of 4 languages. Central Solomons. Bilua blb, a language of Solomon Islands.",Bilua,Central Solomons
Lenguas de las Islas Salomón centrales _ AcademiaLab,https://academia-lab.com/enciclopedia/lenguas-de-las-islas-salomon-centrales/,Bilua de las islas Vella Lavella y GhizoTouo (también conocido como Baniata) de la isla de RendovaSolomons Central. Lavukaleve–Touo. Savosavo–Bilua.,Bilua,Central Solomons
Recordings of Bilua - Trove,https://trove.nla.gov.au/work/228164576,"Recordings of Bilua. Data set; Sound; Sound/Other sound - 2017, 2014.Various stories told by Bilua speakers on the Vella Lavella Island, Solomon Islands�. Title. Recordings of Bilua. Creator. Obata, Kazuko.",Bilua,Central Solomons
