title,link,text,language,family
Music of the Democratic Republic of the Congo - Wikipedia,https://en.wikipedia.org/wiki/Music_of_the_Democratic_Republic_of_the_Congo,"In both the former French Congo (now the Republic of the Congo) and Belgian Congo (now Democratic Republic of the Congo), the popular partnered dance music was initially known as maringa.",Bindji,Niger-Congo
Music of Niger - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Niger,"The Music of Niger has developed from the musical traditions of a mix of ethnic groups: Hausa, the Zarma – Songhai, Tuareg, Fula, Kanuri, Toubou, Diffa Arabs and Gurma, as well as the Boudouma from Lake Chad.",Bindji,Niger-Congo
YouTube Music,https://music.youtube.com/,"With the YouTube Music app, enjoy over 100 million songs at your fingertips, plus albums, playlists, remixes, music videos, live performances, covers, and hard-to-find music you can’t get...",Bindji,Niger-Congo
@bindji folkloric dance party - YouTube,https://www.youtube.com/watch?v=FDgUsmTYwEM,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",Bindji,Niger-Congo
"Bindji Language (BPJ) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/bpj/,Bindji is a stable indigenous language of the Democratic Republic of the Congo. It belongs to the Niger-Congo language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Bindji,Niger-Congo
Bindji gnoun - song and lyrics by Alobie Akonda | SpotifyMusic of the Democratic Republic of the Congo - WikipediaBindji language - Global Recordings NetworkMusic of Niger - Wikipedia,https://open.spotify.com/track/4Uu7bMpGPY4iPy18Zx0qoy,"Listen to Bindji gnoun on Spotify. Alobie Akonda · Song · 2012. In both the former French Congo (now the Republic of the Congo) and Belgian Congo (now Democratic Republic of the Congo), the popular partnered dance music was initially known as maringa. Words of Life Short audio Bible stories and evangelistic messages that explain salvation and give basic Christian teaching. Each program is a customised and culturally relevant selection of scripts, and may include songs and music. The Music of Niger has developed from the musical traditions of a mix of ethnic groups: Hausa, the Zarma – Songhai, Tuareg, Fula, Kanuri, Toubou, Diffa Arabs and Gurma, as well as the Boudouma from Lake Chad.",Bindji,Niger-Congo
Bindji language - Global Recordings Network,https://globalrecordings.net/en/language/bpj,"Words of Life Short audio Bible stories and evangelistic messages that explain salvation and give basic Christian teaching. Each program is a customised and culturally relevant selection of scripts, and may include songs and music.",Bindji,Niger-Congo
"Binji in Congo, Democratic Republic of people group profile",https://joshuaproject.net/people_groups/10861,"Bindji (bpj). SIL International. https://www.ethnologue.com/language ... Niger-Congo. Glottolog Language Family, Atlantic-Congo. Written / Published, Yes ...",Bindji,Niger-Congo
"Report on Congo DRC, Paving the reconstruction - Winne.com",https://www.winne.com/congo/bf09.html,"Traditional religion, Christian, Muslim. Survey needed. BINJI (BINDJI) [BIN] 64,000 (1971 Welmers). Kasai Occidental Region, Kazumba Zone. Niger-Congo, Atlantic ...",Bindji,Niger-Congo
Binji language - Grokipedia,https://grokipedia.com/page/binji_language,"Binji, also known as ciBinji or Bindji, is a Bantu language of the Niger-Congo family spoken primarily in the Lukibu sector of Dimbelenge Territory, ...",Bindji,Niger-Congo
