title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Bipi,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Play all. Austronesian Music. by steven white. • Playlist • 90 videos • 8,743 views.",Bipi,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Bipi,Austronesian
musictheory.net,https://www.musictheory.net/lessons/14,Dots and Ties - Music Theory.,Bipi,Austronesian
Ministry of Culture-Austronesian Music and Cultural Exchange,https://www.moc.gov.tw/en/cp.aspx?n=443,"Speaking of our research on Taiwanese aboriginals and Austronesian music, I feel that we haven't even touched 1% of it. Of course, that's a long-term atmosphere of society and academics.",Bipi,Austronesian
Certified Austronesian Classic | TikTok,https://www.tiktok.com/discover/certified-austronesian-classic,"Certified Austronesian Classic. 6.1M views. Discover the beauty of Austronesian classics! Explore cultures from Indonesia, Malaysia, and beyond with our curated content.",Bipi,Austronesian
Indigenous music and dance in Taiwan is undergoing major regeneration,https://www.melbourneasiareview.edu.au/indigenous-music-dance-taiwan-major-regeneration/,"Despite Taiwan’s long history of colonialism and migration, its Indigenous communities continue to revitalise through music and dance. Read now.",Bipi,Austronesian
(PDF) Musical aspects of Austronesian culture,https://www.academia.edu/4175401/Musical_aspects_of_Austronesian_culture,"Musical practices are often overlooked in cultural history, yet they reveal significant connections to the Austronesian cultural expansion across the Indo-Pacific region.",Bipi,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and...,https://es.z-library.qa/book/n5L71vw74O/austronesian-soundscapes-performing-arts-in-oceania-and-southeast-asia-aup-iias-publications.html,"Yet research into the music of Austronesia has hitherto been sparse. Drawing together contemporary cultural studies and musical analysis, Austronesian Soundscapes will fill this research...",Bipi,Austronesian
"(Southeast Asian Folk Music, Austronesian...) :: RuTracker.org",https://rutracker.org/forum/viewtopic.php?t=5993091,Жанры: Malay Folk Music / Austronesian Traditional Music 01. . Orkès Gambus Al-Hidayah (Palembang) – Cari Hiburan .(07:04) 02. . M. Sani Burhan (Pekanbaru) – Dayung...,Bipi,Austronesian
