title,link,text,language,family
Blablanga in Solomon Islands - Joshua Project,https://joshuaproject.net/people_groups/print/10888/BP,"They speak the Blablanga language (ISO 639-3: blp), an Oceanic language within the Northwest Solomonic branch of the Austronesian family.The language has ...",Blablanga,Austronesian
Austronesian - Glottolog 5.3,https://glottolog.org/resource/languoid/id/aust1307,Family: Austronesian. Classification. open Austronesian; expand all; collapse all.,Blablanga,Austronesian
Comparative Austronesian Dictionary: An Introduction to ...,https://dokumen.pub/comparative-austronesian-dictionary-an-introduction-to-austronesian-studies-9783110884012-9783110127294.html,"BLABLANGA Alt. GEMA, GOI. Class. OC, WOC, Meso Melanesian, New Ireland ... 'make play music' 'run (a machine)' 'drink (medicine)' After instances of ...",Blablanga,Austronesian
A journey through Austronesian and Papuan linguistic and cultural ...,https://openresearch-repository.anu.edu.au/bitstreams/e575a1dc-df42-4f62-8cc8-6b56844efc3f/download,"... music. Citing Cooper and Meyer's (1960) point that in music, rhythmic ... Blablanga. 3 Ririo. 10 Kusage. 17 Ughele. 24 Maringe. 4 East Choiseul (5 dialects).",Blablanga,Austronesian
Austronesian Comparative Dictionary - Languages :B - trussel2.com,https://www.trussel2.com/ACD/acd-l_b.htm,tugtógmusic (PMP: *tugtug₂) *CugCug₁ · tugtógmusic (PWMP: *tugtug) ... Blablanga (2) OC · buloturn (POC: *bulos). turuto sleep (POC: *turuR) *tuduR. 88 ...,Blablanga,Austronesian
ELDP Projects,https://www.eldp.net/en/our+projects/,"This project will focus on the documentation of Vurës, an Austronesian language spoken by approximately 1,000 people on the island of Vanua Lava in northern ...",Blablanga,Austronesian
iso-languagecodes.txt - GeoNames,http://download.geonames.org/export/dump/iso-languagecodes.txt,... Austronesian languages mkh Mon-Khmer languages mno Manobo languages mun ... Blablanga blq Baluan-Pam blr Blang bls Balaesang blt Tai Dam blv Kibala blw ...,Blablanga,Austronesian
A Grammar of Ughele - LOT Publications,https://www.lotpublications.nl/Documents/316_fulltext.pdf,"... Austronesian languages in the area. Due to the scarcity of material ... Blablanga, Maringe, and Gao belongs to the St. Isabel linkage. Ross' (1988: 13) ...",Blablanga,Austronesian
A Grammar of Ughele: An Oceanic language of Solomon Islands,https://scispace.com/pdf/a-grammar-of-ughele-an-oceanic-language-of-solomon-islands-3dy5i5mjsh.pdf,"... (Austronesian) languages in the area (Ross 1988: 13). The diversity of the ... Blablanga, Maringe, and Gao belongs to the St. Isabel linkage. Ross ...",Blablanga,Austronesian
(PDF) FOCAL I + II : papers from the fourth International Conference ...,https://www.academia.edu/113857330/FOCAL_I_II_papers_from_the_fourth_International_Conference_on_Austronesian_Linguistics,1977 The Proto-Austronesian pronouns and Austronesian subgroupin g : a prel iminary report . ... Blablanga 1 Maringe 1 1 Nggao Fi gure 2 - 1 : Ocea ...,Blablanga,Austronesian
