title,link,text,language,family
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Play all. Austronesian Music. by steven white. • Playlist • 90 videos • 8,743 views.",Bobot,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Bobot,Austronesian
Certified Austronesian Classic | TikTok,https://www.tiktok.com/discover/certified-austronesian-classic,"Certified Austronesian Classic. 6.1M views. Discover the beauty of Austronesian classics! Explore cultures from Indonesia, Malaysia, and beyond with our curated content.",Bobot,Austronesian
Musical forms closely map the dispersal of Austronesian languages,https://www.academia.edu/49350031/Musical_forms_closely_map_the_dispersal_of_Austronesian_languages,The musical forms of the Austronesian peoples are highly diverse but they are strikingly similar to the internal divisions of the phylum.,Bobot,Austronesian
"Austronesian peoples - Alchetron, The Free Social Encyclopedia",https://alchetron.com/Austronesian-peoples,"Austronesians, Austronesian peoples or Austronesianspeaking peoples are various populations in Asia, Oceania and Africa that speak languages of the Austronesian family.",Bobot,Austronesian
Category:Bobot terms derived from Austronesian languages...,https://en.wiktionary.org/wiki/Category:Bobot_terms_derived_from_Austronesian_languages,"Bobot terms that originate from one of the Austronesian languages. This category should, ideally, contain only other categories. Entries can be categorized here, too, when the proper...",Bobot,Austronesian
Small Island Big Song: The Sounds of Austronesian Music,https://nspp.mofa.gov.tw/nsppe/news.php?post=213795&unit=410&unitname=sties&postname=Small-Island-Big-Song:-The-Sounds-of-Austronesian-Music,Linking Austronesia through music. The first album of the Small Island Big Song project comprised 18 songs recorded by producer BaoBao Chen and her husband...,Bobot,Austronesian
33 Austronesian and language families ideas to save today,https://ca.pinterest.com/judecaufield/austronesian/,"Mar 7, 2019 - Collection of information about Austronesian Migration routes. See more ideas about language families, migrations, formosan.",Bobot,Austronesian
"Stream The Austronesians music | Listen to songs, albums, playlists...",https://soundcloud.com/theaustronesians,"Play The Austronesians and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Bobot,Austronesian
The Austronesian Migration | ArcGIS StoryMaps,https://storymaps.arcgis.com/stories/00e6faf5638342cca48c05a1b9111480,The Austronesian Migration: Share. More actions.,Bobot,Austronesian
