title,link,text,language,family
Northeast Caucasian languages - Wikipedia,https://en.wikipedia.org/wiki/Northeast_Caucasian_languages,"This may be shortened to East Caucasian. The term Nakh (o)-Dagestanian can be taken to reflect a primary division of the family into Nakh and Dagestanian branches, a view which is no longer widely accepted, or Dagestanian can subsume the entire family.",Budukh,Nakh-Daghestanian
Budukh language - Wikipedia,https://en.wikipedia.org/wiki/Budukh_language,"Budukh or Budugh (, Budad mez[3]) is a Lezgic language of the Northeast Caucasian language family spoken in parts of the Quba Rayon of Azerbaijan. It is spoken by about 200 of approximately 1,000 ethnic Budukhs.",Budukh,Nakh-Daghestanian
"Nakh - Alech Tkhani Feat. Layhem (Official Music Video)Budukh language - WikipediaEURPhon: BudukhCLICS⁴ - Colexified concepts ""TAKE"" and ""SING""Budukh language resources | Joshua ProjectBudukh Language (BDK) – L1 & L2 Speakers, Status, Map ...",https://www.youtube.com/watch?v=nL-QXTV32Vg,"Apr 17, 2022 · Nakh - Alech Tkhani Feat. Layhem (Official Music Video) Nakh - Suivez moi sur:...more Budukh or Budugh (, Budad mez[3]) is a Lezgic language of the Northeast Caucasian language family spoken in parts of the Quba Rayon of Azerbaijan. It is spoken by about 200 of approximately 1,000 ethnic Budukhs. Phylum: Nakh-Daghestanian Genus: Lezgic Lat/lon: 41.182856, 48.370708 ISO code: bdk CLICS⁴ edited by Tjuka, Annika & Forkel, Robert & Rzymski, Christoph & List, Johann-Mattis is licensed under a . Listing of people groups speaking Budukh. Budukh dialects and alternate names. Bible and ministry resource availability. Budukh is an endangered indigenous language of Azerbaijan. It belongs to the Nakh-Daghestanian language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools. Is Budukh a native language of Azerbaijan? Budukh is an endangered indigenous language of Azerbaijan. It belongs to the Nakh-Daghestanian language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools. Click and drag globe to rotate. What does Nakh o Dagestanian mean? The term Nakh (o)-Dagestanian can be taken to reflect a primary division of the family into Nakh and Dagestanian branches, a view which is no longer widely accepted, or Dagestanian can subsume the entire family. Is Budukh a language? Budukh is an language, as seen in the following example: NHUM. PL:beat: PRES It has possessors before possessed nouns: How many people speak Budukh? or (, ) is a of the spoken in parts of the of . It is spoken by about 200 of approximately 1,000 ethnic . Budukh is a severely , and classified as such by 's . There are two orthographies for Budukh, and it is beginning to be introduced into schools. The orthography takes the following form:",Budukh,Nakh-Daghestanian
EURPhon: Budukh,https://eurphon.info/languages/html?lang_id=482,"Phylum: Nakh-Daghestanian Genus: Lezgic Lat/lon: 41.182856, 48.370708 ISO code: bdk",Budukh,Nakh-Daghestanian
Budukh language resources | Joshua Project,https://joshuaproject.net/languages/bdk,Listing of people groups speaking Budukh. Budukh dialects and alternate names. Bible and ministry resource availability.,Budukh,Nakh-Daghestanian
"Budukh Language (BDK) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/bdk/,Budukh is an endangered indigenous language of Azerbaijan. It belongs to the Nakh-Daghestanian language family. The language is used as a first language by some people in every generation of the ethnic community. It is not known to be taught in schools.,Budukh,Nakh-Daghestanian
(PDF) The Nakh-Daghestanian Consonant Correspondences,https://www.academia.edu/65402724/The_Nakh_Daghestanian_Consonant_Correspondences,"... Budukh; Xinalug 1, 2, 3, 4,Nakh 5 languages; Andi, Chamali (Andic); Bezhta ... Band 1: Die Grundlagen. München: Lincom Europa. Smeets, Rieks. 1989. “On ...",Budukh,Nakh-Daghestanian
46. Case marking in Daghestanian,https://publications.hse.ru/pubs/share/folder/jp84w6wjdh/76555095.pdf,"Kryz, Budukh, Udi and Khinalug. In Azerbaijani, there are also important ... 'Experiencer coding in Nakh-Daghestanian'. In L. Kulikov et al. (eds) Case ...",Budukh,Nakh-Daghestanian
Lezgic languages - Grokipedia,https://grokipedia.com/page/Lezgic_languages,"... Budukh, Udi, Archi, and sometimes Khinalug as an affiliate. [2] ... The Northeast Caucasian language family, also known as Nakh-Daghestanian or ...",Budukh,Nakh-Daghestanian
Caucasian Languages | Oxford Research Encyclopedia of Linguistics,https://oxfordre.com/linguistics/display/10.1093/acrefore/9780199384655.001.0001/acrefore-9780199384655-e-53?rskey=zBm87n,... (Nakh-Daghestanian). These languages are believed to have been spoken in the ... Budukh. Kryz. Lezgi. Rutul. Tabassaran. Tsakhur. Udi. Khinalug. Nakh. Avar. Andic.,Budukh,Nakh-Daghestanian
