title,link,text,language,family
Ngữ hệ Liên New Guinea – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Ngữ_hệ_Liên_New_Guinea,"Ngữ hệ Liên New Guinea (Trans–New Guinea, TNG) là một ngữ hệ ngôn ngữ Papua ... Phần lõi ngữ hệ đã được xác định, song phạm vi cùng thành phần ngôn ngữ chính xác ...",Bunak,Trans-New Guinea
2 The Trans New Guinea family - OAPEN Library,https://library.oapen.org/bitstream/id/b4fdf6c4-8911-48a4-92ab-6b2c59c1db9d/1/9783110295252-002.pdf,"Bunak [bfn] 55,000; grammar: Schapper 2010. Bereitgestellt von | De Gruyter / TCS. Angemeldet. Heruntergeladen am | 16.10.19 13:48. Page 58. 78. Andrew Pawley ...",Bunak,Trans-New Guinea
Describing Makasae : a trans-New Guinea language of East Timor,https://scispace.com/pdf/describing-makasae-a-trans-new-guinea-language-of-east-timor-pc82b05hjf.pdf,"Apr 14, 2004 ... remaining languages of East Timor belong to the Trans-New Guinea phylum: Bunak, ... music and songs and gives announcements mostly in. Tetum ...",Bunak,Trans-New Guinea
Indigenous people of New Guinea,http://library.eshikshya.org/kiwix/content/wikipedia_en_all_maxi_2023-05/A/People_of_New_Guinea,The following indigenous peoples live within the modern borders of Indonesia and Papua New Guinea. Austronesian-speaking (AN) groups are given in italics. West ...,Bunak,Trans-New Guinea
PAPUA NEW GUINEA is often called the world's linguistic capital ...,https://www.facebook.com/groups/worldtourismofferes/posts/10172918932320207/,"Sep 22, 2025 ... This rich linguistic landscape preserves oral histories, traditions, and knowledge, making Papua New Guinea not just geographically diverse but ...",Bunak,Trans-New Guinea
Chapter 1 The Bunaq language and its speakers - De Gruyter Brill,https://www.degruyterbrill.com/document/doi/10.1515/9783110761146-001/pdf?licenseType=restricted&srsltid=AfmBOorTFf435jec_rECOZiNuAJyCWjQRhVy65N7G0LZb1WDsuc4Ij1t,"as Bunak, Buna, Bunaq, Bunac, Bunä, and Buna'. ... To date, neither link to the essentially putative West Papuan or Trans-New Guinea families has been ...",Bunak,Trans-New Guinea
The Central Solomon Papua languages are a small group of non ...,https://www.facebook.com/groups/austronesian.languages/posts/1732447214344953/,"... Bunak, Galoli, Habun, Idalaka, Kawaimina, Kemak, Lovaia, Makalero, Makasae, Mambai ... New Guinea, hence the name ""Trans-New Guinea"". The TNG family is ...",Bunak,Trans-New Guinea
Typical Features of Austronesian Languages in Central/Eastern ...,https://www.jstor.org/stable/3623314,"of the Non-Austronesian language Bunak have been surrounded by speakers of Aus- ... from the Trans-New Guinea and Sepik-Ramu phyla, and languages on the West.",Bunak,Trans-New Guinea
Bunaq: A Papuan language of central Timor - The Swiss Bay,https://theswissbay.ch/pdf/Books/Linguistics/Mega+linguistics+pack/Papuan/Bunaq+-+A+Papuan+language+of+central+Timor+(Schapper).pdf,"... New. Guinea. Australia. Page 40. 2. Bunaq is rarely learnt by non-Bunaq, almost ... Bunak, Buna, Bunaq, Bunä and Buna'. Phonetically the name is [buna ...",Bunak,Trans-New Guinea
Homophony in the Mian Gender System - HAL,https://hal.science/hal-03618113/document,"Mar 24, 2022 ... The Ok family of languages is well-established within the Trans-New Guinea family of roughly the same order as Germanic or Romance within ...",Bunak,Trans-New Guinea
