title,link,text,language,family
Ivory Coast - Wikipedia,https://en.wikipedia.org/wiki/Ivory_Coast,"Its official language is French, and indigenous languages are also widely used, including Bété, Baoulé, Dyula, Dan, Anyin, and Cebaara Senufo. In total, there ...","Bété, Gagnoa",Niger-Congo
"Bete, Gagnoa in Côte d'Ivoire people group profile - Joshua Project",https://joshuaproject.net/people_groups/19365,"Primary Language · Bete, Gagnoa (394,000 speakers) ; Ethnologue Language Code, btg ; Ethnologue Language Familly, Niger-Congo ; Glottolog Language Family, Kru.","Bété, Gagnoa",Niger-Congo
Bété languages - Grokipedia,https://grokipedia.com/page/Bété_languages,"... Niger-Congo language family, spoken primarily by the Bété people in t. ... The main varieties of Bété include Gagnoa Bété (with around 150,000 speakers as ...","Bété, Gagnoa",Niger-Congo
Ivory Coast AFCON 2024 Song Celebration | Côte d'Ivoire Music,https://www.tiktok.com/@_rahilou/video/7334924059488095531?lang=en,"Feb 12, 2024 ... Continent Song Dance · Congolese Music Dance Song · Portuguese Songs Dance · Portuguese Song Trend Dance · Danse Song Portugaise Trend. Ivory ...","Bété, Gagnoa",Niger-Congo
Bete people - AFRICA | 101 Last Tribes,https://www.101lasttribes.com/tribes/bete.html,The Bete speak Bété cluster of languages which forms part of Kru languages which also belongs to the larger Niger-Congo language family. The various Bete ...,"Bété, Gagnoa",Niger-Congo
Central vowels in the Kru language family: Innovation and areal ...,https://langsci-press.org/catalog/view/192/1513/1626-1,"Etude phonétique et phonologique du kpɔkolo, parler. Bété de Gagnoa. ... Niger Congo. In Bernd Heine & Derek. Nurse (eds.), African languages: An ...","Bété, Gagnoa",Niger-Congo
BETE (IVORY COAST KRU) CEREMONIAL RITE. The ... - Facebook,https://www.facebook.com/groups/658327444242809/posts/1440287682713444/,"... Gagnoa, Daloa, et Issia. Langue : Nous ... Linguists use the name Kru to refer to a linguistic group within the larger larger Niger-Congo language family.","Bété, Gagnoa",Niger-Congo
iso-languagecodes.txt - GeoNames,http://download.geonames.org/export/dump/iso-languagecodes.txt,... (Nigeria) bco Kaluli bcp Bali (Democratic Republic of Congo) bcq Bench bcr Babine bcs Kohumono bct Bendi bcu Awad Bing bcv Shoo-Minda-Nye bcw Bana bcy Bacama ...,"Bété, Gagnoa",Niger-Congo
Ivory Coast soul 2 | Various Artists - Hot Casa Records - Bandcamp,https://hotcasarecords.bandcamp.com/album/ivory-coast-soul-2,"ABOUT THIS TRACK. He was an important member of the Aloukou movement, a rural and urban dance and music style in the south west of the country, from the Bété ...","Bété, Gagnoa",Niger-Congo
Ideophones in the Kru language family,https://iling-ran.ru/library/languageinafrica/3/LiA_3_1_4_Zogbo.pdf,"Niger-Congo . In Heine, Bernd. & Nurse, Derek (eds .), African languages: An ... Dictionnaire Bété-Français, Abidjan: Les. Editions du CERAP . Zogbo ...","Bété, Gagnoa",Niger-Congo
