title,link,text,language,family
Kanak people - Wikipedia,https://en.wikipedia.org/wiki/Kanak_people,"Kanak peoples traditionally speak diverse Austronesian languages that belong to the New Caledonian branch of Oceanic. ... Music, dance and singing are part ...",Caac,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of S...",Caac,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Many of the indigenous peoples of India are considered to belong to the Australasian language group, while Austronesian culture arose from later migrations.",Caac,Austronesian
Austronesian Music and Cultural Exchange - Ministry of Culture,https://www.moc.gov.tw/en/cp.aspx?n=443,"The institute has had international exchanges based on the Taiwanese music artifacts and archives, research of folk music, traditional music, the contemporary music, composers' manuscripts, and documentation of contemporary music creation.",Caac,Austronesian
Austronesian Soundscapes: Performing Arts in Oceania and ...,https://www.jstor.org/stable/j.ctt46mvnd,"Responding to this gap, Austronesian Soundscapes offers comprehensive analyses of traditional and contemporary Austronesian musics, investigating how music in the region reflects the 21st century's challenges.",Caac,Austronesian
Austronesian Music - Music genre - Rate Your Music,https://rateyourmusic.com/genre/austronesian-music/,"Austronesian music nowadays refers to the ongoing evolution and fusion of various cultural influences from foreign and neighbouring cultures. These influences have over the centuries introduced new instruments, styles, and genres, blending age-old elements with newer traditions.",Caac,Austronesian
Musical aspects of Austronesian culture - Academia.edu,https://www.academia.edu/4175401/Musical_aspects_of_Austronesian_culture,"Musical forms correlate with the expansion of Austronesian culture in the Indo-Pacific. Polyphonic choral singing shows significant similarities between Taiwan and South China. The Jews' harp, developed in South China, spread to Taiwan and the Austronesian region.",Caac,Austronesian
Austronesian soundscapes : performing arts in Oceania and ...,https://library.search.tulane.edu/discovery/fulldisplay/alma9945221784706326/01TUL_INST:Tulane,In Austronesia' the region that stretches from Madagascar in the west to Easter Island in the east-music plays a vital role in both the construction and expression of social and cultural identities. Yet research into the music of Austronesia has hitherto been sparse.,Caac,Austronesian
"Caac, Moenebeng in New Caledonia people group profile",https://joshuaproject.net/people_groups/11066/NC,"Important festivals typically involve traditional music, dance, presentations of shared food, and church-connected celebrations. Community members also maintain ...",Caac,Austronesian
Comparative Austronesian Dictionary: An Introduction to ...,https://dokumen.pub/comparative-austronesian-dictionary-an-introduction-to-austronesian-studies-9783110884012-9783110127294.html,"CAAC Alt. MOENEBENG. Dial. POUEBO (PWEBO), LA CONCEPTION (ST. LOUIS). Class ... 'make play music' 'run (a machine)' 'drink (medicine)' After instances ...",Caac,Austronesian
