title,link,text,language,family
A Grammar of Cavineña - The Swiss Bay,"https://theswissbay.ch/pdf/Books/Linguistics/Mega+linguistics+pack/South+American/Panoan+&+Tacanan/Cavineña,+A+Grammar+of+(Guillaume).pdf","Cavineña belongs to the Tacanan family, comprising five languages, none of ... song of the rooster, they (our. Cavineña ancestors) would force their ...",Cavineña,Tacanan
Cavineña language and alphabet - Omniglot,https://www.omniglot.com/writing/cavinena.htm,"Jun 9, 2026 ... Cavineña is a Tacanan language spoken in the Beni Department in northern Bolivia ... Tunes, songs and podcasts on SoundCloud Omniglot ...",Cavineña,Tacanan
"Cavineña - DICE, Database for Indigenous Cultural Evolution",https://dice.missouri.edu/assets/docs/south-america-other/Cavinena.pdf,"... Cavineña (Cavineño or Kavineño) of the Tacanan language family.1 Cavineño ... 6.6 Cultural material (art, music, games): Flutes and drums are played ...",Cavineña,Tacanan
Antoine Guillaume - Academia.edu,https://cnrs.academia.edu/AntoineGuillaume,"The five Tacanan languages (Amazonian Bolivia and Peru), Araona, Cavineña, Ese Ejja, Reyesano and... more ...",Cavineña,Tacanan
Advances in Favor of the Pano-Takana Hypothesis,https://digitalcommons.chapman.edu/cgi/viewcontent.cgi?article=1024&context=language_articles,"Feb 16, 2023 ... 'Our shiro songs (love songs) are very beautiful. Let's sing ... Comparative Tacanan phonology, with Cavineña phonology and notes on Pano-.",Cavineña,Tacanan
Attributive possession in the languages of South America,https://scholarlypublications.universiteitleiden.nl/access/item:3160736/download,'Tokatxi's song' 'my house'. (3) Itonama (unclassified; Crevels 2011). [ah ... Cavineña. Tacanan bo. Tsafiki. Barbacoan ec. Cubeo. Tucanoan co. Miraña. Boran co ...,Cavineña,Tacanan
Verbal Synthesis in the Guaporé-Mamoré Linguistic Area,http://etnolinguistica.wdfiles.com/local--files/artigo:gijn-2015/gijn_2015_verbal_synthesis.pdf,The presence of prefixed full incorporation in Cavineña and Ese Ejja seems to be a feature of the Tacanan ... A grammar of Cavineña. Berlin: Mouton de ...,Cavineña,Tacanan
Tacana language and alphabet - Omniglot,https://www.omniglot.com/writing/tacana.htm,"Mar 9, 2026 ... Tacanan languages. Araona, Cavineña, Ese Ejja, Reyesano, Tacana ... Tunes, songs and podcasts on SoundCloud Omniglot Facebook Fan Club ...",Cavineña,Tacanan
Sociative causative in South American languages - Helda,https://helda.helsinki.fi/bitstreams/25fe010e-a73e-4061-a624-3f0d78c9f390/download,"... Cavineña. Pano-Tacanan. Guillaume & Rose. Specific Marker. Reyesano. Pano-Tacanan ... In Song, J. J. (ed.),. Oxford Handbook of Linguistic Typology. Oxford ...",Cavineña,Tacanan
Reassessing the areality of sociative causative markers: A South ...,https://www.cambridge.org/core/journals/journal-of-linguistic-geography/article/reassessing-the-areality-of-sociative-causative-markers-a-south-american-feature/CBCB50070B0E841A075A893CDD07A2A6,"Sep 8, 2025 ... Music · Nutrition. Subjects (P-Z). Philosophy · Physics and Astronomy ... Within the Pano-Tacanan stock, Cavineña and Ese Ejja, both of the ...",Cavineña,Tacanan
