title,link,text,language,family
Cayuga people - Wikipedia,https://en.wikipedia.org/wiki/Cayuga_people,"The Cayuga (Cayuga: Gayogo̱hó꞉nǫʼ, ""People of the Great Swamp"") are one of the five original constituents of the Haudenosaunee (Iroquois), a confederacy of Native Americans in New York.",Cayuga,Iroquoian
Cayuga language - Wikipedia,https://en.wikipedia.org/wiki/Cayuga_language,"There are at least two distinct dialects of Cayuga. Two are spoken at Six Nations of the Grand River in southern Ontario. Another, called ""Seneca-Cayuga"", was spoken in Oklahoma until its extinction in the 1980s.",Cayuga,Iroquoian
Haudenosaunee - Wikipedia,https://en.wikipedia.org/wiki/Haudenosaunee,"The peoples of the Haudenosaunee included (from east to west) the Mohawk, Oneida, Onondaga, Cayuga, and Seneca. ... Iroquois music · Iroquois mythology · Iroquois ...",Cayuga,Iroquoian
Cayuga - Hartenberger World Musical Instrument Collection,https://wmic.net/native-america/native-american-regions/northeast-mohawks/cayuga/,"The Cayuga (“People of the Great Swamp”) are one of the five original constituents of the Haudenosaunee (Iroquois), a confederacy of Native Americans in New York.",Cayuga,Iroquoian
Cayuga Nation: Iroquois Heritage & Cultural Continuity,https://indianreservation.info/cayuga-nation-iroquois-heritage-cultural-continuity/,"Sep 12, 2025 · The Cayuga, traditionally the ""Younger Brothers"" or ""People of the Canoe"" within the Confederacy, held a crucial position as keepers of the western door and played a vital role in councils, their voices carrying the weight of their wisdom and experience.",Cayuga,Iroquoian
Cayuga Language - Ohwejagehka Hadegaenage,http://ohwejagehka.com/cayuga/,"The Cayuga Nation is one of the ""younger brothers"" of the Iroquois Confederacy and are known as the ""People of the Pipe"" or ""People of the Great Swamp"" The Cayuga words are pronounced by Marge Henry and Evelyn Bomberry.",Cayuga,Iroquoian
Musical Instruments I: Drums,https://portal.onmusichub.com/moolesson/musical-instruments-i-drums-4/,"Iroquoian social dance music uses repetitive verse forms, with cadence patterns made up of vocables completing each larger phrase unit.",Cayuga,Iroquoian
"Iroquois Friendship Dance - Boston Indian Week, 1974 - YouTube",https://www.youtube.com/watch?v=_ohKCozZqrE,"May 14, 2022 ... ... Cayuga, and ... music is always religious music. https://drumhop.com/music.php?page=182 https://en.wikipedia.org/wiki/Iroquois #Iroquois ...",Cayuga,Iroquoian
Songs and Dances of Great Lake Indians,https://folkways.si.edu/songs-and-dances-of-the-great-lakes-indians/american-indian/music/album/smithsonian,"Gertrude Prokosch Kurath recorded and comments on music performed by the Great Lakes tribes of Algonquin, Meskwaki, Ojibwa, Iroquois and others.",Cayuga,Iroquoian
Haudenosaunee or Iroquois Indian Dances and Songs Part 1,https://www.youtube.com/watch?v=dnR1bKTF3jg,"Jan 30, 2007 ... ... Cayuga, Mohawk, Oneida, Onondaga, Seneca and Tuscarora Native America First Nation traditional social dances. The station was going to erase ...",Cayuga,Iroquoian
