title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Cebuano,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Austronesian Music. by steven white. • Playlist • 90 videos • 8,743 views.",Cebuano,Austronesian
Cebuano,https://accentnetwork.com/cebuano/,"Cebuano, also known as Bisaya, is an Austronesian language spoken in the Central Visayas region of the Philippines.",Cebuano,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples...,Cebuano,Austronesian
"Cebuano language | Visayan, Philippine, Austronesian | Britannica",https://www.britannica.com/topic/Cebuano-language,"Cebuano language, member of the Western, or Indonesian, branch of the Austronesian (Malayo-Polynesian) language family. It was spoken in the early 21st century by roughly 18.5...",Cebuano,Austronesian
"The Cebuano Bibliya. Commentaries, history books, and more are...",https://godrules.net/library/Austronesian/cebuano/cebuano.htm,Cebuano bibliya. Search: help. Match,Cebuano,Austronesian
Austronesian language spoken in the Philippines by Cebuanos and...,https://web.archive.org/web/20230228035646/https://www.wikidata.org/wiki/Q33239,"Distribution of cebuano language.png 1,976 × 3,164; 109 KB. 0 references. page banner.",Cebuano,Austronesian
Music in ancient black Asia - Filipinos and their Austronesian roots,https://www.essaysauce.com/history-essays/music-in-ancient-black-asia-filipinos-and-their-austronesian-roots/,"The Austronesians that would have settled in pre-colonial Philippines would have been what Spanish conquistadors would have later named, the Negritos, meaning little black people.",Cebuano,Austronesian
47.5M posts. Discover videos related to What Is Cebuanos on TikTok.,https://www.tiktok.com/discover/what-is-cebuanos,"Cebuano language facts, Cebuano cultural significance, Cebuano music and movies, Cebuano on social media, Cinelogue Festival, expressive languages, Filipino languages...",Cebuano,Austronesian
How Far Did Austronesian Influence Spread Outside of the Pacific?,https://thecollector-frontend-nextjs-git-master-thecollector.vercel.app/austronesian-culture-influence-pacific/,"The dating for Austronesian expansion outside of Taiwan into the Pacific and further afield, by Matthew T Boulanger, 2013, via researchgate.net.",Cebuano,Austronesian
