title,link,text,language,family
Chams - Wikipedia,https://en.wikipedia.org/wiki/Chams,"Western Cham script, used in Cambodia, is different enough from Eastern Cham's to be under review by the Unicode Consortium for inclusion as its own block — as of 2022, the character set is still being revised.","Cham, Western",Austronesian
Cham language - Wikipedia,https://en.wikipedia.org/wiki/Cham_language,"It has several dialects, with Eastern Cham (Phan Rang Cham; ꨌꩌ ꨚꨰ, Cam pai) and Western Cham (ꨌꩌ ꨚꨭꩉ, Cam pur) being the main ones. The Cham script, derived from the ancient Indic script, is still used for ceremonial and religious purposes.","Cham, Western",Austronesian
"Cham, Western in Vietnam people group profile | Joshua Project",https://joshuaproject.net/people_groups/15361/VM,"The Cham Western are a mixture of Cham and Malay, with whom they traded during the time of their powerful kingdom. Their language, Cham, belongs to the Malayo-Polynesian branch of the Austronesian linguistic family.","Cham, Western",Austronesian
"ABVD: Cham, Western",https://abvd.eva.mpg.de/austronesian/language.php?id=830,"Western Cham is spoken in throughout central Cambodia and in the Châu Đốc area of An Giang Province, Vietnam, bordering the Cambodian border. Data was collected from 1969-1974 by Timothy and Barbara Friberg, much of which is from their main informant Kvoeu-Hor. The script is adapted from Vietnamese Quốc Ngữ orthography.","Cham, Western",Austronesian
"ABVD: Cham, Western",https://abvd.eva.mpg.de/austronesian/language.php?id=830&sort=item,"Language: Cham, Western ... Resources: Ethnologue Information for cja OLAC Information for cja World Atlas of Language Structures Information for chw [Suggest a resource]","Cham, Western",Austronesian
"AUSTRONESIAN: WESTERN CHAM & ACEHNESE - YouTubeCham, Western in Vietnam people group profile | Joshua ProjectAUSTRONESIAN: WESTERN CHAM & RADE - YouTube",https://www.youtube.com/watch?v=PWBFcArlQnI,"Western Cham, also known as ""Cambodian Cham,"" is distinct from its eastern counterpart in Vietnam due to historical, cultural, and religious differences. The Cham Western are a mixture of Cham and Malay, with whom they traded during the time of their powerful kingdom. Their language, Cham, belongs to the Malayo-Polynesian branch of the Austronesian linguistic family. Welcome to my channel! This is Andy from I love languages. Let's learn different languages/dialects together. Western Cham is a variety of the Cham language... Is the Cham language a Austronesian language? The Cham language is part of the Austronesian language family. Although sparse, Cham literary tradition is ancient, dating back to the 4th century AD. The Dong Yen Chau inscription, written in old Cham, is the oldest known attestation of an Austronesian language. What language do the Western Cham speak? The Western Cham are a mixture of Cham and Malay, with whom they traded during the time of their powerful kingdom. Their language, Cham, belongs to the Malayo-Polynesian branch of the Austronesian linguistic family. Many Cham also speak Vietnamese, Khmer, and/or Malayan. What Are Their Lives Like? What are the different types of Cham languages? It has several dialects, with Eastern Cham (Phan Rang Cham; ꨌꩌ ꨚꨰ, Cam pai) and Western Cham (ꨌꩌ ꨚꨭꩉ, Cam pur) being the main ones. The Cham script, derived from the ancient Indic script, is still used for ceremonial and religious purposes. What did the Western Cham do? Evidence still remains of this once flourishing civilization-grandiose temples and sanctuaries, irrigation systems, woven cloth, sculpture, and jewelry. The Western Cham are a mixture of Cham and Malay, with whom they traded during the time of their powerful kingdom.","Cham, Western",Austronesian
AUSTRONESIAN: WESTERN CHAM & RADE - YouTube,https://www.youtube.com/watch?v=aXUdmTNFIew已添加中文字幕,"Welcome to my channel! This is Andy from I love languages. Let's learn different languages/dialects together. Western Cham is a variety of the Cham language... Is the Cham language a Austronesian language? The Cham language is part of the Austronesian language family. Although sparse, Cham literary tradition is ancient, dating back to the 4th century AD. The Dong Yen Chau inscription, written in old Cham, is the oldest known attestation of an Austronesian language. What language do the Western Cham speak? The Western Cham are a mixture of Cham and Malay, with whom they traded during the time of their powerful kingdom. Their language, Cham, belongs to the Malayo-Polynesian branch of the Austronesian linguistic family. Many Cham also speak Vietnamese, Khmer, and/or Malayan. What Are Their Lives Like? What are the different types of Cham languages? It has several dialects, with Eastern Cham (Phan Rang Cham; ꨌꩌ ꨚꨰ, Cam pai) and Western Cham (ꨌꩌ ꨚꨭꩉ, Cam pur) being the main ones. The Cham script, derived from the ancient Indic script, is still used for ceremonial and religious purposes. What did the Western Cham do? Evidence still remains of this once flourishing civilization-grandiose temples and sanctuaries, irrigation systems, woven cloth, sculpture, and jewelry. The Western Cham are a mixture of Cham and Malay, with whom they traded during the time of their powerful kingdom.","Cham, Western",Austronesian
"## Jarai, Cham, and Rhade The map shows where the ... - Facebook",https://www.facebook.com/groups/austronesian.languages/posts/1598367591086250/,"Nov 20, 2024 ... Austronesian ethnic in Vietnam : •Cham. •Churu. •Rhade / Ede. •Jarai. •Raglai . •Haroi. 1y · 4 likes.","Cham, Western",Austronesian
"The Cham language is an ancient, endangered Austronesian ...",https://www.facebook.com/vivencio.enriquez.5/videos/the-cham-language-is-an-ancient-endangered-austronesian-language-spoken-by-the-c/1747690822579927/,"Dec 28, 2025 ... Dialects: Two main ones, Western Cham (more Arabic influence) and Eastern Cham (more Vietnamese influence). Writing Systems: Historically used ...","Cham, Western",Austronesian
The Cham Language: Heritage and Resilience Across Southeast Asia,https://wondersofcambodia.com/the-cham-language-heritage-and-resilience-across-southeast-asia/,"Mar 3, 2026 ... Cham is classified within the Chamic branch of the Austronesian language family, which includes Tsat (present on the Chinese island of Hainan) ...","Cham, Western",Austronesian
