title,link,text,language,family
Chiapanec-Mangue Languages - Oxford Reference,https://www.oxfordreference.com/display/10.1093/oi/authority.20110803095606639,"A branch of the Oto-Manguean family. They are or were spoken in Chiapas state, Mexico, and in Costa Rica and Nicaragua.LANGUAGE LISTChiapaneco: 150 speakers ...",Chiapanec,Otomanguean
Colonial Spanish Sources for Indian Linguistics - Newberry Library,https://www.newberry.org/uploads/files/ColonialSpanishSourcesforIndianLinguistics.pdf,indicate the music and dancing which is part of the production. Guatemala ... Chiapanec of the Lord's Prayer; Ave Maria; Creed; Salve Regina; the Ten.,Chiapanec,Otomanguean
A Linguistic Look at the Olmecs - University of Hawaii System,https://www2.hawaii.edu/~lylecamp/LC+Lx+look+at+Olmecs+JSTOR.pdf,Chiapanec-Mangue *wih? tortilla; Proto-. Chinantecan *wih(n) tortilla; etc ... 1966 Comparative Otomanguean phonology. Un- published Ph.D. dissertation ...,Chiapanec,Otomanguean
Chicahuaxtla Triqui | Journal of the International Phonetic Association,https://www.cambridge.org/core/journals/journal-of-the-international-phonetic-association/article/chicahuaxtla-triqui/445A63E96F75386072D8476F9E9E359B,"Feb 26, 2016 ... The Otomanguean language stock consists of Mixtecan, Zapotecan, Popolocan, Chinantecan, Amuzgo, Tlapanec, Otopamean and Chiapanec-Manguean.",Chiapanec,Otomanguean
"Mexico Profile – Important Facts, People and History",https://www.daytranslations.com/blog/guide/mexico/,"Classification: Oto-Manguean, Chiapanec-Mangue Nearly extinct. Chichimeca ... music albums. Thalia is one of the most awarded and internationally ...",Chiapanec,Otomanguean
An Amerind Etymological Dictionary - University of New Mexico,https://www.unm.edu/~wcroft/JHGfiles/AED5.pdf,Central Amerind: Oto-Manguean: Chiapanec -ta (future). Tanoan: Kiowa. -da ... macha ÷akt 'musical instrument made of bent cane reed.' Page 181. Amerind ...,Chiapanec,Otomanguean
Amplification of Gudschinsky's Proto-Popolocan-Mixtecan,https://www.journals.uchicago.edu/doi/pdfplus/10.1086/464695,"Otomanguean relationships. From these studies emerged a thesis of Evangelina ... Amuzgo som music, < *0em.] PPn (208) *hnta we inc. sing; PMx (105).",Chiapanec,Otomanguean
A grammar of Umbeyajts as spoken by the Ikojts people of San ...,https://researchonline.jcu.edu.au/50066/1/50066-salminen-thesis-2016.pdf,"Sep 3, 2017 ... ... Otomanguean and Mixe-Zoquean languages, has a history of repeated ... music. EXCLA TV-play.music people. TV-go people a-yak mbaj. TV-put ...",Chiapanec,Otomanguean
Reconstructive Description of Eighteenth-century Xinka Grammar ...,https://www.lotpublications.nl/Documents/254_fulltext.pdf,"... Otomanguean (see Suárez 1982:xvi; Gordon 2005), or with the Popolucan of ... music, beat drum' from the term tu:n ""tambor"" that is borrowed from Pipil ...",Chiapanec,Otomanguean
Summer Schools - The LINGUIST List,https://linguistlist.org/issues/?topic=Summer+Schools,"Chiapanec (cip, chia1262), Chibcha (chb, chib1270), Chicahuaxtla Triqui ... Oto-Manguean/Otomanguean, Oto-Pamean Chinanteko, Otomaco-Taparita ...",Chiapanec,Otomanguean
