title,link,text,language,family
CENTRAL MEXICO - Somos Primos,https://www.somosprimos.com/schmal/centmex.htm,The Chichimeca-Jonaz language is classified as a member of the Oto-Manguean ... The bull prances to the music of guitars and trumpets as the others try to ...,Chichimeco-Jonaz,Otomanguean
Mexico has an extraordinary linguistic diversity. It is one ... - Facebook,https://www.facebook.com/cantignypark/posts/mexico-has-an-extraordinary-linguistic-diversity-it-is-one-of-the-countries-with/408512584648127/,"Jul 7, 2022 ... ... Chichimeca Jonaz, Pima Bajo, Ngiwa, Ixcatec, Ayapanec, Huasteco etc. ... And in the city's music scene, bilingual indigenous rappers like ...",Chichimeco-Jonaz,Otomanguean
(PDF) The Oto-Pamean Languages - Academia.edu,https://www.academia.edu/23764748/The_Oto_Pamean_Languages,"Phylum Branch Sub-branch Group Language Nº of speakers Oto-Manguean Oto-Pamean Pamean Chichimec: Chichimeco-Jonaz 1,350/2000 Pame: Northern Pame 5,600/2000 ...",Chichimeco-Jonaz,Otomanguean
"1. Verbal inflection in Chichimec, an Oto-Pamean language of ...",https://openresearch.surrey.ac.uk/esploro/fulltext/journalArticle/Paradigmatic-restructuring-and-the-diachrony-of/99546822702346?repId=12147699490002346&mId=13147699480002346&institution=44SUR_INST,"Chichimec (also known as Chichimeca or Chichimeco, Chichimeca-Jonaz or Chichimeco ... music' given by one speaker in three separate elicitation sessions ...",Chichimeco-Jonaz,Otomanguean
CoMParatiVe liNGUistiCs oF MesoaMeriCaN laNGUaGes todaY,https://ojs.ehu.eus/index.php/Veleia/article/download/16827/15675/0,"Northern oto-pamean. Pamean. Northern Pame. Central Pame southern Pame. Chichimeco jonaz ... 'musical horn' / 'blowgun', etc. (No totonacan matching). Page 18 ...",Chichimeco-Jonaz,Otomanguean
Enrique L. PALANCAR - HAL,https://hal.science/tel-01424497/file/HDR+Palancar+Volumen+IIb.pdf,... Otomi. Mazahua. Atzinca. Matlatzinca. Ocuiltec. Chichimec-Jonaz. Pame languages. Map 1. Location of the Oto-Pamean branch of Oto-Manguean. Table 1. The Oto- ...,Chichimeco-Jonaz,Otomanguean
"the global making of a mexican vampire: mesoamerican, european ...",https://www.jstor.org/stable/10.1086/649523,"The Chichimeco-Jonaz name the bloodsucking witch kángá ?ècü!r. 31 Alicja Iwan!ska, Purgatory and Utopia: A Mazahua Indian Village of Mexico (Cam-.",Chichimeco-Jonaz,Otomanguean
AN INTERNATIONAL (AND INTERCONTINENTAL) BRIDGE - Redalyc,https://www.redalyc.org/journal/7179/717975898014/,"In Ixtlilxochitl's Historia Chichimeca, the Otomi who save the life of King ... Chichimeco-Jonaz on the other. The Otomi are among the oldest sedentary ...",Chichimeco-Jonaz,Otomanguean
American Indian Languages,https://amerindias.github.io/referencias/cam00americanindian.pdf,"... [Otomanguean]; Sierra Popoluca, Sayula Popo- luca, Oluta Popoluca [Mixe ... Chichimeco7. (Jonaz) Guanajuato. Chinantecan8 Oaxaca. Ojitlan. Usila. Quiotepec.",Chichimeco-Jonaz,Otomanguean
What languages were spoken by Aztec people? - Quora,https://www.quora.com/What-languages-were-spoken-by-Aztec-people,"Sep 3, 2015 ... In southern parts of the Aztec Empire people spoke Oto-Manguean languages and Mayan languages natively, given the locations of those families ...",Chichimeco-Jonaz,Otomanguean
