title,link,text,language,family
Athabaskan languages - Wikipedia,https://en.wikipedia.org/wiki/Athabaskan_languages,"Because both Tlingit and Eyak are fairly remote from the Athabaskan languages in terms of their sound systems, comparison is usually done between them and the reconstructed Proto-Athabaskan language.",Chilcotin,Eyak-Athabaskan
Tsilhqotʼin - Wikipedia,https://en.wikipedia.org/wiki/Tsilhqotʼin,"They are the most southern of the Athabaskan-speaking Indigenous peoples in British Columbia. Their name, Tŝilhqotʼin, makes reference to the Chilko River, which means ""red ochre river,"" from tŝi (lh) ""rock"" + -qu ""river"" + -t'in ""people"". [2]",Chilcotin,Eyak-Athabaskan
Eyak Athabaskan Crossword Clue - Sporcle,https://www.sporcle.com/reference/clue/eyak-athabaskan,"For the word puzzle clue of eyak athabaskan, the Sporcle Puzzle Library found the following results. Explore more crossword clues and answers by clicking on the results or quizzes.",Chilcotin,Eyak-Athabaskan
"Alaska Natives -- Aleuts, Tanana, Eyak, Tlingit, YupikChilcotin Language (CLC) – L1 & L2 Speakers, Status, Map ...The Chilcotin Song - YouTubeAthabaskan, Eyak, and Tlingit Sonorants. Alaska Native ...",https://www.youtube.com/watch?v=YvSV7UYrg_E,"Jul 31, 2013 · Indigenous northern music (jew´s harp / jaw´s harp). Alaskan Indians / natives are indigenous peoples of Alaska: Inupiaq, Yupik, Aleut, Eyak, Tlingit, Haida, Tsimshian, and a number of... Chilcotin is an endangered indigenous language of Canada. It belongs to the Eyak-Athabaskan language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is taught as a subject of instruction in some schools. Jun 25, 2020 · My original song about the Chilcotin in British Columbia. Lyrics and music are mine and I am singing the song. Athabaskan, Eyak, and Tlingit Sonorants. Alaska Native Language Center Research Papers No. 5. by Krauss, Michael E.; Leer, Jeff; Alaska Univ., Fairbanks. Alaska Native Language Center. What is the relationship between Eyak and Athabaskan? Eyak and Athabaskan together form a genealogical linguistic grouping called Athabaskan–Eyak (AE) – well- demonstrated through consistent sound correspondences, extensive shared vocabulary, and cross-linguistically unique homologies in both verb and noun morphology. Where are the Athabaskan languages spoken? The 38 Northern Athabaskan languages are spoken throughout the interior of Alaska and the interior of northwestern Canada in the Yukon and Northwest Territories, as well as in the provinces of British Columbia, Alberta, Saskatchewan and Manitoba. Is Lake Athabaskan a Cree language? The word Athabaskan is an anglicized version of a Cree language name for Lake Athabasca (Moose Cree: Āðapāskāw ' [where] there are reeds one after another') in Canada. Cree is one of the Algonquian languages and therefore not an Athabaskan language. Are Dené and Athabaskan the same language? Although the term Athabaskan is prevalent in linguistics and anthropology, there is an increasing trend among scholars to use the terms Dené and Dené languages, which is how many of their native speakers identify it. They are applying these terms to the entire language family.",Chilcotin,Eyak-Athabaskan
"Chilcotin Language (CLC) – L1 & L2 Speakers, Status, Map ...",https://www.ethnologue.com/language/clc/,"Chilcotin is an endangered indigenous language of Canada. It belongs to the Eyak-Athabaskan language family. Direct evidence is lacking, but the language is thought to be used as a first language by adults only. It is taught as a subject of instruction in some schools.",Chilcotin,Eyak-Athabaskan
The Chilcotin Song - YouTube,https://www.youtube.com/watch?v=ZRes8-bmi20,"Jun 25, 2020 · My original song about the Chilcotin in British Columbia. Lyrics and music are mine and I am singing the song.",Chilcotin,Eyak-Athabaskan
"Athabaskan, Eyak, and Tlingit Sonorants. Alaska Native ...",https://archive.org/details/micro_IA41153401_0618,"Athabaskan, Eyak, and Tlingit Sonorants. Alaska Native Language Center Research Papers No. 5. by Krauss, Michael E.; Leer, Jeff; Alaska Univ., Fairbanks. Alaska Native Language Center.",Chilcotin,Eyak-Athabaskan
"Athabaskan language family | History, Characteristics & Dialects",https://www.britannica.com/topic/Athabaskan-language-family,"The Athabaskan family is a branch of the Athabaskan-Eyak subgroup of the Na ... song from sing—e.g., Yurok pontet 'ashes,' prncrc 'dust,' prncrh 'to be ...",Chilcotin,Eyak-Athabaskan
Athabaskan (Na-Dene) Language Family,http://www.native-languages.org/famath.htm,"But once it was discovered that non-Athabascan languages (like Tlingit, Eyak ... The Crooked Stovepipe: Athapaskan Fiddle Music and Square Dancing in ...",Chilcotin,Eyak-Athabaskan
Eyak & Chinuk Wawa - Chinook Jargon,https://chinookjargon.com/2020/10/06/eyak-chinuk-wawa/,"Oct 6, 2020 ... ... Athabaskan / Dene ... music arthur farwell art mckellips as it happens athabascan atlantis arisen atlas of languages of intercultural ...",Chilcotin,Eyak-Athabaskan
