title,link,text,language,family
Chokwe people - Wikipedia,https://en.wikipedia.org/wiki/Chokwe_people,"Angola, Congo DR, Zambia ; Chokwe; many also speak French, Portuguese or English ; Christian, Animist.",Chokwe,Niger-Congo
"Chokwe | African, Central African & Bantu - Britannica",https://www.britannica.com/topic/Chokwe,"Jun 26, 2026 ... The Chokwe language belongs to the Benue-Congo branch of the Niger-Congo languages. ... African music: History · Central Africa: The ...",Chokwe,Niger-Congo
Chokwe songs and dances with various drums from the Democratic ...,https://folkways.si.edu/chokwe-songs-and-dances-with-various-drums-from-the-democratic-republic-of-congo-and-angola/world/music/album/smithsonian,"In 1957, Hugh Tracey recorded these Chokwe speakers, who originated in Angola and the Democratic Republic of Congo. These dance songs, accompanied by goblet ...",Chokwe,Niger-Congo
"Chokwe Tribe: Culture, Names, History & Traditions",https://www.tribeguess.com/learn/chokwe,"The Chokwe are a ethnic group primarily found in Angola, DR Congo, Zambia. With a population of approximately ~2 million, they speak Chokwe, ...",Chokwe,Niger-Congo
Chokwe in Angola people group profile - Joshua Project,https://joshuaproject.net/people_groups/11365/AO,"The Chokwe people speak the Chokwe language, a Bantu language belonging to the Niger-Congo family. It is recognized as a national language in Angola and ...",Chokwe,Niger-Congo
"Chokwe people The Chokwe people, known by many other names ...",https://www.facebook.com/groups/523396435442256/posts/1025132721935289/,"Oct 19, 2023 ... Estimated to be about 1.3 million, their language is usually referred to as Chokwe (or Kichokwe, Tshokwe), a Bantu language in the Benue-Congo ...",Chokwe,Niger-Congo
Chokwe,https://dice.missouri.edu/assets/docs/niger-congo/Chokwe.pdf,"... Niger-Congo, · Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern ... 6.6 Cultural material (art, music, games):. The Chokwe have a rich artistic ...",Chokwe,Niger-Congo
Chokwe language - Grokipedia,https://grokipedia.com/page/Chokwe_language,"Chokwe belongs to the Niger-Congo language family, within the Atlantic-Congo branch's Volta-Congo group, specifically the Bantu subgroup's Chokwe-Luchazi ...",Chokwe,Niger-Congo
#About the Chokwe Speaking people of North-Western provinces of ...,https://www.facebook.com/100063897551814/posts/about-the-chokwe-speaking-people-of-north-western-provinces-of-zambia-as-well-as/1113046297501945/,"Mar 25, 2025 ... The Chokwe language is a member of the Bantu family of languages, which is a branch of the Niger-Congo language family. Bantu languages are ...",Chokwe,Niger-Congo
Exploring the History and Culture of a Fascinating African Tribe,https://www.tiktok.com/@holstarmusic/video/7320282119027150085,"Jan 4, 2024 ... Discover the rich heritage and traditions of the Chokwe people from Zambia, DRC, and Angola in this informative podcast.",Chokwe,Niger-Congo
