title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Chuukese,Austronesian
Chuukese Favorites - YouTube Music,https://music.youtube.com/playlist?list=PL136D4C56D67C4C51,"Listen to Chuukese Favorites on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Chuukese,Austronesian
Chuukese songs - YouTube Music,https://music.youtube.com/playlist?list=PLy-5k2tkvKhiWRr9R8WFd0XkpnZf0uLXc,"Listen to Chuukese songs on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Chuukese,Austronesian
Chuukese Music - playlist by Warren Ortega | Spotify,https://open.spotify.com/playlist/0O0dScN2AMXO2GUCaUWQua,"Playlist · Chuukese Music · 158 items · 18 saves Create your first playlist It's easy, we'll help you",Chuukese,Austronesian
"Stream Chuukese Music music | Listen to songs, albums ...",https://soundcloud.com/chuukese-music-257923031,"Play Chuukese Music and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Chuukese,Austronesian
Chuukese Songs - playlist by 31mhmfcikpml3aoisfcnczdqaxde ...,https://open.spotify.com/playlist/61BTL1wCSlO9xjooJLjv5E,Playlist · Chuukese Songs · 3 items · 32 saves Preview of Spotify Sign up to get unlimited songs and podcasts with occasional ads. No credit card needed.,Chuukese,Austronesian
"Stream Chuukese Song music | Listen to songs, albums ...",https://soundcloud.com/chuukese-song-860680988,"Play Chuukese Song and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Chuukese,Austronesian
RESOU MUSIC - Irechimino #resoumusic #chuukese #localmusic ...,https://www.facebook.com/resoumusic/posts/irechimino-resoumusic-chuukese-localmusic/1490377013124191/,"Jun 21, 2026 · Irechimino #resoumusic #chuukese #localmusic Cheeehuuu! Yeeesaaah! 🧡🧡🧡 (A IREJIMINO) 3d · 1 like Marieta Lorenzo Waioooo emumun ei ken 1w · 1 like Fina Albert Nice 6d · 1 like Top fan Cassandra Tinmad Love this ️ ️ ️ ️ 1w · 1 like Julie Kapileo Nice n💕 💞 💕 💞 1w · 1 like Jus Tin Waioo += 1w · 1 like Jaran Eruo Thanks for sharing this song I can stop cry ...",Chuukese,Austronesian
Chuukese | Accent Network,https://accentnetwork.com/chuukese/,"An Austronesian language, part of the Trukic language family. Predominantly spoken in Chuuk State, Micronesia. Approximately 48,000 native speakers.",Chuukese,Austronesian
"Nemin (Chuukese) - Kendall Titiml: Song Lyrics, Music Videos...",https://www.shazam.com/song/283756952/nemin-chuukese,"Listen to Nemin (Chuukese) by Kendall Titiml. See lyrics and music videos, find Kendall Titiml tour dates, buy concert tickets, and more!",Chuukese,Austronesian
