title,link,text,language,family
Asmat people - Wikipedia,https://en.wikipedia.org/wiki/Asmat_people,"March 23, 2026 - These twelve Asmat groups include ... speak approximately five or more dialects (Casuarina Coast Asmat, Yaosakor Asmat, Central Asmat, North Asmat, Tamnim, Citak)....","Citak, Tamnim",Trans-New Guinea
Citak language - Wikipedia,https://en.wikipedia.org/wiki/ISO_639:diy,"December 4, 2025 - Citak or Kaunak is the Papuan language of Citak-Mitak district (kecamatan), Mappi Regency, Indonesia. It is called by its speakers Kau Adagum (lit. 'Kau Language'), Citak is an exonym from the Awyu people. Tamnim Citak is a distinct dialect.","Citak, Tamnim",Trans-New Guinea
Music of Papua New Guinea - Wikipedia,https://en.wikipedia.org/wiki/Music_of_Papua_New_Guinea,"December 18, 2025 - The music of Papua New Guinea has a long history. After independence, the outside world knew little of the diverse peoples' traditional music genres. The first commercial release to see an international audience did not occur until 1991, when percussionist Mickey Hart's Voices of the Rainforest ...","Citak, Tamnim",Trans-New Guinea
Trans–New Guinea languages - Wikipedia,https://en.wikipedia.org/wiki/Trans–New_Guinea_languages,"1 month ago - Trans–New Guinea (TNG) is an extensive family of Papuan languages spoken on the island of New Guinea and neighboring islands, a region corresponding to the country Papua New Guinea as well as parts of Indonesia. Trans–New Guinea is perhaps the third-largest language family in the world ...","Citak, Tamnim",Trans-New Guinea
Trans-New Guinea | Ethnologue Free,https://www.ethnologue.com/subgroup/1038/,"Yipma byr, a language of Papua New Guinea · Asmat-Kamoro 11 · Asmat 6 · Asmat, Casuarina Coast asc, a language of Indonesia · Asmat, Central cns, a language of Indonesia · Asmat, North nks, a language of Indonesia · Asmat, Yaosakor asy, ...","Citak, Tamnim",Trans-New Guinea
"Citak, Tamnim Language (TML) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/tml/,Tamnim Citak is a stable indigenous language of Indonesia. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,"Citak, Tamnim",Trans-New Guinea
"Category:Trans-New Guinea languages - Wiktionary, the free dictionary",https://en.wiktionary.org/wiki/Category:Trans-New_Guinea_languages,"Tamnim Citak language (0 c, 0 e) Tanahmerah language (0 c, 0 e) Teiwa language (3 c, 0 e) Timbe language (2 c, 0 e) Toaripi language (2 c, 0 e) Tobo language (0 c, 0 e) Tsakwambo language (0 c, 0 e) Turaka language (0 c, 0 e) Uare language (0 c, 0 e) Umanakaina language (0 c, 0 e) Umbu-Ungu language (3 c, 0 e) Upper Grand Valley Dani language (0 c, 0 e) Urigina language (0 c, 0 e) Usan language (2 c, 0 e) Utarmbung language (1 c, 0 e) Wambon language (2 c, 0 e) Wanambre language (3 c, 0 e) Wanggom language (0 c, 0 e) Wano language (2 c, 0 e) Warkay-Bipim language (3 c, 0 e) Western Dani language (2 c, 0 e) Wolani language (2 c, 0 e) Yagwoia language (3 c, 0 e) Yaqay language (0 c, 0 e) Yareba language (3 c, 0 e) Yekora language (0 c, 0 e) Zia language (4 c, 0 e) Zimakani language (2 c, 0 e) This category contains only the following page.","Citak, Tamnim",Trans-New Guinea
"Citak, Tamnim language. Evangelism tools, church planting resources, Christian songs and audio bible study materials. Download free MP3s.",https://globalrecordings.net/en/language/tml,"Citak, Tamnim language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.","Citak, Tamnim",Trans-New Guinea
2 The Trans New Guinea family Andrew Pawley and Harald Hammarström 2.1,https://library.oapen.org/bitstream/id/b4fdf6c4-8911-48a4-92ab-6b2c59c1db9d/1/9783110295252-002.pdf,"Citak Asmat · Diuwe [diy] 100; wordlist: Van Arsdale 1974 · Tamnim Citak [tml] 290; wordlist: Drabbe 1963b, Van Arsdale 1974, Voorhoeve 1980 · Citak [txt] 8,000; grammar sketch: Kruidhof 1979 · Casuarina Coast Asmat [asc] 9,000; wordlist: Drabbe 1963b, Voorhoeve ·","Citak, Tamnim",Trans-New Guinea
"Category:Proto-Trans-New Guinea language - Wiktionary, the free dictionary",https://en.wiktionary.org/wiki/Category:Proto-Trans-New_Guinea_language,├──── Tamnim Citak (tml) ├──── Tanahmerah (tcm) ├──── Teiwa (twe) ├──── Timbe (tim) ├──── Toaripi (tqo) ├──── Tobo (tbv) ├──── Tokano (zuh) ├──── Tsakwambo (kvz) ├──── Turaka (trh) ├──── Uare (ksj) ├──── Umanakaina (gdn) ├──── Umbu-Ungu (ubu) ├──── Upper Grand Valley Dani (dna) ├──── Urigina (urg) ├──── Usan (wnu) ├──── Utarmbung (omo) ├──── Wambon (wms) ├──── Wanambre (wnb) ├──── Wanggom (wng) ├───,"Citak, Tamnim",Trans-New Guinea
