title,link,text,language,family
Cree language - Wikipedia,https://en.wikipedia.org/wiki/Cree_language,"Cree-Montagnais-Naskapi cree1271. Woods Cree wood1236. ð.Another accomplishment was the dubbing of a movie in Cree. They are working on broadcasting a radio station that ""will give listeners music and a voice for our languages"".[8].","Cree, Woods",Algic
Algic | Ethnologue Free,https://www.ethnologue.com/subgroup/649/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiIyMTMuMTgwLjIwMy4yNDUiLCJjb3VudHJ5IjoiUlUiLCJ1c2VyX2VtYWlsIjoiIiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwicGhvdG9fdXJsIjoiIiwicHJvZmlsZV9uYW1lIjoiIiwicm9sZSI6IiIsImxldmVsIjoiRnJlZSIsIm5ldHdvcmtfbmFtZSI6IiIsInJlY3VybHlfaWQiOiIiLCJ0eXBlIjoiRnJlZSIsImV4cCI6MTczNjUxNTQ2MCwiaWF0IjoxNzM2MjU2MjYwfQ.9PSvqBy3200sTcKphTPpm9oz35evQiAMIhoNTchKv5s,"Algic. Subgroup of 48 languages.Cree, Woods cwd, a language of Canada.","Cree, Woods",Algic
Grambank - Language Woods Cree,https://grambank.clld.org/languages/wood1236,Family: Algic /. Language Woods Cree. Feature id.Sources. Starks 1992. Aspects of Woods Cree syntax.,"Cree, Woods",Algic
Algic | Ethnologue,https://web.archive.org/web/20160912144400/https://www.ethnologue.com/subgroups/algic-1,"Cree, Woods [cwd] (A language of Canada).","Cree, Woods",Algic
Woods Cree is an indigenous language of Canada...,https://native-americans.com/woods-cree-is-an-indigenous-language-of-canada/,Nonpalatalized th-dialect within Cree-Montagnais-Naskapi language complex or dialect cluster. Classification: Algic -> Algonquian -> Central -> Cree-Montagnais-Naskapi -> Woods Cree. Population,"Cree, Woods",Algic
"Online Cree Dictionary, Cree Language Resource Project, Maskwacis...",https://creedictionary.com/syllabics/woodland.php,Contains articles from famous Alberta Elders' Cree Dictionary and Cree Words Dictionary. Online Roman Orthography to Cree Syllabic Converter for Plains and Woodland Cree dialects.,"Cree, Woods",Algic
Woods Cree Translator | Free & AI-Powered,https://anythingtranslate.com/translators/woods-cree-translator/,"Looking to connect with the rich heritage of the Woods Cree people? The Woods Cree Translator is your bridge to understanding and celebrating Woods Cree, an Algonquian language spoken primarily in Canada.","Cree, Woods",Algic
"Cree Language and the Cree Indian Tribe (Iyiniwok, Eenou, Eeyou...)",https://www.native-languages.org/cree.htm,"Cree Syllabary: Woods Cree: Introduction to the Cree writing system in two different dialects, with sample texts. Nehiyawewin: Cree orthography and text example.","Cree, Woods",Algic
Woods Cree — Wikipedia Republished // WIKI 2,https://wiki2.org/en/Woods_Cree,"The Woods Cree language belongs to the Algic family, within the Algonquian subfamily, and the central Cree–Montagnais–Naskapi language group.[6][7][8]. Western Cree is a term used to refer to the non-palatized Cree dialects, consisting of Northern Plains Cree...","Cree, Woods",Algic
Woods Cree Rainmaker - Fire and Lightning with Deep... - YouTube,https://www.youtube.com/watch?v=dJTCJOm72zA,О сервисе Прессе Авторские права Связаться с нами Авторам Рекламодателям...,"Cree, Woods",Algic
