title,link,text,language,family
Music of the Democratic Republic of the Congo - Wikipedia,https://en.m.wikipedia.org/wiki/Music_of_the_Democratic_Republic_of_the_Congo,"In both the former French Congo (now the Republic of the Congo) and Belgian Congo (now Democratic Republic of the Congo), the popular partnered dance music was initially known as maringa.",Day,Niger-Congo
Music of Niger - Wikipedia,https://en.m.wikipedia.org/wiki/Music_of_Niger,"The Music of Niger has developed from the musical traditions of a mix of ethnic groups: Hausa, the Zarma – Songhai, Tuareg, Fula, Kanuri, Toubou, Diffa Arabs and Gurma, as well as the Boudouma from Lake Chad.",Day,Niger-Congo
YouTube Music,https://music.youtube.com/,"With the YouTube Music app, enjoy over 100 million songs at your fingertips, plus albums, playlists, remixes, music videos, live performances, covers, and hard-to-find music you can’t get anywhere else.",Day,Niger-Congo
Niger-Congo - playlist by Music League | Spotify,https://open.spotify.com/playlist/019q9C3E9hw4uS6dvTepzx,"Playlist · Niger-Congo · 22 items · 4 saves Cookies, device or similar online identifiers together with other information (e.g. browser type and information, language, screen size, supported technologies, etc.) can be stored or read on your device to recognise it each time it connects to an app or to a website, for one or several of the purposes presented here.",Day,Niger-Congo
"*NON STOP CONGO MUSIC* (Koffi Olomidé, Extra Musica, JB M ... - YouTube",https://m.youtube.com/watch?v=Jo1yH_KP_Ss,"*NON STOP CONGO MUSIC* (Koffi Olomidé, Extra Musica, JB M'piana, Tabu Ley, Awilo Longomba, Madilu)",Day,Niger-Congo
"Stream Congoquotidien.com music | Listen to songs, albums, playlists ...",https://soundcloud.com/congoquotidien,Listen to Congoquotidien.com | SoundCloud is an audio platform that lets you listen to what you love and share the sounds you create.,Day,Niger-Congo
Top 100: Niger - Playlist - Apple Music,https://music.apple.com/us/playlist/top-100-niger/pl.cd4a09b0acde49cda246819d9421b26b,Listen to the Top 100: Niger playlist on Apple Music. 100 Songs. Duration: 5 hours 5 minutes.,Day,Niger-Congo
Congo Music | Musique Congolaise - playlist ... - Spotify,https://open.spotify.com/playlist/0OoMGryL6RnbWuAThKsC34,Playlist · Congo Music 🇨🇩🇨🇬 | Musique Congolaise · 227 items · 4.5K saves,Day,Niger-Congo
Stream and listen to music online for free with SoundCloud,https://m.soundcloud.com/,"Discover and play over 320 million music tracks. Join the world’s largest online community of artists, bands, DJs, and audio creators.",Day,Niger-Congo
,"/clev?event=StartpageResultClick&sc=2sbbv9Ind9sqARvtfHmZz7Dx6LtIksRFiIEYB2EOzkdvQWlzHDlgZtm14egSFlQWoPkbBTKc07QVZg2z1ZsnxPC4wrWvtD1r&payload={""bdsSessionId"":""7d8e8896f7cd45a38512c604d98136c3"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""gczFJgmkc27EOPLS"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""Qz2k1qEOLHVBDkRW"",""surface"":""serp-web"",""transport"":""href-request""}",,Day,Niger-Congo
