title,link,text,language,family
Chadic languages - Wikipedia,https://en.wikipedia.org/wiki/Chadic_languages,"The Chadic languages form a branch of the Afroasiatic language family. They are spoken in parts of the Sahel. They include 196 languages spoken across northern Nigeria, southern Niger, southern Chad, and northern Cameroon.",Dghwede,Afro-Asiatic
Semitic afro asiatic music - YouTube,https://www.youtube.com/playlist?list=PLA-yDGC_2qQcjJvogxaPv4iaMETlJnd1T,Semitic afro asiatic music. John Bethuy. • Плейлист • 23 видео • 268 просмотров.,Dghwede,Afro-Asiatic
Dghwede | Ethnologue Free,https://www.ethnologue.com/language/dgh/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjI1NS4yMzEuNDMiLCJjb3VudHJ5IjoiUlUiLCJ1c2VyX2VtYWlsIjoiIiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwicGhvdG9fdXJsIjoiIiwicHJvZmlsZV9uYW1lIjoiIiwicm9sZSI6IiIsImxldmVsIjoiRnJlZSIsIm5ldHdvcmtfbmFtZSI6IiIsInJlY3VybHlfaWQiOiIiLCJ0eXBlIjoiRnJlZSIsImV4cCI6MTczNTA4OTA0MywiaWF0IjoxNzM0ODI5ODQzfQ.ZoAAo2DSqTff49YnR8eAM0O3bwraRCE2HGcYAOk97No,"Dghwede is a stable indigenous language of Nigeria. It belongs to the Afro-Asiatic language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community.",Dghwede,Afro-Asiatic
Dghwede - dgh (Afro-Asiatic) - PeopleGroups.org,https://peoplegroups.org/language/dgh/,"Dghwede (dgh) is part of the Afro-Asiatic family and Afro-Asiatic, Chadic, Biu-Mandara, A, A.4, Mandara Proper, Glavda class. Dghwede speaking People Groups across the world: Fast Facts: Types.",Dghwede,Afro-Asiatic
afro-asiatic music - playlist by Farimah Karimi | Spotify,https://open.spotify.com/playlist/7ne7yf7hbjKVeHTVzV7TVN,Playlist · afro-asiatic music · 89 items · 4 saves.,Dghwede,Afro-Asiatic
BABEL - Sugar (Afro House) » Бесплатные MP3 песни - новинки...,https://muzelix.com/24374-babel-sugar-afro-house.html,«BABEL – Sugar (Afro House)» — бесплатная MP3 песня из свежих новинок и популярных хитов. Слушайте онлайн или скачайте трек в качестве 320 kbps.,Dghwede,Afro-Asiatic
[Ankara Echoes] Ta ki seni görene kadar (Beni Al Afro house...) | VK,https://vk.com/video-187734511_456250092,"YouTube Music's Videos.41,964 followers. Beni Al (Ta Ki Seni Görene Kadar) (Afro House Remix) · Ankara Echoes · Kürşad Kahraman.",Dghwede,Afro-Asiatic
Umberto Tozzi Ti Amo Top Version Afro House Remix Afro House...,https://soundse.net/show/umberto-tozzi-ti-amo-top-version-afro-house-remix-afro-house-2026,AFRO CODE Ti Amo – Umberto Tozzi ft. Anastacia (Afro House Remix) | AFRO CODE.,Dghwede,Afro-Asiatic
"Full text of ""enwiki-Dghwede_language-20200726.pdf""",https://archive.org/stream/enwiki-Dghwede_language-20200726.pdf/enwiki-Dghwede_language-20200726_djvu.txt,"Dghwede (also known as Hude, Johode, Traude, Dehoxde, Tghuade, Toghwede, Wa'a, Azaghvana, Zaghvana) is a Chadic language spoken in Borno State, Nigeria in the Gwoza LGA. Notes.Language. family. Afro-Asiatic",Dghwede,Afro-Asiatic
The ASJP Database - Wordlist Dghwede,https://asjp.clld.org/languages/DGHWEDE,"Afro Asiatic > Chadic > Biu Mandara > A > A.4 > Mandaraproper > Glavda. Sources. Frick 1977. Dghwede. In Kropp Dakubu, M. E. (ed.), West African language data sheets, vol. 1. Legon, Ghana: West African Linguistic Society.",Dghwede,Afro-Asiatic
