title,link,text,language,family
Alan Dargin - Wikipedia,https://en.m.wikipedia.org/wiki/Alan_Dargin,Alan Dargin (13 July 1967 – 24 February 2008) was an indigenous Australian musician and songwriter known for being a didgeridoo player. He grew up in Wee Waa and started learning the instrument at age five from his grandfather and other Wiradjuri elders.,Dhargari,Australian
Ash Dargan - Wikipedia,https://en.m.wikipedia.org/wiki/Ash_Dargan,"Ash Dargan is an indigenous Australian didgeridoo player. [1] He is a member of the Larrakia people [2] but did not find out about his aboriginality until he was 21. [3] He teaches and performs all over the world. He is a former member of Coloured Stone, appearing on their 1999 album Rhythm of Nature.",Dhargari,Australian
Australian Aboriginal Didgeridoo Music - YouTube,https://m.youtube.com/watch?v=nN-542IYoE0,"Australian Aboriginal music includes the music of Aboriginal Australians and social, cultural and ceremonial observances of these people, down through the millennia of their individual and ...",Dhargari,Australian
Didgeridoo Trance: Dadirri Meditation Music of Australian Aboriginal ...,https://music.youtube.com/playlist?list=OLAK5uy_mFKMWOaHSJs0ghQb2-sa517rtDpsfP7jg,"Listen to Didgeridoo Trance: Dadirri Meditation Music of Australian Aboriginal People, Shamanic Healing, Tribal Dances by Exotic Relax Music World, Aboriginal Native Music, and Native Aboriginal Guru on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Dhargari,Australian
Punjabi musician is Australia Day's pin-up messenger - SBS,https://www.sbs.com.au/language/punjabi/en/podcast-episode/punjabi-musician-is-australia-days-pin-up-messenger/k3pm429xd,"Devinder Dharia came to Australia from a small village near Gurdaspur in Punjab, nearly three decades ago. He has nurtured Punjabi folk music and dance in Australia since the 1990s.",Dhargari,Australian
Jacinta Tobin and Dharug songs – FEL Blog - ogmios.org,https://www.ogmios.org/blog/jacinta-tobin-and-dharug-songs/,"ED: I interviewed Jacinta right after months of fires all around Australia, but I did not ask any questions about the fires. Nonetheless, in her ecological view Jacinta sees her country and the world as her personal responsibility – the same way she sees language, music, and her ancestors’ culture as closely related agents for a better future.",Dhargari,Australian
'Advance Australia Fair' - Indigenous language resource - ACMF,https://acmf.com.au/product/aaf-indigenous/,"Description TEACHING RESOURCE FOR INDIGENOUS LANGUAGE VERSION OF “ADVANCE AUSTRALIA FAIR” – $25 FROM THE AUSTRALIAN CHILDREN’S MUSIC FOUNDATION (ACMF) This version of ‘Advance Australia Fair’ using a combination of Dharawal and Dharug languages was written for the children of Soldiers’ Settlement School, Matraville, Sydney. Uncle Matthew Doyle, a community elder, musician ...",Dhargari,Australian
When didgeridoo met dhol: The '90s bhangra hit that bridged cultures,https://www.sbs.com.au/language/punjabi/en/article/when-didgeridoo-met-dhol-the-90s-bhangra-hit-that-bridged-cultures/o6zrm94ha,"Back in 1996, singer Pupinder Mintu's 'Didgeridoo Bhangra' fused Indigenous Australian and Punjabi music traditions — and became an unlikely hit.",Dhargari,Australian
"To Listen, To Sing – Ngarra-Burria: First Peoples Composers",https://www.abc.net.au/listen/classic/featured-music/feature-albums/to-listen-to-sing-ngarra-burria-first-peoples-composers/101720604,"Celebrate the creative vision of 12 of the award-winning Ngarra-Burria program's leading alumni, in performances by the brilliant artists of Ensemble Offspring.",Dhargari,Australian
,"/clev?event=StartpageResultClick&sc=2sbbv9IndL5Rdtjq61kVvSPLNmNQtcEotvwJjyu5aHVGovc3lVw9AH6uryBLwtAtr1GwYYckkzFhKA4EWja7bvaOLxfCW7AV&payload={""bdsSessionId"":""b4fbdc67a3764110828c9188949687d8"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""1aaYAXc7YXHZ27mYD"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""AtC54K5a6qk2II15"",""surface"":""serp-web"",""transport"":""href-request""}",,Dhargari,Australian
