title,link,text,language,family
Northeast Caucasian languages - Wikipedia,https://en.m.wikipedia.org/wiki/Northeast_Caucasian_languages,"Main areas of Northeast Caucasian languages The Northeast Caucasian languages, also called East Caucasian, Nakh-Daghestani or Vainakh-Daghestani, or sometimes Caspian languages (from the Caspian Sea, in contrast to Pontic languages for the Northwest Caucasian languages), is a family of languages spoken in the Russian republics of Dagestan, Chechnya and Ingushetia and in Northern Azerbaijan as ...",Dido,Nakh-Daghestanian
Dido (singer) - Wikipedia,https://en.m.wikipedia.org/wiki/Dido_(singer),"Dido Florian Cloud de Bounevialle O'Malley Armstrong[5] (born Florian Cloud de Bounevialle Armstrong, 25 December 1971), known mononymously as Dido (/ ˈdaɪdoʊ / DY-doh), is an English singer and songwriter. She attained international success with her debut album No Angel (1999); hit singles from the album include ""Here with Me"" and ""Thank You"".",Dido,Nakh-Daghestanian
Dido - YouTube Music,https://music.youtube.com/playlist?list=PLe2DKKgoJiq9jvKU_J3rouZgrKAfmDZbs,"Listen to Dido on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Dido,Nakh-Daghestanian
Dido Official Website,https://didomusic.com/,The Official website for Dido. 'No Angel' Anniversary Edition Out 19th September,Dido,Nakh-Daghestanian
Dido | Greatest Hits Compilation | Non stop playlist (Official ...,https://m.youtube.com/watch?v=ppnM92xPbZI,Dido | Greatest Hits Compilation | Non stop playlist (Official & Promotional Singles up to 2019),Dido,Nakh-Daghestanian
"Dido — Biography, Discography, Albums & Expert Reviews | AllMusic",https://www.allmusic.com/artist/dido-mn0000217344,"Dido's complete discography, biography, and expert reviews. 1990–present. Learn all about Dido on AllMusic.",Dido,Nakh-Daghestanian
Nakh-Daghestanian | Ethnologue Free,https://www.ethnologue.com/subgroup/215/,Nakh-Daghestanian Subgroup of 31 languages Collapse All Expand All Avar-Andic 9 Dargwic 3 Khinalugh 1 Lak 1 Lezgic 9 Nakh 3 Tsezic 5,Dido,Nakh-Daghestanian
"Dido Language (DDO) – L1 & L2 Speakers, Status, Map ... - Ethnologue",https://www.ethnologue.com/language/ddo/,"Dido is an endangered indigenous language of the Russian Federation and Georgia. It belongs to the Nakh-Daghestanian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is taught as a subject of instruction in some schools.",Dido,Nakh-Daghestanian
"Nakho-Dagestanian languages | Nakh-Dagestan, Caucasus, Endangered ...",https://www.britannica.com/topic/Nakho-Dagestanian-languages,"Nakho-Dagestanian languages, group of languages spoken in the northeastern Caucasus Mountains. The Nakh division consists of the languages of the Chechen, Ingush, and Bats. The Dagestanian division is more multifarious and includes such groups as the Avar-Andi-Dido languages, the Lak-Dargin",Dido,Nakh-Daghestanian
,"/clev?event=StartpageResultClick&sc=2sbbv9IndhfC7KQW1GZYuPqXP7zj5RbffZXuqJJp2h1fV33QqJ3LkH1D5ijlAaLzWWNsaTodZO5jEeFfW4XBZuTmNUtzzaup&payload={""bdsSessionId"":""e6bcbe4adc664401b7a20eb0e3c388e6"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""1fHDO0RwxP0FKWjbc"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""1jHuHJ5rbfDNEVOKS"",""surface"":""serp-web"",""transport"":""href-request""}",,Dido,Nakh-Daghestanian
