title,link,text,language,family
Aveteian language - Wikipedia,https://en.m.wikipedia.org/wiki/Aveteian_language,"Aveteian (Dixon Reef) is a possibly extinct language of Vanuatu, presumably one of the Malekula Interior languages. [2] In the early twentieth century it was spoken by a few families living to the north of Ninde.",Dixon Reef,Austronesian
ABVD: Dixon Reef,https://abvd.eva.mpg.de/austronesian/language.php?id=1025,A Database of Basic Austronesian Vocabulary Resources: ABVD: Alternate Wordlist for Dixon Reef ABVD: Alternate Wordlist for Angavae (Dixon Reef) Ethnologue Information for dix OLAC Information for dix [Suggest a resource],Dixon Reef,Austronesian
ABVD: Angavae (Dixon Reef),https://abvd.eva.mpg.de/austronesian/language.php?id=1238,A Database of Basic Austronesian Vocabulary Resources: ABVD: Alternate Wordlist for Dixon Reef ABVD: Alternate Wordlist for Dixon Reef Ethnologue Information for dix OLAC Information for dix [Suggest a resource],Dixon Reef,Austronesian
OLAC resources in and about the Dixon Reef language,http://www.language-archives.org/language/dix,Language descriptions ONLINEGlottolog 5.2 Resources for Dixon Reef. n.a. 2025. Max Planck Institute for Evolutionary Anthropology. oai:glottolog.org:dixo1238 ONLINEGeneral Phonetic Laws on Malekula Island (Draft) by A. Capell. Arthur Capell. 1999. Pacific And Regional Archive for Digital Sources in Endangered Cultures (PARADISEC). oai:paradisec.org.au:AC2-VMCOMG102 ONLINEFuture and Past Tenses ...,Dixon Reef,Austronesian
Variety Angavae (Dixon Reef) (Austronesian) - lexibank.clld.org,https://lexibank.clld.org/languages/abvdoceanic-AngavaeDixonReef,"Other segments Other segments w voiced labio-velar approximant consonant Glottocode: dixo1238 ISO 639-3: dix CLDF dataset derived from Blust's Austronesian data coded for the Austronesian Basic Vocabulary Database from 2008 Coordinates WGS84 16°20'S, 167°31'E-16.33, 167.52",Dixon Reef,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of Southeast Asia. Hope you all enjoy🤗 ...",Dixon Reef,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Austronesian culture includes more than 1200 ethnic groups, across South Asia, Southeast Asia, Taiwan, the Philippines, parts of China, as well as the Pacific as far afield as the Maori in New ...",Dixon Reef,Austronesian
"Dixon Reef Language (DIX) – L1 & L2 Speakers, Status ... - Ethnologue",https://www.ethnologue.com/language/dix/,"Dixon Reef is an endangered indigenous language of Vanuatu. It belongs to the Austronesian language family. The language is used as a first language by all adults in the ethnic community, but not all young people. It is not known to be taught in schools.",Dixon Reef,Austronesian
Dixon Reef - Wikitongues | dix,https://staging.wikitongues.org/languages/dix/,"Wikitongues safeguards endangered languages, expands access to linguistic resources, and directly supports language revitalization projects on every continent.",Dixon Reef,Austronesian
,"/clev?event=StartpageResultClick&sc=2sbbv9IndxGmNACshT5uFwzvbfglzYOijrVMIkiHgFMnANvM3owVhdaQkkzvcDKrktLIuinRCB08Ks93ly4siGYLSjFaydS5&payload={""bdsSessionId"":""e08e061cdd5044b19af171b841202a2d"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""1pSfDy7zDUybU5B9y"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""1wKROE3s5e2PUA0MJ"",""surface"":""serp-web"",""transport"":""href-request""}",,Dixon Reef,Austronesian
