title,link,text,language,family
Real 17 - Dorio Meri (Official Audio) ft. Linsta _Solomon Islands Music ...,https://m.youtube.com/watch?v=x5zDkDWnhRM,Real 17 - Remember (Official Video) ft. Daddy Slambo Real 17 - Half To'obaita (Official Music Video) ft. Dekriz x Kwanz | Solomon Islands Music 2023,Dori’o,Austronesian
Dorio in Solomon Islands people group profile | Joshua Project,https://joshuaproject.net/people_groups/11611/BP,The Dorio are an indigenous Austronesian-speaking people living in west-central Malaita in the Solomon Islands. Their Dori'o language belongs to the Oceanic branch and is used in daily life.,Dori’o,Austronesian
Dorio in Solomon Islands Profile - test.joshuaproject.net,https://test.joshuaproject.net/people_groups/print/11611/BP,"Introduction / History The Dorio are an indigenous Austronesian-speaking people living in west-central Malaita in the Solomon Islands. Their Dori'o language belongs to the Oceanic branch and is used in daily life. Historically, they share in the broader Malaita cultural patterns shaped by clan identity, subsistence living, and later contact with Christian missions during the colonial era.",Dori’o,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/@austronesianmusic6149,"Hi everyone! Welcome to Austronesian Music🎶This channel mainly posts music from Austronesian countries and languages, and also other songs of languages of Southeast Asia. Hope you all enjoy🤗 ...",Dori’o,Austronesian
Variety Dori'o (Austronesian) - lexibank.clld.org,https://lexibank.clld.org/languages/abvdoceanic-Dorio,"Other segments Other segments w voiced labio-velar approximant consonant Glottocode: dori1246 ISO 639-3: dor CLDF dataset derived from Blust's Austronesian data coded for the Austronesian Basic Vocabulary Database from 2008 Coordinates WGS84 9°07'S, 160°54'E-9.12, 160.90",Dori’o,Austronesian
"Traditional Panpipe tune from Dorio District, Malaita ... - Facebook",https://www.facebook.com/ARUA-Music-Of-The-South-Sea-Islands-259010124935312/videos/traditional-panpipe-tune-from-dorio-district-malaita-solomon-islandsphone-vids-b/519504216137460/,"Traditional Panpipe tune from Dorio District, Malaita, Solomon Islands. Phone vids by John Oiuru",Dori’o,Austronesian
"Dori'o language. Evangelism tools, church planting resources, Christian ...",https://globalrecordings.net/en/language/dor,"Dori'o language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.",Dori’o,Austronesian
ABVD: Dori'o,https://abvd.eva.mpg.de/austronesian/language.php?id=532&sort=item&history=all,"Seen an error? Please let us know: shoulder to chew to cook to yawn to dream husband wife needle to shoot stick/wood to plant to choose to grow to buy to open, uncover to pound, beat to throw worm (earthworm) salt lake narrow wide shy, ashamed to hide to climb above that other all Twenty Fifty you to flow warm bad, evil day what? to cry leg/foot far right white to swim big old to steal dirty ...",Dori’o,Austronesian
ABVD: Dori'o,https://abvd.eva.mpg.de/austronesian/language.php?id=532&history=all&sort=annotation,"Seen an error? Please let us know: shoulder to chew to cook to yawn to dream husband wife needle to shoot stick/wood to plant to choose to grow to buy to open, uncover to pound, beat to throw worm (earthworm) salt lake narrow wide shy, ashamed to hide to climb above that other all Twenty Fifty to live, be alive and hand ash at back bad, evil to swim belly below big bird to bite black blood to ...",Dori’o,Austronesian
,"/clev?event=StartpageResultClick&sc=2sbbv9Ind9u3L7ZATjzdc6t6vBv5EVJ2JbswzGLncvdyAcEdHlkmsx5mY8P0O7WXiPuNySVTsYEr1KZNrmvgqrto6GaUeunz&payload={""bdsSessionId"":""a468d53ce51143e989e622629ae49c5f"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""wQRbCZeTxVpGB7PZ"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""1tosvX7InbDPz2UDD"",""surface"":""serp-web"",""transport"":""href-request""}",,Dori’o,Austronesian
