title,link,text,language,family
Republic of the Congo - Wikipedia,https://en.wikipedia.org/wiki/Republic_of_the_Congo,"The Republic of the Congo, also known as Congo-Brazzaville, the Congo Republic or simply Congo, is a country located on the western coast of Central Africa to the west of the Congo River.",Duma,Niger-Congo
"DJ Erycom: Download Ugandan Music 2026, Uganda Music...",https://www.djerycom.ug/,Ugandan music videos 2026. Munsimanga Roo Ya Simba.Congo Music. Dancehall.,Duma,Niger-Congo
Duma people,https://grokipedia.com/page/duma_people,The Duma language is classified as a member of the Nzebi subgroup (B.51) within the West-Coastal Bantu branch of the Niger-Congo phylum.,Duma,Niger-Congo
History of Rock Music vol8,https://www.scaruffi.com/vol8/geo2.html,Canada: world-music. Jerusalem in My Heart.Joeboy (Nigeria). Kasai Allstars (Congo Kinshasa). Rokia Kone' (Mali). Mdou Moctar (Niger).,Duma,Niger-Congo
What Languages do People Speak in Nigeria?,https://worldpopulationreview.com/countries/nigeria/language,"It is from the Niger-Congo language family and has as many as 24 million native speakers, both within and outside of Nigeria. There are over 20 dialects of Igbo, but Umuahia and Owerri are considered to be the official dialects.",Duma,Niger-Congo
Duma (feat. Atalia) - Single” álbum de Mr Jay en Apple Music,https://music.apple.com/ni/album/duma-feat-atalia-single/1838583464,"Abrir en Música. Duma (feat. Atalia) - Single.Qatar. Congo, Republic of. Rwanda. Saudi Arabia.",Duma,Niger-Congo
"Duma, Niger, Nigeria Weather Forecast | AccuWeather",https://www.accuweather.com/en/ng/duma/254245/weather-forecast/254245,"Duma, Niger. 24°C. Location.Weather Near Duma: Esagi, Niger. Gwagwalada, Abuja Federal Capital Territory.",Duma,Niger-Congo
NIGER MUSIC – Photo Essay - Andy Morgan Writes,https://www.andymorganwrites.com/niger-music-2/,In February 2013 I traveled to Niamey in search of Niger music. I spent time with some inspiring people and they gracefully allowed me to take photos. Here's a gallery featuring some of them.,Duma,Niger-Congo
Hot congo music nigerian congo highlife music,https://www.youtube.com/watch?v=2DwaH72hmrQ,,Duma,Niger-Congo
Even Small Love Brings Good Fortune - Chapter 2 - NimuStream,https://nimustream.moe/nh/660818,[Announ] Even Small Love Brings Good Fortune - Chapter 2 (COMIC Kuriberon DUMA 2026-07 Vol.86) [English] [SS22] / [暗ノ吽] 小せェ恋に「福」来る!? 中編 (COMIC クリベロン DUMA 2026年7月号 Vol.86) [英訳] [SS22]. NHentai. Start Reading.,Duma,Niger-Congo
