title,link,text,language,family
North Efate language - Wikipedia,https://en.wikipedia.org/wiki/North_Efate_language,"North Efate, also known as Nakanamanga or Nguna, is an Oceanic language spoken on the northern area of Efate in Vanuatu, as well as on a number of islands off the northern coast – including Nguna, and parts of Tongoa, Emae and Epi.","Efate, North",Austronesian
"ABVD: Efate, North (Pwele)",https://abvd.eva.mpg.de/austronesian/language.php?id=1078,"ABVD: Alternate Wordlist for Efate, North (Nguna). Ethnologue Information for llp.Creative Commons License The Austronesian Basic Vocabulary Database by Greenhill et al. is licensed under a Creative Commons Attribution 4.0 International License.","Efate, North",Austronesian
Austronesian Music & Instruments - YouTube,https://www.youtube.com/watch?v=2MI-S_5gG3Y,School: National Taiwan Normal UniversityCourse: Comparative study of Cultural Zone on Austronesian Music (II)Venue: Music Building AnnexDate: 9 June 2025.,"Efate, North",Austronesian
"Efate, North Language (LLP) – L1 & L2 Speakers... | Ethnologue Free",https://www.ethnologue.com/language/llp/,North Efate is a stable indigenous language of Vanuatu. It belongs to the Austronesian language family.,"Efate, North",Austronesian
North Efate language and alphabet,https://www.omniglot.com/writing/northefate.htm,"North Efate is a member of the Southern Oceanic branch of Malayo-Polynesian language family. It is spoken on the island of Efate in central Vanuatu by about 9,500 people, particularly along the north coast of Efate and on nearby islands, such as Nguna, Tongoa, Emae and Epi.","Efate, North",Austronesian
Efate,https://grokipedia.com/page/Efate,"The predominant religion on Efate is Christianity, with approximately 92% of the North Efate population adhering to it, reflecting patterns seen across Vanuatu where national figures reach about 93% Christian affiliation as of 2020 data.[99][169]...","Efate, North",Austronesian
North Efate - llp (Austronesian) - PeopleGroups.org,https://peoplegroups.org/language/llp/,"People Groups who primarily speak North Efate. To download a comprehensive people group list in spreadsheet form, visit our Research Data page. Visualize lostness with powerful maps.","Efate, North",Austronesian
"Efate, North",https://docs.verbix.com/Languages/EfateNorth,"More information: Introduction. Efate, North is a language of Vanuatu. It is spoken in North Efate island, Nguna, Tongoa, and several smaller islands, southeast Epi.","Efate, North",Austronesian
Efate (North) Language Sample | Language Museum,https://www.language-museum.com/encyclopedia/e/efate-north.php,"If you want to get a flavour of the Efate (North) language, check out a small sample at the Language Museum.Vanuatu (3,000) - Total (3,000). Classification. Austronesian | Malayo-Polynesian.","Efate, North",Austronesian
"Draugr Balled, Duet, Viking Somg - North wind calls »... | MuzLu",https://muzlu.net/25716-draugr-balled-duet-viking-somg-north-wind-calls.html,"Drugger here, waiting to let the whole world meet ???? ???? Run-Hill, my partners, beer in her grip ???? ???? We don't just make music, we make history, flip ???? ????","Efate, North",Austronesian
