title,link,text,language,family
Enets language - Wikipedia,https://en.m.wikipedia.org/wiki/Enets_language,"Enets (Forest Enets: Онэй база) is a Samoyedic language of Northern Siberia spoken on the Lower Yenisei within the boundaries of the Taimyr Municipality District, a subdivision of Krasnoyarsk Krai, Russian Federation. Enets belongs to the Northern branch of the Samoyedic languages, in turn a branch of the Uralic language family. [5]","Enets, Forest",Uralic
Proto-Samoyedic language - Wikipedia,https://en.m.wikipedia.org/wiki/Proto-Samoyedic_language,"Proto-Samoyedic, or Proto-Samoyed, is the reconstructed ancestral language of the Samoyedic languages: Nenets (Tundra and Forest), Enets, Nganasan, Selkup, as well as extinct Kamas and Mator. Samoyedic is one of the principal branches of the Uralic language family, and its ancestor is Proto-Uralic. It has been suggested that Proto-Samoyedic greatly influenced the development of Tocharian, an ...","Enets, Forest",Uralic
Forest Enets – Endangered Languages and Cultures of Siberia,https://siberianlanguages.surrey.ac.uk/summary/forest-enets/,"Forest Enets (also called Bay, Pe-bay, or Karasino Yenissey Samoyed) is one of the two varieties of Enets, a Northern Samoyedic Uralic language, traditionally spoken in the northern part of central Siberia, in the Taymyr municipal region of Russia. Currently, approximately 30 speakers, all over 45, have fluent or near-fluent command of Forest ...","Enets, Forest",Uralic
Tundra Nenets: a grammatical sketch - Helsinki,https://www.mv.helsinki.fi/home/tasalmin/TN_sketch.pdf,"In the east, the Tundra Nenets-speaking area now extends across the Bay of Yenisei to larger parts of the Taimyr District, where a process of Nenetsization, similar to the completed absorption of Yurats, is underway among both groups of Enets.","Enets, Forest",Uralic
(PDF) Forest Enets Dictionary - ResearchGate,https://www.researchgate.net/publication/398688111_Forest_Enets_Dictionary,"This publication is a Forest Enets (ISO-639-3 code enf, Glottolog code fore1265; < Samoyedic < Uralic) dictionary based on INEL Enets Corpus and elicited data collected in 2010s. The main ...","Enets, Forest",Uralic
Sub-project Enets : INEL : University of Hamburg,https://www.slm.uni-hamburg.de/en/inel/projekt/sprachen/enzisch.html,Sub-project Enets Photo: Maria Ovsyannikova Enets belongs to the Samoyedic branch of the Uralic languages and is spoken on the Taimyr Peninsula. One of its closest relatives is Nenets. Enets can be divided into two varieties: Forest and Tundra Enets. These varieties are increasingly regarded as separate languages.,"Enets, Forest",Uralic
UraTyp - Language Forest Enets - uralic.clld.org,https://uralic.clld.org/languages/29,Showing 1 to 100 of 353 entries ← Previous 1 2 3 4 Next →,"Enets, Forest",Uralic
EXMARaLDA-powered corpora of endangered languages of Siberia: INEL ...,https://exmaralda.org/en/2025/07/10/exmaralda-powered-corpora-of-endangered-languages-of-siberia-inel-project/,The INEL Enets corpus 1.0 includes texts recorded between 1962–2017 in Tundra and Forest Enets (< Samoyedic < Uralic). The sources of the data include various published and legacy audio recordings as well as published texts and legacy manuscripts. Video recordings are also included into the corpus where available.,"Enets, Forest",Uralic
Andrey Shluinsky - Humboldt University Berlin,https://humboldt-uni.academia.edu/AndreyShluinsky,"This publication is a Forest Enets (ISO-639-3 code enf, Glottolog code fore1265; < Samoyedic < Ur... more This publication is a Forest Enets (ISO-639-3 code enf, Glottolog code fore1265; < Samoyedic < Uralic) dictionary based on INEL Enets Corpus and elicited data collected in 2010s. The main representation of dictionary entries uses a consistent phonological account, while a representation in ...","Enets, Forest",Uralic
,"/clev?event=StartpageResultClick&sc=2sbbv9Ind9tOlvyOLnrpIw6UZCncMZGROVPPK9DefMz3H5pdyxbMbthCbEnDoTHgZOVcaT2zvtUOkS1MrYgJtDSxkahiN5Pn&payload={""bdsSessionId"":""178fb519b0d0462eb84706746e636bca"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""ZgO6G3Zht4ZVv98c"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""97K7AAf3ma3Tztp9"",""surface"":""serp-web"",""transport"":""href-request""}",,"Enets, Forest",Uralic
