title,link,text,language,family
Mascoian languages - Wikipedia,https://en.m.wikipedia.org/wiki/Mascoian_languages,"The Mascoian languages, also known as Enlhet–Enenlhet, Lengua–Mascoy, or Chaco languages, are a small, closely related language family of Paraguay.",Enlhet,Mascoyan
Enlhet language - Wikipedia,https://en.m.wikipedia.org/wiki/Enlhet_language,"Enlhet (Eenlhit), or Northern Lengua, is a language of the Paraguayan Chaco, spoken by the northern Enxet people. It is also known as Vowak and Powok. In Filadelfia (Paraguayan Chaco) there is an organization that advocates for Enlhet language. [2]",Enlhet,Mascoyan
Mascoian languages - Wikipedia,https://en.wikipedia.org/wiki/Mascoian_languages,"The Mascoian languages, also known as Enlhet–Enenlhet, Lengua–Mascoy, or Chaco languages, are a small, closely related language family of Paraguay.",Enlhet,Mascoyan
Enlhet language - Wikipedia,https://en.wikipedia.org/wiki/Enlhet_language,"Enlhet (Eenlhit), or Northern Lengua, is a language of the Paraguayan Chaco, spoken by the northern Enxet people. It is also known as Vowak and Powok. In Filadelfia (Paraguayan Chaco) there is an organization that advocates for Enlhet language. [2]",Enlhet,Mascoyan
Enlhet language - Omniglot,https://www.omniglot.com/writing/enlhet.htm,"Dec 25, 2025 · The Enlhet Institute, Nengvaanemkeskama Nempayvaam Enlhet (NNE - ""Growing our language and knowledge""), was founded by Ernesto Unruh and Hannes Kalisch in 1995 to document and preserve the Enhlet language and culture.",Enlhet,Mascoyan
YouTube Music,https://music.youtube.com/,"With the YouTube Music app, enjoy over 100 million songs at your fingertips, plus albums, playlists, remixes, music videos, live performances, covers, and hard-to-find music you can’t get anywhere else.",Enlhet,Mascoyan
Enlhet & Toba Maskoy – Manolo Romero and Lanto'oy Unruh,https://m.youtube.com/watch?v=LuyJ1Iib6YA,Manolo Romero and Lanto'oy Unruh discuss their work revitalizing the Enlhet Norte and Toba Maskoy languages of Paraguay. Moderated by Celeste Escobar.,Enlhet,Mascoyan
Enlhet language — Grokipedia,https://grokipedia.com/page/enlhet_language,"Enlhet is an indigenous language belonging to the Enlhet-Enenlhet (Mascoian) family, spoken primarily by the Enlhet people in the Gran Chaco region of western Paraguay, particularly in the Presidente Hayes Department. [1][2] It is also known by alternative names such as Northern Lengua, Eenlhit, Vowak, and Powok, reflecting historical missionary designations and self-appellations. [1] With ...",Enlhet,Mascoyan
Enlhet & Toba Maskoy – Manolo Romero and Lanto'oy Unruh,https://www.youtube.com/watch?v=LuyJ1Iib6YA,"Dec 31, 2025 · Manolo Romero and Lanto'oy Unruh discuss their work revitalizing the Enlhet Norte and Toba Maskoy languages of Paraguay. Moderated by Celeste Escobar.",Enlhet,Mascoyan
Toba-Maskoy language — Grokipedia,https://grokipedia.com/page/toba_maskoy_language,"Toba-Maskoy, also known as Enenlhet or simply Maskoy, is an endangered indigenous language belonging to the Mascoyan (or Enlhet-Enenlhet) language family, spoken primarily by the Toba-Maskoy people in the Gran Chaco region of Paraguay. [1] [2] The language is used by an ethnic population of approximately 2,371 individuals, concentrated in rural communities across the departments of Presidente ...",Enlhet,Mascoyan
