title,link,text,language,family
Austronesian peoples - Wikipedia,https://en.wikipedia.org/wiki/Austronesian_peoples,"The Austronesian peoples, sometimes referred to as Austronesian-speaking peoples, are a large collection of peoples who speak Austronesian languages, having settled in Taiwan...",Essono,Austronesian
(PDF) Musical aspects of Austronesian culture,https://www.academia.edu/4175401/Musical_aspects_of_Austronesian_culture,Musical forms correlate with the expansion of Austronesian culture in the Indo-Pacific.Polyphonic choral singing shows significant similarities between Taiwan and South China.,Essono,Austronesian
I Can't Understand - Radio Mix - lagu dan lirik oleh Essono | Spotify,https://open.spotify.com/intl-id/track/0H9Ze3hMcRH0M68XGYsEXg,Essono · I Can't Understand · Lagu · 2016.,Essono,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Essono,Austronesian
Small Island Big Song: The Sounds of Austronesian Music,https://nspp.mofa.gov.tw/nsppe/news.php?post=213795&unit=410&unitname=sties&postname=Small-Island-Big-Song:-The-Sounds-of-Austronesian-Music,Linking Austronesia through music. The first album of the Small Island Big Song project comprised 18 songs recorded by producer BaoBao Chen and her husband...,Essono,Austronesian
Selendang Sutra live-cover by Essono music feat. Datuk NIK...,https://www.youtube.com/watch?v=8aVyF9MwD6Q,,Essono,Austronesian
Keyboard Ear Training,https://www.musictheory.net/exercises/ear-keyboard,Keyboard Ear Training - Music Theory.net.,Essono,Austronesian
science.org/doi/10.1126/science.aba0909,https://www.science.org/doi/10.1126/science.aba0909,The Qihe individual is closely related genetically to the later Austronesians.,Essono,Austronesian
trussel2.com/ACD/acd-w_g.htm,https://www.trussel2.com/ACD/acd-w_g.htm,Austronesian Comparative Dictionary - Words: g.,Essono,Austronesian
EthnoGuessr — Game Modes,https://hbd.gg/modes/,"Austronesian. How good are you at distinguishing Austronesians, Papuans, and Australians?",Essono,Austronesian
