title,link,text,language,family
"Ope Mangke Wayi - traditional Gaddang love song; transcribed, arranged ...",https://m.youtube.com/watch?v=jt1n5gqkJmg,"“Ope Mangke Wayi” is a love song in Gaddang, an endangered language found in the Cagayan Valley region in northern Luzon, related to other “mountain languages” in the region.",Gaddang,Austronesian
THE KONTRATA AS A CULTURAL GIFT: A GADDANG MARCHING BAND IN THE FUNERAL ...,https://www.tci-thaijo.org/articles/social18-1753,"Guided by the Maussian concept of the gift, the research problem seeks to answer the economic implications, social contribution, and the moral exchange that Gaddang musical performances facilitate in the community.",Gaddang,Austronesian
ABVD: Gaddang,https://abvd.eva.mpg.de/austronesian/language.php?id=418,"From: Austronesian, Malayo-Polynesian, Northern Philippine, Northern Luzon, Northern Cordilleran, Ibanagic, Gaddang To: Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Northern Cordilleran, Cagayan Valley, Ibanagic, Gaddangic - Simon Greenhill (2009-07-23 03:33:50)",Gaddang,Austronesian
ACD - Austronesian Comparative Dictionary Online - Language Gaddang,https://acd.clld.org/languages/268,Language Gaddang Showing 1 to 64 of 64 entries ← Previous 1 Next → ... Showing 1 to 64 of 64 entries,Gaddang,Austronesian
The sound and sight of the Gaddang tribe of Ifugao. # ...,https://www.facebook.com/watch/?v=1579160926554122,The sound and sight of the Gaddang tribe of Ifugao. #FindYourSelfintheCordilleras #thehighlandreveler #ethicparade #gaddang #culture @highlight World Culture Festival,Gaddang,Austronesian
"When I was young, I was taught this Gaddang song by my late ... - Facebook",https://www.facebook.com/frospe/videos/when-i-was-young-i-was-taught-this-gaddang-song-by-my-late-grandfather-sr-orland/881078717058455/,"When I was young, I was taught this Gaddang song by my late grandfather, Sr. Orlando Danguilan Maddela, a musician and many other Gaddang folksongs. I'm proud to belong to the clan of the music...",Gaddang,Austronesian
Stream euraxx | Listen to Austronesian traditional music playlist ...,https://soundcloud.com/euraxx/sets/austronesian-traditional-music,"Listen to Austronesian traditional music, a playlist curated by euraxx on desktop and mobile.",Gaddang,Austronesian
gaddang songs - YouTube,https://www.youtube.com/playlist?list=PLCzEDJCWbSjX5su6LCAnO0LJmMppZvE2S,"Share your videos with friends, family, and the world",Gaddang,Austronesian
"Pinoy Albums » Various Artists, José Maceda – Archival Sound Series ...",https://pinoyalbums.com/432719/various-artists-jose-maceda-archival-sound-series-field-recordings-in-philippines-1953-1972-2015/,"This CD is a collection of different Filipino traditional music and folk songs, recorded by Jose Maceda from 1953 to 1972. The CD dedicates to the ranges of different location, music, song in Philippines and introduces Maceda’s contribution to the field recording techniques and interests.",Gaddang,Austronesian
,"/clev?event=StartpageResultClick&sc=AR5cSbelaQjy6jFxVZMOB1G1Js6aMZO7Zc1bn4O0zRzmSNjWBzgHmgZJrkEhzhUFc0t0vYhjHlzUMnUDVohgw7qvJjoXZX&payload={""bdsSessionId"":""d5cbbef8899044108ac3fbdfcf5f9acc"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""YLdQvNnNLnDh27QN"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""ryG6tIJRq4Ij7eot"",""surface"":""serp-web"",""transport"":""href-request""}",,Gaddang,Austronesian
