title,link,text,language,family
Nakh-Daghestanian | Ethnologue Free,https://www.ethnologue.com/subgroup/215/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjI1NS4yMzEuNzMiLCJjb3VudHJ5IjoiUlUiLCJ1c2VyX2VtYWlsIjoiIiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwicGhvdG9fdXJsIjoiIiwicHJvZmlsZV9uYW1lIjoiIiwicm9sZSI6IiIsImxldmVsIjoiRnJlZSIsIm5ldHdvcmtfbmFtZSI6IiIsInJlY3VybHlfaWQiOiIiLCJ0eXBlIjoiRnJlZSIsImV4cCI6MTczNTIwOTEyNCwiaWF0IjoxNzM0OTQ5OTI0fQ.ePjvtkQYFmvq2rbwQuJG-TFkxMUdN9rfAuYKaKeNtUI,"Nakh-Daghestanian. Subgroup of 31 languages.Ghodoberi gdo, a language of Russian Federation.",Ghodoberi,Nakh-Daghestanian
Ghodoberi - gdo (Nakh-Daghestanian) - PeopleGroups.org,https://peoplegroups.org/language/gdo/,"Ghodoberi (gdo) is part of the Nakh-Daghestanian family and Nakh-Daghestanian, Avar-Andic, Andic class. Ghodoberi speaking People Groups across the world: Fast Facts",Ghodoberi,Nakh-Daghestanian
Ghodoberi,https://docs.verbix.com/Languages/Ghodoberi,"Language code: gdo. Language family: Nakh-Daghestanian, Daghestanian, Avar-Andic-Tsezic, Andic, Botlikh-Godoberi. Number of speakers: 3000.",Ghodoberi,Nakh-Daghestanian
Ghodoberi language resources | Joshua Project,https://joshuaproject.net/index.php/languages/gdo,Ghodoberi language resources. Listing of people groups speaking Ghodoberi. Ghodoberi dialects and alternate names. Bible and ministry resource availability.,Ghodoberi,Nakh-Daghestanian
Etruscan’s genealogical linguistic relationship with Nakh-Daghestanian,https://www.eupedia.com/forum/threads/etruscan’s-genealogical-linguistic-relationship-with-nakh-daghestanian.34403/,"This is a paper by Ed Robertson from 2006 where he argues for a genetic relationship between Etruscan (and the Tyrrhenian family) and Nakh-Daghestanian languages of north east Caucasia, which have been linked before with Hurro-Urartian.",Ghodoberi,Nakh-Daghestanian
"Appendix:Proto-Nakh-Daghestanian reconstructions - Wiktionary, the...",https://en.wiktionary.org/wiki/Appendix:Proto-Nakh-Daghestanian_reconstructions,"Proto-Nakh-Daghestanian (i.e., Proto-Northeast Caucasian) reconstructions by Nichols (2003):[1]. Note: The numerals in the ""grammatical category"" column refer to the 5 gender classes in Proto-Nakh-Dagestanian.",Ghodoberi,Nakh-Daghestanian
Nakh-Daghestanian: Essential background... - YouTube,https://www.youtube.com/watch?v=gfvauHnP1c4,About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How...,Ghodoberi,Nakh-Daghestanian
WALS Online - Language Godoberi,https://wals.info/languoid/lect/wals_code_god,Alternative names. Ethnologue: Ghodoberi. Ruhlen: Godoberi.,Ghodoberi,Nakh-Daghestanian
Glottolog 5.3 - Godoberi,https://glottolog.org/resource/languoid/id/ghod1238,"collapse all. Nakh-Daghestanian (36). Ghodoberi (2314-gdo) = Endangered (80 percent certain, based on the evidence available) [Salminen 2007](cldf:salminen:07:2).",Ghodoberi,Nakh-Daghestanian
Chechen Genetics | World Genetics,https://www.worldgenetics.app/populations/chechen,"For genetics, Chechen results are best compared with Ingush and other Northeast Caucasus references. Their profile is part of a distinct Nakh-Daghestanian and broader Caucasus genetic setting. What is Chechen DNA closest to?",Ghodoberi,Nakh-Daghestanian
