title,link,text,language,family
Afroasiatic languages - Wikipedia,https://en.m.wikipedia.org/wiki/Afroasiatic_languages,"The Afroasiatic languages (also known as the Afro-Asiatic, Afrasian, Hamito-Semitic, or Semito-Hamitic languages) are a language family (or phylum) of about 400 languages spoken predominantly in West Asia, North Africa, the Horn of Africa, and parts of the Sahara and Sahel. [4] Over 500 million people are native speakers of an Afroasiatic language, constituting the fourth-largest language ...",Goemai,Afro-Asiatic
Goemai music - YouTube,https://m.youtube.com/watch?v=GGY4HoJQZn8,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",Goemai,Afro-Asiatic
YouTube Music,https://music.youtube.com/,"With the YouTube Music app, enjoy over 100 million songs at your fingertips, plus albums, playlists, remixes, music videos, live performances, covers, and hard-to-find music you can’t get anywhere else.",Goemai,Afro-Asiatic
afro-asiatic music - playlist by Farimah Karimi | Spotify,https://open.spotify.com/playlist/7ne7yf7hbjKVeHTVzV7TVN,afro-asiatic music · Playlist · 86 songs · 4 likes,Goemai,Afro-Asiatic
Stream Aken Aken | Listen to Afro-Asiatic music playlist online for ...,https://soundcloud.com/aken-aken-596342537/sets/afro-asiatic-music,"Listen to Afro-Asiatic music, a playlist curated by Aken Aken on desktop and mobile.",Goemai,Afro-Asiatic
"Stream Afroasiatica music | Listen to songs, albums ... - SoundCloud",https://soundcloud.com/afroasiatica,"Play Afroasiatica and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Goemai,Afro-Asiatic
"Goemai language - Alchetron, The Free Social Encyclopedia",https://alchetron.com/Goemai-language,"Goemai is an Afro-Asiatic (Chadic, West Chadic A) language spoken in the Plateau state of Central Nigeria by approximately 200,000 people. Its speakers refer to themselves and their language as 'Goemai'; in older linguistic, historical and ethnographical literature the term 'Ankwe' has been used to refer to the people.",Goemai,Afro-Asiatic
Sounding the Indian Ocean: Musical Circulations in the Afro-Asiatic ...,https://books.google.com/books/about/Sounding_the_Indian_Ocean.html?id=AejIEAAAQBAJ,"A free ebook version of this title is available through Luminos, University of California Press’s Open Access publishing program. Visit www.luminosoa.org to learn more. Sounding the Indian Ocean is the first volume to integrate the fields of ethnomusicology and Indian Ocean studies. Drawing on historical and ethnographic approaches, the book explores what music reveals about mobility ...",Goemai,Afro-Asiatic
"Sounding the Indian Ocean by Jim Sykes, Julia Byl - Paper",https://www.ucpress.edu/books/sounding-the-indian-ocean/paper,"""Sounding the Indian Ocean adeptly bridges music studies and Indian Ocean scholarship, history and ethnography, to show how music composes and transgresses categories, genealogies, and geographies in Afro-Asiatic seascapes. With a focus on three keywords—music, sound, and listening—fourteen essays by a global range of scholars offer rich cameos of the agency of communities and individuals ...",Goemai,Afro-Asiatic
,"/clev?event=StartpageResultClick&sc=AR5cSbell4PUvx0nYZ18Y3TooJDGMYoaAMqT7upqioINcs5QnpvIZRIJxree36MiN71rpWaQR4CVndUWoISZDpTj2vcYJn&payload={""bdsSessionId"":""6eca1c16bc544b308175ef3d7b8add0a"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""ajSj7YPyrgTNkE1x"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""WnyfS4Tufl9BlQQi"",""surface"":""serp-web"",""transport"":""href-request""}",,Goemai,Afro-Asiatic
