title,link,text,language,family
musictheory.net,https://www.musictheory.net/lessons/23,Scale Degrees - Tonic - Music Theory.,Guajá,Tupian
MusMix - Deep House Music » Скачать новую музыку 2026,https://uzden.net/20800-musmix-deep-house-music.html,"Скачать песню MusMix - Deep House Music, или слушать онлайн бесплатно! Текст песни.",Guajá,Tupian
Kimo Sounds - Rise Slow (Deep House Music) » Музыкальные...,https://muzexo.net/95784-kimo-sounds-rise-slow-deep-house-music.html,"На muzexo.net вы можете скачать трек Rise Slow (Deep House Music) - Kimo Sounds в формате mp3 бесплатно, а также слушать его онлайн в хорошем качестве.",Guajá,Tupian
Telegram: View @VONAMOUR_MUSIC,https://t.me/VONAMOUR_MUSIC,You can view and join @VONAMOUR_MUSIC right away.,Guajá,Tupian
Type Music - Девочка-царица » Скачать музыку 2026... | SheMuz,https://shemuz.com/33012-type-music-devochka-carica.html,"На этой странице Вы можете скачать «Type Music - Девочка-царица» — MP3 320 kbps (2.94 MB, 01:16) бесплатно или слушать онлайн в хорошем качестве.",Guajá,Tupian
Type Music - Девочка-царица » Бесплатные MP3 песни - новинки...,https://muzelix.com/26256-type-music-devochka-carica.html,«Type Music – Девочка-царица» — бесплатная MP3 песня из свежих новинок и популярных хитов. Слушайте онлайн или скачайте трек в качестве 320 kbps.,Guajá,Tupian
24 Hours Relaxing Music Relaxing Music Piano... - YouTube,https://www.youtube.com/watch?v=3Lfr3BhvkQY,About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How...,Guajá,Tupian
"Stream Guaja noob music | Listen to songs, albums, playlists for free...",https://soundcloud.com/mofeing,"Play Guaja noob and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Guajá,Tupian
Universidade de Brasília -UnB,"https://theswissbay.ch/pdf/Books/Linguistics/Mega+linguistics+pack/South+American/Tupian/Guajá,+Sobre+a+Morfologia+a+Sintaxe+da+Língua+(Magalhães).pdf",Tese de doutorado. Sobre a morfologia e a sintaxe da língua guajá (família tupí-guaraní). Marina Maria Silva Magalhães. Orientador: Prof.,Guajá,Tupian
"Guaja (feat. Emmanuel Jal, Nyaruach & Benjy) - LevyM: Song Lyrics...",https://www.shazam.com/song/1627075413/guaja-feat-emmanuel-jal-nyaruach-benjy,"Emmanuel Jal, Nyaruach & Benjy) by LevyM. See lyrics and music videos, find LevyM tour dates, buy concert tickets, and more!",Guajá,Tupian
