title,link,text,language,family
Gandangara - Wikipedia,https://en.m.wikipedia.org/wiki/Gandangara,"The Gandangara people, also spelled Gundungara, Gandangarra, Gundungurra and other variations, are an Aboriginal Australian people in south-eastern New South Wales, Australia. Their traditional lands include present day Goulburn, Wollondilly Shire, The Blue Mountains and the Southern Highlands.",Gundungurra,Australian
Ngunnawal–Gundungurra language - Wikipedia,https://en.m.wikipedia.org/wiki/Ngunnawal–Gundungurra_language,"Ngunnawal / Ngunawal and Gundungurra are Australian Aboriginal languages, and the traditional languages of the Ngunnawal and Gandangara. Ngunnawal and Gundungurra are very closely related and the two were most likely highly mutually intelligible. As such they can be considered dialects of a single unnamed language, but this is the technical linguistic usage of these terms and Ngunnawal and ...",Gundungurra,Australian
Gundungurra Culture Song and Dance - YouTube,https://m.youtube.com/watch?v=nMIy6pFe1Hg,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",Gundungurra,Australian
Gundungurra on Apple Music,https://music.apple.com/us/artist/gundungurra/528663614,Listen to music by Gundungurra on Apple Music. Find top songs and albums by Gundungurra including Keep On Moving and Keep On Moving.,Gundungurra,Australian
"Gundungurra Songs, Albums, Reviews, Bio & More... | AllMusic",https://www.allmusic.com/artist/gundungurra-mn0000920423,"Explore Gundungurra's discography including top tracks, albums, and reviews. Learn all about Gundungurra on AllMusic.",Gundungurra,Australian
"Gundungurra music, videos, stats, and photos - Last.fm",https://www.last.fm/music/Aboriginal+Beats+-+Gundungurra,"Listen to music from Aboriginal Beats - Gundungurra. Find the latest tracks, albums, and images from Aboriginal Beats - Gundungurra.",Gundungurra,Australian
Gundungurra | Spotify,https://open.spotify.com/artist/3R6Lu7iylMZrCjXxsZB9Yv,Listen to Gundungurra on Spotify.,Gundungurra,Australian
"Gundungurra | Lyrics, Song Meanings & Music Videos",https://sonichits.com/artist/Gundungurra,"Find the lyrics and meaning of any song, and watch its music video.Minnehaha Falls Track - Dharug and Gundungurra Country - Blue Mountains - NSW - Australia.",Gundungurra,Australian
music.amazon.com.au,https://music.amazon.com.au/,Accéder à la page de Amazon Music Australia Connexion.,Gundungurra,Australian
muckrack.com/gundungurra-peoples,https://muckrack.com/gundungurra-peoples,Back to Gundungurra peoples’s profile.,Gundungurra,Australian
