title,link,text,language,family
"DJ Erycom: Download Ugandan Music 2026, Uganda Music...",https://www.djerycom.ug/,Ugandan music videos 2026. Munsimanga Roo Ya Simba.Congo Music. Dancehall.,Gungu,Niger-Congo
Category:Gungu terms derived from Niger-Congo languages...,https://en.wiktionary.org/wiki/Category:Gungu_terms_derived_from_Niger-Congo_languages,"Gungu terms that originate from one of the Niger-Congo languages. This category should, ideally, contain only other categories. Entries can be categorized here, too, when the proper subcategory is unclear.",Gungu,Niger-Congo
Broken Heart - Single - Album by kohamo - Apple Music,https://music.apple.com/us/album/broken-heart-single/1892412238,"Kirakiranowatashitachi - EP. 2025. Gungu (feat. KASANE TETO) - Single.Congo, The Democratic Republic Of The. Egypt. Eswatini.",Gungu,Niger-Congo
What Languages do People Speak in Nigeria?,https://worldpopulationreview.com/countries/nigeria/language,"It is from the Niger-Congo language family and has as many as 24 million native speakers, both within and outside of Nigeria. There are over 20 dialects of Igbo, but Umuahia and Owerri are considered to be the official dialects.",Gungu,Niger-Congo
Congolese Nigerian Mix | TikTok,https://www.tiktok.com/discover/congolese-nigerian-mix,"Discover videos related to Congolese Nigerian Mix on TikTok. Last updated 2025-03-17. I’m Nigerian, but something that Congolese music is gonna get me every time #nigerian #congolesemusic #dance #foryou.",Gungu,Niger-Congo
Northern Dunklian (Niger-Congo) Translator | Free & AI-Powered,https://anythingtranslate.com/translators/northern-dunklian-niger-congo-translator/,Tired of the same old mundane phrases? Venture into the vibrant linguistic landscape of Northern Dunklian (Niger-Congo) with our amazing Northern Dunklian.,Gungu,Niger-Congo
Coupe du monde 2026 : La RD Congo à un match... - BBC News Afrique,https://www.bbc.com/afrique/articles/cn09ewgrn88o,Finale 1 : RD Congo - Vainqueur demi-finale 1La RD Congo élimine le Nigéria et se rapproche de la Coupe du monde 2026Les joueurs nigérians posent avant le match de barrages pour la Coupe du Monde de la FIFA...,Gungu,Niger-Congo
Hot congo music nigerian congo highlife music,https://www.youtube.com/watch?v=2DwaH72hmrQ,,Gungu,Niger-Congo
"Gungu Walk - song and lyrics by Gilzene, The Blue Light... | Spotify",https://open.spotify.com/track/3MCfsI2jWJvHewjecPqT3Q,"Gilzene, The Blue Light Mento Band · Sweet Sweet Jamaica · Song · 2009.",Gungu,Niger-Congo
Первая выдача ключей в самом продаваемом ЖК полуострова...,https://xn--b1agapfwapgcl.xn--p1ai/pervaja-vydacha-kljuchej-v-samom-prodavaemom-zhk-poluostrova-krym/,Congo (Republic) (Congo-Brazzaville) +242. Cook Islands +682. Costa Rica +506.,Gungu,Niger-Congo
