title,link,text,language,family
Guugu Yimithirr language - Wikipedia,https://en.m.wikipedia.org/wiki/Guugu_Yimithirr_language,"Guugu Yimithirr, also rendered Guugu Yimidhirr, Guguyimidjir, and many other spellings, is an Australian Aboriginal language, the traditional language of the Guugu Yimithirr people of Far North Queensland.",Guugu Yimidhirr,Australian
Guugu Yimithirr people - Wikipedia,https://en.m.wikipedia.org/wiki/Guugu_Yimithirr_people,"Guugu Yimidhirr, meaning 'language/speaking (guugu) 'this way' (yimi-thirr), [17] was one of the earliest Australian languages to be recorded, since Sydney Parkinson took down a list of 200 words [18] during Captain Cook 's stop-over in the area in 1770. The major dialects are dhalun-dhirr, spoken on the coastal areas, and waguurr-ga, the inland vernacular. [1] It is still spoken by ...",Guugu Yimidhirr,Australian
Guugu Yimithirr Language Videos - YouTube,https://www.youtube.com/playlist?list=PLjxgQPsmJzBQG2FlfWH0lO_YtdWgduU8U,Learn Guugu Yimithirr together with the Guugu Yimithirr community.,Guugu Yimidhirr,Australian
Guugu Yimidhirr – Pama Language Centre,https://www.pamacentre.org.au/guugu-yimidhirr-2/,"Most Guugu Yimithirr were concentrated there. In contrast to other government and mission settelements, the Guugu Yimithirr language was used by the missionaries. There were two main dialects of Guugu Yimidhirr, Thalunthirr (seaside) and Waguurrga (inland); missionaries used the former.",Guugu Yimidhirr,Australian
Preserving the Guugu Yimithirr language through song and video,https://www.indigenous.gov.au/stories/preserving-guugu-yimithirr-language-through-song-and-video,Watch the video of Thaarba Ngalbaaya - The Snake is Hiding sung in the Guugu Yimithirr language from the east coast of Cape York Peninsula.,Guugu Yimidhirr,Australian
Songs using Australian Indigenous Languages - YouTube,https://www.youtube.com/playlist?list=PLse_V9JHLflx3wQVNxXR2lFJn1zsosEot,Hope Vale School Song in Guugu Yimithirr - Vocals Guitar David Collins-White 139 views • 8 years ago 3:33,Guugu Yimidhirr,Australian
Preserving the Guugu Yimithirr language | Indigenous,https://www.indigenous.gov.au/stories/preserving-guugu-yimithirr-language,Learn and help preserve the Guugu Yimithirr language through a beautiful song called Guujuwi Barrabarrawi – which means “Fishing in the Mangroves”.,Guugu Yimidhirr,Australian
AIATSIS AustLang Online,https://aiatsis.gov.au/austlang/language/y82,"The language name is translated 'this way of talking, this kind of language' (1979:29). The historical term 'Imudhi' is a variant pronunciation (possibly misheard) of 'yimudhirr' (Haviland, p.c. January 2016). See also Guugu-Nyiguudyi Y79, Dhalundirr Y167 and Waguurrga Y168.",Guugu Yimidhirr,Australian
"Traditional owners handed more than 900,000ha of Cape York land after ...",https://www.abc.net.au/news/2025-10-24/cape-york-land-returned-to-traditional-owners-native-title/105926650,Traditional dancers at the Guugu Yimidhirr and Yiithuwarra Native Title determinations in Cooktown. (Supplied: Cape York Land Council/King Rivera),Guugu Yimidhirr,Australian
,"/clev?event=StartpageResultClick&sc=2sbbv9Ind9tOCTMGXou3PfvnfAdEcW7vh6TqlMU2zSmBdfRtdrKO80TpFCdYTZ0BZrGuYmnPqLBxbcXmFicHA145B097ttFP&payload={""bdsSessionId"":""b3f4be2f00a048c6960ee977d94730b4"",""cheqId"":"""",""countryCode"":""US"",""deviceType"":""mobile"",""endpoint"":""search.serp"",""hasGoogleAds"":false,""page_id"":""1k2PykCyPVqIGqYq"",""queryCategory"":""web"",""segment"":""startpage.udog"",""session_id"":""hSXXZcaSj6ixn6Wb"",""surface"":""serp-web"",""transport"":""href-request""}",,Guugu Yimidhirr,Australian
