title,link,text,language,family
Gwahatike language - Wikipedia,https://en.wikipedia.org/wiki/Gwahatike_language,"Gwahatike (also called Dahating or Gwatike) is a language generally classified in the Warup branch of the Finisterre family of Finisterre–Huon languages. [1] As of 2003, it was spoken by 1570 people in Papua New Guinea. [1] It is spoken in several villages located south of Saidor. [2]",Gwahatike,Trans-New Guinea
OLAC resources in and about the Gwahatike language,http://olac.ldc.upenn.edu/language/dah,"Other resources in the language ONLINEAl Kurun̳yen Mere Igin̳. An, Jee-Young; An, Jin-Stok; Bible Society of Papua New Guinea. 2000. [Ukarumpa] : Bible Society, Papua New Guinea. oai:pacific.library.manoa.hawaii.edu:2080114 Other known names and dialect names: Dahating, Gora, Gwahamere, Gwapti, Gwatike",Gwahatike,Trans-New Guinea
Gwahatike language — Grokipedia,https://grokipedia.com/page/gwahatike_language,"Gwahatike (ISO 639-3: dah; also known as Dahating or Gwatike) is a Trans-New Guinea language in the Finisterre-Huon branch, spoken by about 1,600 people (2003) in villages south of Saidor in the Finis",Gwahatike,Trans-New Guinea
Gwahatike | Mark 2:13-28 - YouTube,https://www.youtube.com/watch?v=zNmsYXh1fvQ,"Jan 14, 2021 · 2000 The Bible Society of Papua New Guinea© 2000 The Bible Society of Papua New Guinea℗ 2017 SIL-PNG and Hosanna (music and effects)Courtesy of LUMO Project ...",Gwahatike,Trans-New Guinea
Gwahatike language resources | Joshua Project,https://joshuaproject.mobi/languages/dah,Gwahatike language resources. Listing of people groups speaking Gwahatike. Gwahatike dialects and alternate names. Bible and ministry resource availability.,Gwahatike,Trans-New Guinea
"The Living, Dead and Dying: Music of the New Guinea WapeGlottolog 5.0 - GwahatikeOLAC resources in and about the Gwahatike language",https://www.youtube.com/watch?v=_z1eE_6TgFg,"May 17, 2025 · The Living, Dead and DyingMusic of the New Guinea WapeMen of the Taute Village, Men of the Wilkili VillageRecorded by William E MitchellLabel: Folkways Recor... Nuclear Trans New Guinea / Finisterre-Huon / Finisterre-Saruwaged / Warup / Gwahatike Glottocode: gwah1244 ISO 639-3: dah Other resources in the language ONLINEAl Kurun̳yen Mere Igin̳. An, Jee-Young; An, Jin-Stok; Bible Society of Papua New Guinea. 2000. [Ukarumpa] : Bible Society, Papua New Guinea. oai:pacific.library.manoa.hawaii.edu:2080114 Other known names and dialect names: Dahating, Gora, Gwahamere, Gwapti, Gwatike",Gwahatike,Trans-New Guinea
Glottolog 5.0 - Gwahatike,https://glottolog.org/resource/languoid/id/gwah1244.bigmap.html,Nuclear Trans New Guinea / Finisterre-Huon / Finisterre-Saruwaged / Warup / Gwahatike Glottocode: gwah1244 ISO 639-3: dah,Gwahatike,Trans-New Guinea
Gwahatike - dah (Trans-New Guinea) - PeopleGroups.org,https://peoplegroups.org/language/dah/,"Gwahatike (dah) is part of the Trans-New Guinea family and Trans-New Guinea, Finisterre-Huon, Finisterre, Warup class.",Gwahatike,Trans-New Guinea
Gwahatike Language (DAH) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/dah/,Gwahatike is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family. The language is used as a first language by all in the ethnic community.,Gwahatike,Trans-New Guinea
"Gwahatike, spoken by around 2,000 people in Papua New Guinea.",https://accentnetwork.com/gwahatike/,"Gwahatike, Papua New Guinea. Gwahatike Gha: Spirit of the Forest. Get a quote.Read about other languages in Papua New Guinea. Combine seamlessly fitting layouts, customize everything.",Gwahatike,Trans-New Guinea
