title,link,text,language,family
Lingala - Wikipedia,https://en.wikipedia.org/wiki/Lingala,"Lingala (or Ngala , Lingala: Lingála ) is a Bantu language spoken in the northwest of the Democratic Republic of the Congo , the northern half of ...",Hangaza,Niger-Congo
Languages of Tanzania - Wikipedia,https://en.wikipedia.org/wiki/Languages_of_Tanzania,"Most languages spoken locally belong to two broad language families: Niger-Congo ( Bantu branch ) and Nilo-Saharan ( Nilotic branch ), spoken by the ...",Hangaza,Niger-Congo
Kwakum language - Wikipedia,https://en.wikipedia.org/wiki/Kwakum_language,"Instruments, chants et performances musicales chez les Kwakum de l'arrondissement de Doume (est-Cameroun) : Étude ethnolinguistique de la conception ...",Hangaza,Niger-Congo
Mwera people - Wikipedia,https://en.wikipedia.org/wiki/Mwera_people,"This is a Bantu language that is part of the Niger-Congo family of languages. ... Makonde people who share the Rovuma valley, have a historic musical ...",Hangaza,Niger-Congo
Tumbuka people - Wikipedia,https://en.wikipedia.org/wiki/Tumbuka_people,"... currently known as Democratic Republic of Congo ... It is classified as a central Bantu language in the Niger-Congo family, and it has many dialects.",Hangaza,Niger-Congo
Kuria people - Wikipedia,https://en.wikipedia.org/wiki/Kuria_people,... Niger-Congo ... Music and Performing arts ... Hangaza,Hangaza,Niger-Congo
Nande language - Wikipedia,https://en.wikipedia.org/wiki/Nande_language,"Nande (Yira) , is a Bantu language also are Bantu population of Central Africa established in the east of the Democratic Republic of Congo in the ...",Hangaza,Niger-Congo
List of ethnic groups in Tanzania - Wikipedia,https://en.wikipedia.org/wiki/List_of_ethnic_groups_in_Tanzania,... Music ... Hangaza ... Niger,Hangaza,Niger-Congo
"Lingala - WikiMili, The Best Wikipedia Reader",https://wikimili.com/en/Lingala,"Lingala (or Ngala , Lingala: Lingála ) is a Bantu language spoken in the northwest of the Democratic Republic of the Congo , the northern half of ...",Hangaza,Niger-Congo
"Tumbuka people - WikiMili, The Best Wikipedia Reader",https://wikimili.com/en/Tumbuka_people,"... Republic of the Congo . ... It is classified as a central Bantu language in the Niger-Congo family, and it has 12 known and studied dialects.",Hangaza,Niger-Congo
