title,link,text,language,family
Hindko - Wikipedia,https://en.wikipedia.org/wiki/Hindko,"The term Hindko as used in Pakistan refers to speakers of Indo-Aryan languages who live among the primarily Iranian Pashtuns of the North-West Frontier Province (NWFP). The origins of the term refer merely to ""Indian speaking"" rather than to any particular ethnic group.","Hindko, Northern",Indo-European
"Hindko, Northern | Ethnologue Free",https://www.ethnologue.com/language/hno/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjI1NS4yMzEuMTA1IiwiaXNfY29udHJpYnV0b3IiOmZhbHNlLCJpc19hdXRoZW50aWNhdGVkIjpmYWxzZSwibGV2ZWwiOiJGcmVlIiwicHJvZmlsZV9uYW1lIjoiIiwibmV0d29ya19uYW1lIjoiIiwicmVjdXJseV9pZCI6IiIsInJvbGUiOiIiLCJwaG90b191cmwiOiIiLCJ0eXBlIjoiRnJlZSIsInVzZXJfZW1haWwiOiIiLCJleHAiOjE3MzI4MzgwODAsImlhdCI6MTczMjU3ODg4MH0.E8IkStqRNkxlENIu2_YkAo8KaZwa-Kmq5Ml_1ThCC5k,Northern Hindko is a stable indigenous language of Pakistan. It belongs to the Indo-European language family and is part of the Lahnda macrolanguage.,"Hindko, Northern",Indo-European
"Hindko, Northern | World Mission Media",https://worldmission.media/languages-of-the-world/hindko-northern,"Indo-European. Hindko, Northern, Pakistan. Zuban-e-Dil – The Language of the Heart. Get a quote.Other information. Northern Hindko is often celebrated in local poetry and music, reflecting the region’s rich cultural heritage and history.","Hindko, Northern",Indo-European
The Story of Jesus - Hindko-Northern / Hazara Hindko... - YouTube,https://www.youtube.com/watch?v=Xdnf0BDGATs,The Story of the Life and Times of Jesus Christ (Son of God).According to the Gospel of Luke.(Pakistan) Hindko-Northern / Hazara Hindko / Hindki / Kagani / K...,"Hindko, Northern",Indo-European
Glottolog 5.3 - Indo-European,https://glottolog.org/resource/languoid/id/indo1319,Northern Hindko. Kherwara. Sagwara. Indo-Aryan Northern zone (5). Central Pahari (2). Garhwali.,"Hindko, Northern",Indo-European
Northern Hindko - hno (Indo-European) - PeopleGroups.org,https://peoplegroups.org/language/hno/,"Northern Hindko (hno) is part of the Indo-European family and Indo-European, Indo-Iranian, Indo-Aryan, Intermediate Divisions, Western, Panjabi, Western Panjabi class. Northern Hindko speaking People Groups across the world: Fast Facts","Hindko, Northern",Indo-European
Indo-European languages,https://www.jetpunk.com/user-quizzes/208187/indo-european-languages,"Name the extant languages of the Indo-European language family, according to Glottolog. Extinct or dormant languages are not included. See comment for details.Pahari Potwari. 4.8m. North Hindko. ~3m.","Hindko, Northern",Indo-European
"Hindko, Northern",https://www.tbsbibles.org/page/language-hno,Hindko is an Indo-Aryan language spoken by around 5 million people in northwestern Pakistan. It is written in the Shahmukhi (developed from the Perso-Arabic) script.,"Hindko, Northern",Indo-European
musicfestivalwizard.com,https://www.musicfestivalwizard.com/,Northern Nights – Music Festival Wizard.,"Hindko, Northern",Indo-European
Indo-European | MindMeister Mind map,https://www.mindmeister.com/1658841845/indo-european,Indo-European by Melany Ydish Lopez De La Cruz Mind Map: Indo-European.1.2.1.1.6. Hindko. 1.2.1.2. Northern zone.,"Hindko, Northern",Indo-European
