title,link,text,language,family
Hixkaryana language - Wikipedia,https://en.wikipedia.org/wiki/Hixkaryana_language,"2 weeks ago - Hixkaryana (/ˌhɪʃkæriˈɑːnə/ HISH-karr-ee-AH-nə) is a Cariban language spoken by 600 people on the Nhamundá River, a tributary of the Amazon River in Brazil. It is one of 17 languages that have object–verb–subject word order, initially described by linguist Desmond C.",Hixkaryána,Cariban
Hixkaryána language and pronunciation - Omniglot,https://www.omniglot.com/writing/hixkaryana.htm,"Hixkaryána is a member of the Southern Guiana branch of Cariban languages. It is spoken in Pará and Amazonas states of Brazil on the Nhamundá, Mapuera and Japatú rivers, tributaries of the Amazon. In the year 2000 there were about 600 speakers of Hixkaryána.",Hixkaryána,Cariban
Hixkaryána - Teryehorye Twanotatxe - YouTube,https://www.youtube.com/watch?v=2wFt0c1VFMY,"Songs - Compilations of Christian music, songs or hymns.More information here: https://globalrecordings.net/program/63861Copyright © 2012 GRNgrn program:6386...",Hixkaryána,Cariban
Hot Caribbean Music Songs 2026/ CARIBBEAN HITS 2026,https://www.youtube.com/playlist?list=PLrzuA2--JVdQy2ISVx5iiZOcymMkEawfp,"🔥Hot Caribbean Music Songs 2026/ CARIBBEAN HITS 2026 by Phonkou Jr • Playlist • 85 videos • 185,256 views",Hixkaryána,Cariban
Stream Caribbean Music | Free Internet Radio | TuneIn,https://tunein.com/radio/Stream-Caribbean-Music-g395/,"Soca, reggae, dance-hall, calypso, rapso and chutney music from The Islands. Plus local Caribbean events, guest DJ’s and other music industry info from the Caribbean.",Hixkaryána,Cariban
Comparative Cariban Database - Language Hixkaryána,https://cariban.clld.org/languages/hix,Sistemas Contrastivos de Marcadores de Pessoa em Duas Línguas Carib: Apalaí e Hixkaryána Gudschinsky 1973,Hixkaryána,Cariban
OLAC resources in and about the Hixkaryána language,http://language-archives.org/language/hix,"ONLINELINGUIST List Resources for Hixkaryána. Damir Cavar, eLinguistics Foundation Board Member (editor); Malgorzata E. Cavar, Director of Linguist List (editor). 2022-05-31. The LINGUIST List (www.linguistlist.org). oai:linguistlist.org:lang_hix · Clause subordination and nominalization in Tupí-Guaranian and Cariban ...",Hixkaryána,Cariban
Cariban Morphology Database - Language Hixkaryána,http://cariban-morphology.herokuapp.com/languages/hix,Cariban Morphology · Home · Languages · Morphemes · Cognatesets · Functions · Constructions · Examples · Phylogenies · Sources · Glottolog: hixk1239 Iso639-3: hix · Grammatical morphemes · Constructions · t-adding verbs · Lexical entries · Example sentences · Sources · Map · Sources · Hixkaryana (Carib) syntax structure Derbyshire 1961 ·,Hixkaryána,Cariban
"Hixkaryána Language (HIX) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/hix/,Hixkaryána is a stable indigenous language of Brazil. It belongs to the Cariban language family. The language is used as a first language by all in the ethnic community. It is not known to be taught in schools.,Hixkaryána,Cariban
Hixkaryána - Pronoun Paradigms Database,http://pdb.simon.net.nz/language/hixkaryana,"Hixkaryána · Glottocode: None ISO 639: hix · Sources: Derbyshire (1979) Classification: Cariban, Waiwai · Glottologue code unknown · Ethnologue page for Hixkaryána · Open Language Archives search for Hixkaryána · Wikipedia page for Hixkaryána · Multitree language relationships for Hixkaryána ·",Hixkaryána,Cariban
