title,link,text,language,family
Trans–New Guinea languages - Wikipedia,https://en.wikipedia.org/wiki/Trans–New_Guinea_languages,"Trans–New Guinea (TNG) is an extensive family of Papuan languages spoken on the island of New Guinea and neighboring islands, a region corresponding to the country Papua New Guinea as well as parts of Indonesia.",Hoia Hoia,Trans-New Guinea
Hoia Hoia Language (HHI) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/hhi,Hoia Hoia is a stable indigenous language of Papua New Guinea. It belongs to the Trans-New Guinea language family.,Hoia Hoia,Trans-New Guinea
Hoia Hoia [Newguineaworld],https://newguineaworld.linguistik.uzh.ch/families/trans-new-guinea/fly-river/inland-gulf/west-inland-gulf/hoia-hoia,Central New Guinea Highlands. East Trans Fly. Oriomo Plateau. Bine.You are here: About Newguineaworld » Families » Trans New Guinea » Fly River » Inland Gulf » West Inland Gulf » Hoia Hoia.,Hoia Hoia,Trans-New Guinea
Hoia Hoia in Papua New Guinea people group profile | Joshua Project,https://joshuaproject.net/people_groups/19680/PP,The Hoia Hoia have only been reported in Papua New Guinea. This people group’s population is unknown or estimated to be extremely small. Scripture Prayers for the Hoia Hoia in Papua New Guinea.,Hoia Hoia,Trans-New Guinea
Nancy-Hellalt hoia mind - YouTube,https://www.youtube.com/watch?v=z1g235E2i4s,"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",Hoia Hoia,Trans-New Guinea
Trans-New Guinea,https://lingweb.eva.mpg.de/channumerals/Trans-New+Guinea.htm,"Minanibai: Foia Foia, Hoia Hoia, Hoyahoya, Minanibai, Mubami (Tao-Suamato). Kainantu-Goroka: (Papua New Guinea) > Click here.",Hoia Hoia,Trans-New Guinea
"Hoia Hoia language. Evangelism tools, church planting resources...",https://globalrecordings.net/en/language/hhi,Hoia Hoia language and dialect information. Audio Bible stories and lessons.Where Hoia Hoia is spoken. Papua New Guinea. People Groups who speak Hoia Hoia.,Hoia Hoia,Trans-New Guinea
File:Branches of Trans-New Guinea.svg - Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Branches_of_Trans-New_Guinea.svg,"English: Primary branches of the Trans-New Guinea family of languages, per Usher (2018).",Hoia Hoia,Trans-New Guinea
(PDF) The Anim Languages of Southern New Guinea,https://www.researchgate.net/publication/283889233_The_Anim_Languages_of_Southern_New_Guinea,"Trans-New Guinea etyma can be found in the Anim stock. However, a demonstration. that the Anim languages are members of the Trans-New Guinea phylum is beyond the. scope of this paper.",Hoia Hoia,Trans-New Guinea
The Trans New Guinea family,https://library.oapen.org/bitstream/id/b4fdf6c4-8911-48a4-92ab-6b2c59c1db9d/21_[9783110295252+-+The+Languages+Guinea+Area]+2.+The.pdf,Trans New Guinea I. In 1970 a small but data-rich monograph appeared arguing for the common origin of some 70 languages of the Finisterre and Saru-waged Ranges and Huon Peninsula region of NE New Guinea and about 70...,Hoia Hoia,Trans-New Guinea
