title,link,text,language,family
Lingala - Wikipedia,https://en.wikipedia.org/wiki/Lingala,"Lingala (or Ngala , Lingala: Lingála ) is a Bantu language spoken in the northwest of the Democratic Republic of the Congo , the northern half of ...",Holu,Niger-Congo
Kwakum language - Wikipedia,https://en.wikipedia.org/wiki/Kwakum_language,"Instruments, chants et performances musicales chez les Kwakum de l'arrondissement de Doume (est-Cameroun) : Étude ethnolinguistique de la conception ...",Holu,Niger-Congo
for the boys i like - EP - Album by Muneyi - Apple Music,https://music.apple.com/dz/album/for-the-boys-i-like-ep/1700831052,"Congo, The Democratic Republic Of The ... Niger (English) ... Congo, Republic of",Holu,Niger-Congo
Noelani Kanoho Mahoe - Apple Music,https://music.apple.com/us/artist/noelani-kanoho-mahoe/293770613,"Congo, The Democratic Republic Of The ... Niger (English) ... Congo, Republic of",Holu,Niger-Congo
Desiire – Apple Music,https://music.apple.com/ci/artist/desiire/1203622462,"Congo, The Democratic Republic Of The ... Niger (English) ... Congo, Republic of",Holu,Niger-Congo
"Winne.com - Report on Congo DRC, Paving the reconstruction",https://www.winne.com/congo/bf09.html,"Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, D, Bira-Huku (D.30).",Holu,Niger-Congo
"Outside (feat. Richie Rhemmy, Dothkid Savage & Desiire)",https://music.apple.com/at/album/outside-feat-richie-rhemmy-dothkid-savage-desiire-single/1645746210,"Congo, The Democratic Republic Of The ... Niger (English) ... Congo, Republic of",Holu,Niger-Congo
Dakalo (feat. Una Rams) - Single – Album par Saul Madiope,https://music.apple.com/ga/album/dakalo-feat-una-rams-single/1760890651,"Congo, The Democratic Republic Of The ... Niger (English) ... Congo, Republic of",Holu,Niger-Congo
"Lingala - WikiMili, The Best Wikipedia Reader",https://wikimili.com/en/Lingala,"Lingala (or Ngala , Lingala: Lingála ) is a Bantu language spoken in the northwest of the Democratic Republic of the Congo , the northern half of ...",Holu,Niger-Congo
"Olympedia – Athletics — 800 metres, Men",https://www.olympedia.org/event_names/43,"Music, Compositions, Men ... Music, Open ... Music, Compositions For Orchestra, Open",Holu,Niger-Congo
