title,link,text,language,family
Hungu Music,https://music.youtube.com/channel/UCfWsDn9-B81n3LpkiXFXQhQ,"C'est en allant au delà des frontières et en souhaitant explorer les continents d'Amérique du Sud, d'Afrique et d'Asie que l'univers musical du groupe s'est créé. Portés par l'énergie de ces terres et puisant leurs inspirations dans les musiques du monde, c'est naturellement que le travail de composition des deux membres du groupe a évolué vers une musique imprégnée ...",Hungu,Niger-Congo
Hungu - YouTube Music,https://music.youtube.com/channel/UCleOTXOf5MiAa9pyrylGsVg,"Listen to music from Hungu on YouTube Music - a dedicated music app with official songs, music videos, remixes, covers, and more.",Hungu,Niger-Congo
"Stream HUNGU music | Listen to songs, albums, playlists for free on ...",https://soundcloud.com/hungu95,"Play HUNGU and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Hungu,Niger-Congo
"Hungu Official Music - Listen to songs on YouTube, Apple Music | Check ...",https://linktr.ee/hungu,"View hungu's Linktree to discover and stream music from top platforms like YouTube, Apple Music here. Your next favorite track is just a click away!",Hungu,Niger-Congo
Hungu Official: Instagram | Linktree,https://linktr.ee/hungumusic,"Hungu Duo - Organica, Healing Rhythms Hungu is a duo developing an immersive and organic sound world, blending handpan, guitar-sitar, synths, percussive textures and ritual vocals, created live through improvisation and shaped by the place, the moment, and the energy of the audience.",Hungu,Niger-Congo
Hungu - Apple Music,https://music.apple.com/us/artist/hungu/1655746325,"Listen to music by Hungu on Apple Music. Find top songs and albums by Hungu including Inari, Chandrakala and more.",Hungu,Niger-Congo
Play Hungu on Amazon Music Unlimited,https://music.amazon.co.uk/artists/B0786LJ2RS/hungu,"Listen to your favourite songs from Hungu. Stream ad-free with Amazon Music Unlimited on mobile, desktop, and tablet. Download our mobile app now.",Hungu,Niger-Congo
"Nho Djunga - Hungu: Song Lyrics, Music Videos & Concerts - Shazam",https://www.shazam.com/song/1323988907/nho-djunga,"Listen to Nho Djunga by Hungu. See lyrics and music videos, find Hungu tour dates, buy concert tickets, and more!",Hungu,Niger-Congo
Hungu auf Amazon Music Unlimited,https://music.amazon.de/artists/B0786JDTRR/hungu,"Höre deine Lieblingssongs von Hungu. Musik-Streaming auf Smartphones, Tablets und PC/Mac mit Amazon Music Unlimited. Ohne Werbung. Lade jetzt unsere mobile App herunter.",Hungu,Niger-Congo
Hungu | Spotify,https://open.spotify.com/artist/47w5qIQIwBcohLA53apsRd?si=cCLVw1l0TUKs7lV0I1Dtpw,Artist · 11 monthly listeners.,Hungu,Niger-Congo
