title,link,text,language,family
Ramu–Lower Sepik languages - Wikipedia,https://en.wikipedia.org/wiki/Ramu–Lower_Sepik_languages,"July 19, 2024 - The family was proposed by William A. Foley and accepted by Malcolm Ross. Its two branches, Ramu and Lower Sepik, had belonged to Donald Laycock's now-defunct 1973 Sepik–Ramu proposal. If related, they are not close.",Igana,Ramu-Lower Sepik
Sepik–Ramu languages - Wikipedia,https://en.wikipedia.org/wiki/Sepik–Ramu_languages,"November 10, 2024 - The Sepik–Ramu languages are an obsolete language family of New Guinea linking the Sepik, Ramu, Nor–Pondo (Lower Sepik), Leonhard Schultze (Walio–Papi) and Yuat families, together with the Taiap language isolate, and proposed by Donald Laycock and John Z'graggen in 1975.",Igana,Ramu-Lower Sepik
Ramu-Lower Sepik languages - Sorosoro Sorosoro,https://www.sorosoro.org/en/ramu-lower-sepik-languages/,"June 7, 2010 - Lower-Sepik Branch · Murik · Kopar · Pondo sub-group · Angoram · Chambri · Tabriak · Yimas · Ramu Branch · Lower Ramu · Ottilien sub-group · Mbore · Awar · Bosmun · Kayan · Marangis · Misegian or Mikarew sub group · Aruamu · Kire · Sepen · Keram or Grass sub-group · Abu · Ambakich · Banaro · Gorovu · Ataitan or Tanggu sub-group · Andarum · Kanggape · Tanggu · Tanguat · Tamolan sub-group · Akrukay · Breri · Igana ·",Igana,Ramu-Lower Sepik
Ramu-Lower Sepik languages,https://en-academic.com/dic.nsf/enwiki/1834969,"* Lower Sepik (Nor-Pondo) ** ""Murik"" ** ""Kopar"" ** Pondo family: Chambri, Yimas, Karawari, Angoram · * Ramu ** Ottilien family: Watam (shares plural morphology with Nor-Pondo), Gamei, Kaian, Bosman, Awar ** Misegian family: Giri, Sepen, Mikarew ** Keram (Grass) family: Banaro, Kambot, Aion, Adjora, Gorovu ** Ataitan family: Andarum, Igom, Tangu, Tanguat ** Tamolan family: Romkun, Breri, Kominimung, Igana...",Igana,Ramu-Lower Sepik
Ramu - Find link,https://edwardbetts.com/find_link/Ramu,"Igana is a poorly known probable ... Guinea. Igana at Ethnologue (18th ed., 2015) (subscription required) v t e · Kambot language (494 words) [view diff] exact match in snippet view article find links to article · (2005) agree that the language belongs to the Ramu – Lower Sepik ...",Igana,Ramu-Lower Sepik
"Art from the Lower (East) Sepik Region of Papua New Guinea | Sea Life, Islands and Oceania — Facts and Details",https://ioa.factsanddetails.com/article/entry-559.html,"The Kopar people, who live along the lower reaches of the Sepik River. Masks like this one, lacking eyeholes and with a shallow, concave back far too small to accommodate a human face, served as ornaments for sacred flutes. One mask at the Metropolitan Museum of Art was probably created by the Romkun, Breri, or Igana peoples of the Ramu and Guam Rivers, whose masking traditions are largely undocumented.",Igana,Ramu-Lower Sepik
"Igana Language (IGG) – L1 & L2 Speakers, Status, Map, Endangered Level & Official Use | Ethnologue Free",https://www.ethnologue.com/language/igg/?cf=1&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjbGllbnRfaXAiOiI1LjE2MS41OC44NiIsImlzX2NvbnRyaWJ1dG9yIjpmYWxzZSwiaXNfYXV0aGVudGljYXRlZCI6ZmFsc2UsImxldmVsIjoiRnJlZSIsInByb2ZpbGVfbmFtZSI6IiIsIm5ldHdvcmtfbmFtZSI6IiIsInJlY3VybHlfaWQiOiIiLCJ0eXBlIjoiRnJlZSIsInVzZXJfZW1haWwiOiIiLCJleHAiOjE3MDk5NzMyNTYsImlhdCI6MTcwOTk2OTY1Nn0._pTrDlsigVCPg_vKol95qHkKqXeYqnHlnNwj-IGxj8s,It belongs to the Ramu-Lower Sepik language family. Looking for more detailed information about Igana?,Igana,Ramu-Lower Sepik
WALS Online - Family Lower Sepik-Ramu,https://wals.info/languoid/family/lowersepikramu,Lower Ramu · Mikarew · Lower Sepik · Icon size · GeoJSON · Annaberg · Botin · Lower Ramu · Mikarew · Lower Sepik · Show/hide Labels ·,Igana,Ramu-Lower Sepik
Ramu-Lower Sepik | Ethnologue,https://www.ethnologue.com/subgroups/ramu-lower-sepik,Ramu-Lower Sepik (32) Kambot (1) Ap Ma [kbx] (A language of Papua New Guinea) Lower Sepik (6) Angoram (1) Angoram [aog] (A language of Papua New Guinea) Chambri (1) Chambri [can] (A language of Papua New Guinea) Karawari (2) Karawari [tzx] (A language of Papua New Guinea) Yimas [yee] (A language of Papua New Guinea) Nor (2) Kopar [xop] (A language of Papua New Guinea) Murik [mtf] (A language of Papua New Guinea) Ramu (25) Grass (4) Abu [ado] (A language of Papua New Guinea) Ambakich [aew] (A language of Papua New Guinea) Gorovu [grq] (A language of Papua New Guinea) Waran [byz] (A language of,Igana,Ramu-Lower Sepik
"Mask | Romkun, Breri, or Igana people | The Metropolitan Museum of Art",https://www.metmuseum.org/art/collection/search/310350,"The American Wing Ancient Near ... The Libraries Medieval Art Musical Instruments Photographs Antonio Ratti Textile Center Modern and Contemporary Art ... This mask was probably created by the Romkun, Breri, or Igana peoples of the Ramu and Guam Rivers, whose masking traditions ...",Igana,Ramu-Lower Sepik
