title,link,text,language,family
Creole music - Wikipedia,https://en.wikipedia.org/wiki/Creole_music,"May 25, 2025 - Central to Creole musical activities was Place Congo (in English: Congo Square).",Islander English Creole,Creole
Category:Articles containing Islander Creole English-language text - Wikipedia,https://en.wikipedia.org/wiki/Category:Articles_containing_Islander_Creole_English-language_text,This category contains articles with Islander Creole English-language text.,Islander English Creole,Creole
San Andrés–Providencia Creole - Wikipedia,https://en.wikipedia.org/wiki/San_Andrés–Providencia_Creole,"3 weeks ago - Its vocabulary originates in English, its lexifier, but San Andrés–Providencia Creole has its own phonetics and many expressions from Spanish and African languages, particularly Kwa languages (especially Twi and Ewe) and Igbo languages. The language is also known as ""San Andrés Creole,"" ""Bende,"" and ""Islander ...",Islander English Creole,Creole
Virgin Islands Creole - Wikipedia,https://en.wikipedia.org/wiki/Virgin_Islands_Creole,"May 24, 2026 - Virgin Islands Creole, or Virgin Islands Creole English, is an English-based creole consisting of several varieties spoken in the Virgin Islands and the nearby SSS islands of Saba, Saint Martin and Sint Eustatius, where it is known as Saban English, Saint Martin English, and Statian English, ...",Islander English Creole,Creole
Music of the Lesser Antilles - Wikipedia,https://en.wikipedia.org/wiki/Music_of_the_Lesser_Antilles,"March 1, 2026 - Within the Antilles, most of the ... have come from other Anglophone islands. Music author Peter Manuel has argued that, despite the modern Anglophone focus to calypso-like song forms, their origins lie in the ""Afro-French creole culture"", and notes that the ancestor of ...",Islander English Creole,Creole
"Islander Creole English language. Evangelism tools, church planting resources, Christian songs and audio bible study materials. Download free MP3s.",https://globalrecordings.net/en/language/icr,"Islander Creole English language and dialect information. Audio Bible stories and lessons. Download free evangelism resources, MP3s, audio bible study tools, language/dialect information.",Islander English Creole,Creole
The English - Islander Creole English dictionary | Glosbe,https://glosbe.com/en/icr,"Often the text alone is not enough. We also need to hear what the phrase or sentence sounds like. In Glosbe you will find not only translations from the English-Islander Creole English dictionary, but also audio recordings and high-quality computer readers.",Islander English Creole,Creole
Islander Creole English | TM-Town,https://www.tm-town.com/languages/islander-creole-english,Language Islander Creole English,Islander English Creole,Creole
Islander English Creole language resources | Joshua Project,https://joshuaproject.net/languages/icr,Islander English Creole language resources. Listing of people groups speaking Islander English Creole. Islander English Creole dialects and alternate names. Bible and ministry resource availability.,Islander English Creole,Creole
OLAC resources in and about the Islander Creole English language,http://www.language-archives.org/language/icr,"ONLINELINGUIST List Resources for Creole English, Islander. Damir Cavar, eLinguistics Foundation Board Member (editor); Malgorzata E. Cavar, Director of Linguist List (editor). 2022-05-31. The LINGUIST List (www.linguistlist.org).",Islander English Creole,Creole
