title,link,text,language,family
Jawe language - Wikipedia,https://en.wikipedia.org/wiki/Jawe_language,"Jawe (Diahoue, Njawe, Oubatch, Ubach) is one of the Kanak languages spoken in the northern province of the largest island of New Caledonia named Grande Terre.",Jawe,Austronesian
ABVD: Jawe - Max Planck Society,https://abvd.eva.mpg.de/austronesian/language.php?id=212,"From: Austronesian, Malayo-Polynesian, Central-Eastern, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, Loyalty Islands, New Caledonian, Northern, North, Nemi To: Austronesian, Malayo-Polynesian, Central-Eastern, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, New Caledonian, Northern ...",Jawe,Austronesian
ABVD: Jawe,https://abvd.eva.mpg.de/austronesian/language.php?id=1488,Austronesian Basic Vocabulary Database Language: Jawe ... Resources: ABVD: Alternate Wordlist for Jawe ABVD: Alternate Wordlist for Jawe Ethnologue Information for jaz OLAC Information for jaz [Suggest a resource] Change History: Entries: ... Seen an error? Please let us know:,Jawe,Austronesian
OLAC resources in and about the Jawe language,http://language-archives.org/language/jaz,Language descriptions ONLINEGlottolog 5.2 Resources for Jawe. n.a. 2025. Max Planck Institute for Evolutionary Anthropology. oai:glottolog.org:jawe1237,Jawe,Austronesian
JAWE SANU GBAJUMO OGUN AWO NIY (@jawesanu)’s ... - TikTok,https://www.tiktok.com/@jawesanu/video/7649668247914155271,"70 Likes, TikTok video from JAWE SANU GBAJUMO OGUN AWO NIY (@jawesanu): “”. ELEYI NI BI ASENTOJU ODE ORI WERE TABI AGAN NA AO NIFI AISAN LOGBA LASE EDUMARE WON GBE WA NI ( 29 5 2026) 10 6 2026)original sound - JAWE SANU GBAJUMO OGUN AWO NIY.",Jawe,Austronesian
Jawe language resources | Joshua Project,https://joshuaproject.net/languages/jaz,Listing of people groups speaking Jawe. Jawe dialects and alternate names. Bible and ministry resource availability.,Jawe,Austronesian
lexibank - Variety Jawe,https://lexibank.clld.org/languages/abvdoceanic-Jawe,"Other segments Other segments w voiced labio-velar approximant consonant ei from unrounded close-mid front to unrounded close front diphthong Glottocode: jawe1237 ISO 639-3: jaz CLDF dataset derived from Blust's Austronesian data coded for the Austronesian Basic Vocabulary Database from 2008 Coordinates WGS84 20°40'S, 164°41'E-20.66, 164.68",Jawe,Austronesian
Austronesian Music - YouTube,https://www.youtube.com/playlist?list=PLnOSH5j1sQh9pFS_rqvm3r2JtCD8AGOa-,"Play all. Austronesian Music. by steven white. • Playlist • 90 videos • 8,743 views.",Jawe,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Jawe,Austronesian
Another Austronesian Classic | TikTok,https://www.tiktok.com/discover/another-austronesian-classic,"Austronesian cultural dance performance, Argentine Tango influences in Austronesia, Austronesian classic music, traditional Austronesian dance styles, dancing with Austronesian roots...",Jawe,Austronesian
