title,link,text,language,family
Kaili language - Wikipedia,https://en.wikipedia.org/wiki/Kaili_language,"Kaili is an Austronesian dialect cluster of the Celebic branch, and is one of the principal languages of Central Sulawesi. The heartland of the Kaili area is the broad Palu River valley which stretches southward from Central Sulawesi's capital city, Palu.","Kaili, Unde",Austronesian
"Kaili, Unde Language (UNZ) – L1 & L2 Speakers... | Ethnologue Free",https://www.ethnologue.com/language/unz/,"Unde Kaili is a stable indigenous language of Indonesia. It belongs to the Austronesian language family. Direct evidence is lacking, but the language is thought to be used as a first language by all in the ethnic community.","Kaili, Unde",Austronesian
Kaili Unde in Indonesia people group profile | Joshua Project,https://joshuaproject.net/people_groups/12422/ID,"The Kaili Unde live in small villages often comprised of houses on stilts. The coastal Kaili Unde earn a living through hillside agriculture, as well as copra, cacao and palm plantations.","Kaili, Unde",Austronesian
"Kaili, Unde – The GLOCAL",https://glocal.soas.ac.uk/kaili-unde/,"An archive of world ethnic and other musical genres, data, subgenres, with a portal for anthropological deposits by researchers and ethnographers, searchable through text and maps.Log In. The Kaili, Unde language. ISO 639-3.","Kaili, Unde",Austronesian
Western Austronesian,https://lingweb.eva.mpg.de/channumerals/Austronesian-Western.htm,"Click to: Western Austronesian-CN.Kaili: Baras, Da'a Kaili, Ledo Kaili, Unde Kaili, Moma, Sarudu, Sedoa, Tado (Lindu), Topoiyo, Uma (Pipikoro). Pamona: Bada, Behoa, Napu, Pamona, Rampi, Tombelala.","Kaili, Unde",Austronesian
Who are the Kaili Unde? - Praying for Indonesia,https://www.prayingforindonesia.com/ethnic-groups/the-people-of-sulawesi/who-are-the-kaili-unde/,Kaili Unde The Kaili Unde live in the mountainous western side of Palu Bay in Central Sulawesi. Some of the Kaili Unde also inhabit the southern part of Donggala and across the mountains to the coast. The word unde means “no.”,"Kaili, Unde",Austronesian
Small Island Big Song: The Sounds of Austronesian Music,https://nspp.mofa.gov.tw/nsppe/news.php?post=213795&unit=410&unitname=sties&postname=Small-Island-Big-Song:-The-Sounds-of-Austronesian-Music,"Linking Austronesia through music. The first album of the Small Island Big Song project comprised 18 songs recorded by producer BaoBao Chen and her husband, Australian music producer Tim Cole, during visits to more than 100 musicians in 16 Austronesian countries over three years.","Kaili, Unde",Austronesian
Glottolog 5.3 - Austronesian,https://glottolog.org/resource/languoid/id/aust1307,"Unde Kaili. Kulawi (2). Moma. Insufficient Robert Blust 2014 parallels with Jarawa-Onge can be found in Juliette Blevins 2007 . Makuva [lva] of East Timor is also Austronesian Engelenhoven, Aone van and Justino Valentim Cailoru 2006 .","Kaili, Unde",Austronesian
"Kaili, Unde language. Evangelism tools, church planting resources...",https://globalrecordings.net/en/language/unz,"Kaili, Unde language and dialect information. Audio Bible stories and lessons.We do not currently have any recordings available in this language. Other names for Kaili, Unde.","Kaili, Unde",Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island Southeast Asia to Oceania and Madagascar. Across this vast region, common threads recur...","Kaili, Unde",Austronesian
