title,link,text,language,family
Mande languages - Wikipedia,https://en.wikipedia.org/wiki/Mande_languages,"The Mande languages are a family of languages spoken in several countries in West Africa by the Mandé peoples. They include Maninka, Mandinka, Soninke, Bambara, Kpelle, Jula, Bozo, Mende, Susu, and Vai.",Kakabe,Niger-Congo
Kakabe Language (KKE) – L1 & L2 Speakers... | Ethnologue Free,https://www.ethnologue.com/language/kke/,"Kakabe is an endangered indigenous language of Guinea. It belongs to the Niger-Congo language family. Direct evidence is lacking, but the language is thought to be used as a first language by a decreasing number of young people.",Kakabe,Niger-Congo
KAKABE - Apple Music,https://music.apple.com/uz/artist/kakabe/1764385919,Listen to music by KAKABE on Apple Music. Find top songs and albums by KAKABE.,Kakabe,Niger-Congo
Kakabe in Guinea people group profile | Joshua Project,https://joshuaproject.net/index.php/people_groups/19398/GV,"themselves a subgroup of the larger Mande people group, descendants of the once-great Mali Empire. Kakabe is a minor and virtually undescribed language spoken in the Republic of Guinea, belonging to the Mokole group of the Mande family (Niger-Congo phylum).",Kakabe,Niger-Congo
Kakabe - kke (Niger-Congo) - PeopleGroups.org,https://peoplegroups.org/language/kke/,"People Groups who primarily speak Kakabe. To download a comprehensive people group list in spreadsheet form, visit our Research Data page. Visualize lostness with powerful maps.",Kakabe,Niger-Congo
"A corpus-based description of Kakabe, a Western Mande language...",https://shs.hal.science/tel-03203594/document,"Kakabe belongs to the Western branch of the Mande family. Mande belongs to the Niger-Congo phylum8, it contains around 70 languages, concentrated mostly in Mali, Côte d’Ivoire, Guinea, Sierra Leone, and Liberia, Burkina Faso, Senegal, Gambia, and Guinea Bissau.",Kakabe,Niger-Congo
"A corpus‐based description of Kakabe, a Western Mande language...",https://www.researchgate.net/publication/325465215_A_corpus-based_description_of_Kakabe_a_Western_Mande_language_prosody_in_grammar,"This thesis provides a corpus‐based description of Kakabe, a Mande language spoken in Guinea, with a focus on phonology. It consists of a short grammatical sketch and two parts dedicated to the analysis of the segmental and the suprasegmental phonology.",Kakabe,Niger-Congo
KAKABE DJINO-Soman'i Dady (Official Music Video) - YouTube,https://www.youtube.com/watch?v=-Luzs8Ct28A,О сервисе Прессе Авторские права Связаться с нами Авторам Рекламодателям...,Kakabe,Niger-Congo
Africa_3_1.indb,https://iling-ran.ru/library/languageinafrica/3/LiA_3_1_2_VydrinaVydrin.pdf,"32 Language in Africa. 2022. №3 (1). 1. Introduction. As recently as ten or even seven years ago, any publication dealing with Kakabe (< Mokole < Western Mande < Mande < Niger-Congo, ISO 639-3 kke) would need to begin by providing a lengthy presentation of this understudied language.",Kakabe,Niger-Congo
West-Atlantic languages Research Papers - Academia.edu,https://www.academia.edu/Documents/in/West-Atlantic_languages,"Kakabe, an understudied language in Guinea (Mokole < Western Mande < < Mande < Niger-Congo), is spoken by several ethnic groups, mainly of inferior social status, most of which are bilingual in Pular. There are four dialects of Kakabe: Northern (the Kankalabe area), Central...",Kakabe,Niger-Congo
