title,link,text,language,family
Joseph Kamaru - Wikipedia,https://en.wikipedia.org/wiki/Joseph_Kamaru,"The songs launched his status as a Kikuyu music legend and impacted East Africans ’ music scene with classic hits such as ""Gathoni"" and ""Charia Ungi"". [10] His popular songs include ""muhiki wa mikosi"" and ""muti uyu mukuona"" among others.",Kamaru,Austronesian
JOSEPH KAMARU - Kamaaru wa Wanjiru - YouTube,https://www.youtube.com/channel/UCfti415xRbwYMixgCQMFSSw,"Joseph Kamaru was one of the most influential musician and artist in Kenya with a large music output of over 1,000 songs. His engagement with the music for more than fifty seventy (57) years...",Kamaru,Austronesian
Joseph Kamaru Songs - YouTube,https://www.youtube.com/playlist?list=PL4Kfck4F4k-e74QZVeVgM0rf6TloY7fOk,"Joseph Kamaru Songs JOSEPH KAMARU - Kamaaru wa Wanjiru • Playlist • 106 videos • 154,942 views",Kamaru,Austronesian
Further Combinations | JOSEPH KAMARU,https://josephkamaru.bandcamp.com/album/further-combinations,"A companion mini-album to Heavy Combination, last year’s career-spanning compilation documenting some of the amazing music recorded over five decades by the late Joseph Kamaru, a towering figure in post-colonial Kenyan culture.",Kamaru,Austronesian
"Joseph Kamaru Lyrics, Songs, and Albums | Genius",https://genius.com/artists/Joseph-kamaru,"Oct 3, 2018 · His music covered the teachings of life, promiscuity and sexual harassment in Kenyan politics and social cult.",Kamaru,Austronesian
"Stream Kamaru music | Listen to songs, albums, playlists for ...",https://soundcloud.com/kamaru-music,"Play Kamaru and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Kamaru,Austronesian
Austronesian Music & Instruments - YouTube,https://www.youtube.com/watch?v=2MI-S_5gG3Y,School: National Taiwan Normal UniversityCourse: Comparative study of Cultural Zone on Austronesian Music (II)Venue: Music Building AnnexDate: 9 June 2025.,Kamaru,Austronesian
Austronesian Music - Melodigging,https://www.melodigging.com/genre/austronesian-music,"Description. Austronesian music is an umbrella term for the diverse musical traditions of Austronesian-speaking peoples, whose homelands stretch from Taiwan through Island...",Kamaru,Austronesian
"Stream The Austronesians music | Listen to songs, albums, playlists...",https://soundcloud.com/theaustronesians,"Play The Austronesians and discover followers on SoundCloud | Stream tracks, albums, playlists on desktop and mobile.",Kamaru,Austronesian
"Austronesian peoples - Alchetron, The Free Social Encyclopedia",https://alchetron.com/Austronesian-peoples,"Austronesians, Austronesian peoples or Austronesianspeaking peoples are various populations in Asia, Oceania and Africa that speak languages of the Austronesian family.",Kamaru,Austronesian
